Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,53513.0,57361.0,44875.0,53674.0,59985.0,56786.0,57080.0,58167.0,48778.0,48158.0,55438.0
Gross Margin %,13.3,9.5,12.8,14.7,14.9,15.8,16.6,18.4,22.4,21.8,21.2
Operating Income USD Mil,3237.0,909.0,480.0,3116.0,4026.0,3947.0,4254.0,5514.0,5954.0,5085.0,5646.0
Operating Margin %,6.0,1.6,1.1,5.8,6.7,7.0,7.5,9.5,12.2,10.6,10.2
Net Income USD Mil,2887.0,579.0,648.0,2310.0,2742.0,1182.0,4787.0,3772.0,7685.0,4318.0,2775.0
Earnings Per Share USD,2.99,0.62,0.32,1.72,2.05,0.7,3.68,2.87,6.15,3.52,2.01
Dividends USD,1.64,1.68,0.6,0.6,0.9,1.21,1.28,1.53,1.72,1.84,1.84
Payout Ratio % *,54.7,271.0,272.7,34.9,32.7,172.9,56.4,47.0,43.4,28.7,91.1
Shares Mil,966.0,939.0,1054.0,1143.0,1158.0,1176.0,1290.0,1187.0,1241.0,1123.0,1275.0
Book Value Per Share * USD,20.62,14.63,14.39,15.28,17.01,14.03,16.6,18.77,18.2,20.67,43.99
Operating Cash Flow USD Mil,4484.0,4711.0,2075.0,4102.0,3879.0,4075.0,7823.0,6502.0,7516.0,5478.0,6228.0
Cap Spending USD Mil,-2105.0,-2339.0,-2123.0,-2175.0,-2830.0,-2614.0,-2302.0,-3572.0,-3872.0,-3991.0,-3256.0
Free Cash Flow USD Mil,2379.0,2372.0,-48.0,1927.0,1049.0,1461.0,5521.0,2930.0,3644.0,1487.0,2972.0
Free Cash Flow Per Share * USD,2.46,2.53,-0.05,1.68,0.95,1.24,3.74,2.15,3.18,1.56,
Working Capital USD Mil,6209.0,2952.0,6454.0,9885.0,9788.0,12191.0,13006.0,12674.0,13260.0,11055.0,
