,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,14993000000.0,12998000000.0,12173000000.0,7106000000.0,7607000000.0,15882000000.0
1,1,Cost of revenue,11851000000.0,9567000000.0,9534000000.0,5185000000.0,5545000000.0,11861000000.0
2,2,Gross profit,3142000000.0,3431000000.0,2639000000.0,1921000000.0,2062000000.0,4021000000.0
3,3,Operating expenses,2535000000.0,2372000000.0,2775000000.0,1698000000.0,1926000000.0,3361000000.0
4,3,"Sales, General and administrative",1195000000.0,1278000000.0,1537000000.0,1040000000.0,1279000000.0,1763000000.0
5,3,"Restructuring, merger and acquisition",264000000.0,76000000.0,261000000.0,,,
6,3,Other operating expenses,1076000000.0,1018000000.0,977000000.0,658000000.0,647000000.0,1598000000.0
7,3,Total operating expenses,2535000000.0,2372000000.0,2775000000.0,1698000000.0,1926000000.0,3361000000.0
8,8,Operating income,607000000.0,1059000000.0,-136000000.0,223000000.0,136000000.0,660000000.0
9,9,Interest Expense,183000000.0,147000000.0,148000000.0,123000000.0,117000000.0,217000000.0
10,10,Other income (expense),56000000.0,-2000000.0,8000000.0,-90000000.0,-193000000.0,-8000000.0
11,11,Income before taxes,480000000.0,910000000.0,-276000000.0,10000000.0,-174000000.0,435000000.0
12,12,Provision for income taxes,-35000000.0,289000000.0,-312000000.0,-62000000.0,-74000000.0,98000000.0
13,13,Net income from continuing operations,515000000.0,621000000.0,36000000.0,72000000.0,-100000000.0,337000000.0
14,14,Net income from discontinuing ops,464000000.0,69000000.0,-29000000.0,191000000.0,0.0,
15,15,Other,-18000000.0,-16000000.0,-15000000.0,-12000000.0,-23000000.0,-39000000.0
16,16,Net income,961000000.0,674000000.0,-8000000.0,251000000.0,-123000000.0,298000000.0
17,17,Net income available to common shareholders,961000000.0,674000000.0,-8000000.0,251000000.0,-123000000.0,298000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,6.22,4.56,-0.06,1.82,-0.88,0.62
20,20,Diluted,6.18,4.47,-0.06,1.78,-0.88,0.59
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,154590000.0,147647000.0,142557000.0,138280000.0,140390000.0,212685000.0
23,23,Diluted,155557000.0,150761000.0,145780000.0,141330000.0,140390000.0,215200000.0
24,24,EBITDA,1797000000.0,2075000000.0,849000000.0,900000000.0,601000000.0,1875000000.0
