Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,,,,,5431.0,4479.0,3936.0,7583.0,9197.0,10392.0,10954.0
Gross Margin %,,,,,4.4,6.1,12.2,29.5,40.6,45.8,48.8
Operating Income THB Mil,,,,,79.0,107.0,282.0,1630.0,3362.0,4242.0,4841.0
Operating Margin %,,,,,1.4,2.4,7.2,21.5,36.6,40.8,44.2
Net Income THB Mil,,,,,63.0,107.0,267.0,1608.0,2687.0,3252.0,3752.0
Earnings Per Share THB,,,,,0.02,0.03,0.07,0.43,0.72,0.87,1.0
Dividends THB,,,,,,,0.01,0.02,0.02,0.1,0.15
Payout Ratio % *,,,,,,,17.0,5.6,3.1,12.2,15.0
Shares Mil,,,,,2923.0,3127.0,3693.0,3730.0,3730.0,3730.0,3730.0
Book Value Per Share * THB,,,,,,,1.14,1.48,2.1,2.83,3.69
Operating Cash Flow THB Mil,,,,,188.0,143.0,583.0,2107.0,3456.0,4951.0,5981.0
Cap Spending THB Mil,,,,,-490.0,-989.0,-6431.0,-8613.0,-11705.0,-8212.0,-3806.0
Free Cash Flow THB Mil,,,,,-301.0,-846.0,-5848.0,-6506.0,-8249.0,-3260.0,2175.0
Free Cash Flow Per Share * THB,,,,,,,-0.8,-1.33,-1.91,-1.94,
Working Capital THB Mil,,,,,100.0,-301.0,526.0,-351.0,-383.0,2594.0,
