,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,25.875,26.25,25.625,25.75,7.880816,376400
1,1995-01-04,25.625,26.0,25.5,26.0,7.957330000000001,761400
2,1995-01-05,26.0,26.125,25.875,26.125,7.995589,228300
3,1995-01-06,26.125,26.375,25.875,25.875,7.919073,186200
4,1995-01-09,25.875,26.25,25.875,26.125,7.995589,336000
5,1995-01-10,26.25,26.625,26.125,26.375,8.072096,235800
6,1995-01-11,26.375,26.625,26.375,26.5,8.110357,667300
7,1995-01-12,26.5,26.75,26.125,26.75,8.186867999999999,250600
8,1995-01-13,27.0,27.125,26.75,27.125,8.301635000000001,895000
9,1995-01-16,27.0,27.5,26.875,27.25,8.339894000000001,250800
10,1995-01-17,27.125,27.375,27.0,27.375,8.378148,319700
11,1995-01-18,27.25,28.0,27.25,27.75,8.492919,483300
12,1995-01-19,27.625,27.75,27.25,27.5,8.416409,269500
13,1995-01-20,27.375,27.875,27.375,27.875,8.531178,469900
14,1995-01-23,27.75,27.875,27.625,27.875,8.531178,174800
15,1995-01-24,27.875,27.875,27.625,27.75,8.492919,184100
16,1995-01-25,27.625,28.0,27.375,27.625,8.454659,311200
17,1995-01-26,27.75,27.75,27.5,27.75,8.492919,249000
18,1995-01-27,27.875,28.5,27.875,28.375,8.684201,371000
19,1995-01-30,28.375,28.375,28.25,28.375,8.684201,113300
20,1995-01-31,28.25,28.375,28.125,28.25,8.645946,454600
21,1995-02-01,28.125,28.5,27.875,28.0,8.56943,198700
22,1995-02-02,28.0,28.25,27.875,28.25,8.645946,184700
23,1995-02-03,28.5,28.75,28.375,28.75,8.798967999999999,238100
24,1995-02-06,28.75,28.875,28.625,28.75,8.798967999999999,334900
25,1995-02-07,28.75,28.875,28.625,28.75,8.798967999999999,111300
26,1995-02-08,28.625,28.875,28.375,28.5,8.722456,1600600
27,1995-02-09,27.875,28.125,27.75,27.75,8.647663,905600
28,1995-02-10,27.875,27.875,27.5,27.75,8.647663,265000
29,1995-02-13,27.625,27.75,27.625,27.75,8.647663,277900
30,1995-02-14,27.875,27.875,27.625,27.875,8.68662,174400
31,1995-02-15,27.875,27.875,27.625,27.75,8.647663,260800
32,1995-02-16,27.75,27.75,27.5,27.75,8.647663,242600
33,1995-02-17,27.625,27.875,27.5,27.75,8.647663,394700
34,1995-02-21,27.875,28.0,27.625,27.875,8.68662,319200
35,1995-02-22,27.875,28.0,27.75,28.0,8.725574,246600
36,1995-02-23,28.0,28.125,27.875,28.0,8.725574,231500
37,1995-02-24,27.875,28.0,27.75,28.0,8.725574,145400
38,1995-02-27,27.875,27.875,27.5,27.5,8.569757000000001,99900
39,1995-02-28,27.5,27.625,27.125,27.625,8.608711,307200
40,1995-03-01,27.375,27.625,26.875,27.0,8.413946000000001,429200
41,1995-03-02,26.875,27.0,26.375,26.75,8.336038,266800
42,1995-03-03,26.75,26.875,26.625,26.75,8.336038,153800
43,1995-03-06,26.625,26.75,26.25,26.5,8.258133,234100
44,1995-03-07,26.5,26.5,26.0,26.25,8.180225,243600
45,1995-03-08,26.375,26.75,26.125,26.75,8.336038,272200
46,1995-03-09,26.625,26.625,26.5,26.625,8.297085000000001,118100
47,1995-03-10,26.625,27.125,26.25,27.125,8.452898,347200
48,1995-03-13,27.125,27.125,26.75,26.875,8.374991,538900
49,1995-03-14,27.0,27.375,27.0,27.25,8.491853,273900
50,1995-03-15,27.5,27.5,27.125,27.5,8.569757000000001,373600
51,1995-03-16,27.625,27.875,27.5,27.875,8.68662,797300
52,1995-03-17,27.875,27.875,27.5,27.625,8.608711,490100
53,1995-03-20,27.5,27.625,27.0,27.125,8.452898,132300
54,1995-03-21,27.0,27.25,26.75,27.0,8.413946000000001,186900
55,1995-03-22,27.0,27.0,26.75,27.0,8.413946000000001,128500
56,1995-03-23,27.0,27.125,26.75,26.875,8.374991,211100
57,1995-03-24,27.125,27.5,27.0,27.375,8.530808,201800
58,1995-03-27,27.625,27.75,27.25,27.375,8.530808,152600
59,1995-03-28,27.375,27.375,27.0,27.0,8.413946000000001,302500
60,1995-03-29,27.0,27.625,27.0,27.375,8.530808,363800
61,1995-03-30,27.625,27.75,27.25,27.25,8.491853,344600
62,1995-03-31,27.125,27.25,26.875,27.25,8.491853,212600
63,1995-04-03,27.125,27.5,27.125,27.375,8.530808,249100
64,1995-04-04,27.0,27.625,27.0,27.625,8.608711,521700
65,1995-04-05,27.5,28.125,27.5,28.125,8.764527000000001,314900
66,1995-04-06,28.125,28.125,27.75,27.75,8.647663,169600
67,1995-04-07,27.875,28.0,27.625,27.875,8.68662,386000
68,1995-04-10,27.875,27.875,27.625,27.75,8.647663,119200
69,1995-04-11,27.75,28.0,27.5,27.75,8.647663,181800
70,1995-04-12,27.875,28.0,27.75,28.0,8.725574,225400
71,1995-04-13,28.0,28.0,27.625,27.625,8.608711,294100
72,1995-04-17,28.0,28.0,27.125,27.25,8.491853,277800
73,1995-04-18,27.375,27.375,27.125,27.375,8.530808,291900
74,1995-04-19,27.25,27.5,27.0,27.5,8.569757000000001,263700
75,1995-04-20,27.625,27.625,27.25,27.25,8.491853,184400
76,1995-04-21,27.5,27.5,27.375,27.375,8.530808,171300
77,1995-04-24,27.375,27.625,27.25,27.625,8.608711,256200
78,1995-04-25,27.5,27.75,27.375,27.375,8.530808,271400
79,1995-04-26,27.375,27.5,27.125,27.125,8.452898,137400
80,1995-04-27,27.25,27.625,27.125,27.625,8.608711,297800
81,1995-04-28,27.75,27.75,27.5,27.75,8.647663,228400
82,1995-05-01,27.75,27.875,27.5,27.875,8.68662,230600
83,1995-05-02,27.875,27.875,27.75,27.75,8.647663,112800
84,1995-05-03,27.875,28.0,27.75,28.0,8.725574,202000
85,1995-05-04,28.0,28.25,27.875,28.0,8.725574,304700
86,1995-05-05,28.25,28.375,27.875,28.375,8.842433999999999,187700
87,1995-05-08,28.125,28.625,28.125,28.5,8.881394,204400
88,1995-05-09,28.5,28.875,28.375,28.75,8.959292999999999,324000
89,1995-05-10,28.875,28.875,28.625,28.625,8.920342999999999,1317200
90,1995-05-11,28.0,28.25,27.625,27.875,8.844189,629900
91,1995-05-12,27.625,27.875,27.5,27.625,8.764874,526900
92,1995-05-15,28.0,28.375,27.875,28.375,9.002833,377100
93,1995-05-16,28.5,28.625,28.375,28.5,9.042492999999999,356400
94,1995-05-17,28.5,28.5,28.25,28.375,9.002833,192600
95,1995-05-18,28.375,28.375,28.0,28.125,8.923511999999999,172000
96,1995-05-19,28.0,28.125,27.875,27.875,8.844189,270900
97,1995-05-22,28.0,28.0,27.75,27.75,8.804535000000001,258600
98,1995-05-23,27.875,28.0,27.75,28.0,8.883854,204300
99,1995-05-24,28.25,28.375,27.875,28.125,8.923511999999999,434500
100,1995-05-25,28.125,28.625,28.0,28.625,9.082155,297900
101,1995-05-26,28.5,28.75,28.25,28.5,9.042492999999999,211100
102,1995-05-30,28.5,29.25,28.5,29.25,9.280457,439100
103,1995-05-31,29.25,29.875,29.0,29.875,9.478755,423300
104,1995-06-01,29.875,29.875,29.625,29.875,9.478755,782500
105,1995-06-02,29.875,30.5,29.75,30.0,9.518417,519700
106,1995-06-05,30.125,30.875,30.0,30.75,9.756373,713800
107,1995-06-06,30.75,30.75,30.5,30.625,9.716717,679500
108,1995-06-07,30.5,30.625,29.875,30.125,9.558076,571300
109,1995-06-08,30.0,30.0,29.75,29.875,9.478755,407500
110,1995-06-09,29.625,29.625,28.875,29.125,9.240799,436300
111,1995-06-12,29.125,29.75,29.125,29.625,9.399434,379200
112,1995-06-13,29.875,30.125,29.75,30.0,9.518417,222900
113,1995-06-14,29.75,30.125,29.75,30.0,9.518417,249500
114,1995-06-15,29.875,30.125,29.875,30.0,9.518417,427400
115,1995-06-16,30.0,30.0,29.5,29.5,9.359772,744600
116,1995-06-19,29.625,29.875,29.5,29.5,9.359772,145700
117,1995-06-20,29.5,29.5,29.0,29.375,9.320110000000001,498400
118,1995-06-21,29.25,29.5,29.25,29.5,9.359772,210900
119,1995-06-22,29.625,30.125,29.625,30.125,9.558076,274600
120,1995-06-23,30.0,30.0,29.625,29.875,9.478755,156500
121,1995-06-26,29.625,29.75,29.25,29.375,9.320110000000001,128400
122,1995-06-27,29.5,29.75,29.375,29.5,9.359772,297800
123,1995-06-28,29.5,30.0,29.5,29.875,9.478755,266900
124,1995-06-29,29.875,29.875,29.5,29.75,9.439093,365600
125,1995-06-30,29.875,29.875,29.5,29.5,9.359772,207400
126,1995-07-03,29.625,29.625,29.375,29.5,9.359772,44400
127,1995-07-05,29.375,29.625,29.125,29.25,9.280457,263600
128,1995-07-06,29.25,29.875,29.125,29.875,9.478755,240500
129,1995-07-07,29.625,29.75,29.25,29.375,9.320110000000001,171600
130,1995-07-10,29.375,29.375,29.25,29.375,9.320110000000001,142700
131,1995-07-11,29.125,29.375,29.125,29.25,9.280457,461700
132,1995-07-12,29.0,29.5,29.0,29.25,9.280457,345200
133,1995-07-13,29.25,29.375,29.125,29.25,9.280457,219400
134,1995-07-14,29.125,29.25,28.75,29.0,9.201136,400900
135,1995-07-17,28.875,29.875,28.75,28.875,9.161475,276100
136,1995-07-18,28.875,29.125,28.625,29.0,9.201136,237800
137,1995-07-19,28.75,28.875,28.375,28.75,9.121815,327900
138,1995-07-20,28.75,29.0,28.5,28.875,9.161475,187600
139,1995-07-21,28.875,29.0,28.5,28.625,9.082155,273400
140,1995-07-24,28.75,28.875,28.625,28.75,9.121815,183300
141,1995-07-25,28.875,29.25,28.75,29.25,9.280457,202300
142,1995-07-26,29.25,29.375,29.0,29.0,9.201136,198900
143,1995-07-27,29.25,29.375,29.125,29.25,9.280457,149800
144,1995-07-28,29.375,29.375,29.0,29.125,9.240799,116400
145,1995-07-31,29.0,29.125,28.75,29.0,9.201136,180200
146,1995-08-01,29.0,29.125,28.75,28.75,9.121815,138500
147,1995-08-02,29.0,29.25,29.0,29.125,9.240799,258000
148,1995-08-03,29.125,29.125,28.75,28.875,9.161475,226500
149,1995-08-04,28.875,29.125,28.75,28.875,9.161475,126400
150,1995-08-07,29.0,29.125,28.875,28.875,9.161475,158300
151,1995-08-08,29.0,29.125,28.875,29.125,9.240799,159800
152,1995-08-09,29.125,29.25,29.0,29.0,9.201136,131300
153,1995-08-10,29.0,29.125,28.875,28.875,9.161475,162100
154,1995-08-11,29.0,29.0,28.625,28.875,9.161475,955800
155,1995-08-14,28.25,28.375,28.0,28.0,9.043584,465900
156,1995-08-15,28.125,28.25,28.0,28.25,9.124329,467900
157,1995-08-16,28.125,28.5,28.125,28.375,9.164703,3008100
158,1995-08-17,28.375,28.75,28.25,28.625,9.24545,263600
159,1995-08-18,28.75,28.75,28.5,28.75,9.285824,184100
160,1995-08-21,28.75,28.875,28.625,28.625,9.24545,280000
161,1995-08-22,28.625,28.75,28.625,28.625,9.24545,168200
162,1995-08-23,28.625,28.75,28.375,28.375,9.164703,199300
163,1995-08-24,28.5,28.625,28.25,28.5,9.205074,173200
164,1995-08-25,28.625,28.875,28.5,28.75,9.285824,188000
165,1995-08-28,28.875,28.875,28.625,28.75,9.285824,374900
166,1995-08-29,28.75,28.75,28.5,28.75,9.285824,156700
167,1995-08-30,28.75,28.75,28.25,28.375,9.164703,251600
168,1995-08-31,28.25,28.5,28.25,28.25,9.124329,167300
169,1995-09-01,28.125,28.375,28.125,28.25,9.124329,123000
170,1995-09-05,28.25,28.25,27.875,28.25,9.124329,282600
171,1995-09-06,28.125,28.375,28.125,28.25,9.124329,220400
172,1995-09-07,28.25,28.25,27.875,28.125,9.083960000000001,245400
173,1995-09-08,28.25,28.25,28.0,28.25,9.124329,235300
174,1995-09-11,28.25,28.375,28.0,28.125,9.083960000000001,147200
175,1995-09-12,28.25,28.375,28.125,28.25,9.124329,301600
176,1995-09-13,28.25,28.375,28.25,28.25,9.124329,238200
177,1995-09-14,28.375,29.0,28.25,29.0,9.36657,520600
178,1995-09-15,29.125,29.25,28.75,28.875,9.326197,615600
179,1995-09-18,29.0,29.25,28.875,29.125,9.406941,240700
180,1995-09-19,29.125,29.125,29.0,29.125,9.406941,149600
181,1995-09-20,29.0,29.5,29.0,29.5,9.528061,238500
182,1995-09-21,29.5,29.5,29.125,29.375,9.487683,152100
183,1995-09-22,29.125,29.625,29.0,29.625,9.568435000000001,300800
184,1995-09-25,29.625,29.625,29.375,29.625,9.568435000000001,117900
185,1995-09-26,29.5,30.0,29.5,29.875,9.649181,307900
186,1995-09-27,29.75,30.125,29.625,30.125,9.72993,224900
187,1995-09-28,30.125,30.5,30.0,30.5,9.851047,347300
188,1995-09-29,30.5,30.625,30.25,30.375,9.810675,250800
189,1995-10-02,30.375,30.625,30.25,30.5,9.851047,158300
190,1995-10-03,30.375,30.75,30.375,30.75,9.931794,213500
191,1995-10-04,30.625,30.875,30.625,30.75,9.931794,185400
192,1995-10-05,30.75,30.75,30.375,30.625,9.89142,120100
193,1995-10-06,30.625,30.75,30.125,30.125,9.72993,203500
194,1995-10-09,30.125,30.625,30.125,30.625,9.89142,168000
195,1995-10-10,30.5,30.875,30.5,30.875,9.972168,267700
196,1995-10-11,30.875,31.0,30.75,30.75,9.931794,360900
197,1995-10-12,30.875,31.0,30.5,30.5,9.851047,175700
198,1995-10-13,30.5,30.625,30.125,30.125,9.72993,231000
199,1995-10-16,30.25,30.25,30.0,30.0,9.68956,124900
200,1995-10-17,30.125,30.25,30.0,30.125,9.72993,145200
201,1995-10-18,30.125,30.375,30.125,30.375,9.810675,184400
202,1995-10-19,30.5,30.625,30.375,30.5,9.851047,135600
203,1995-10-20,30.625,30.875,30.5,30.75,9.931794,245400
204,1995-10-23,30.5,30.75,30.25,30.625,9.89142,171900
205,1995-10-24,30.625,30.875,30.375,30.875,9.972168,130900
206,1995-10-25,30.875,31.125,30.75,31.0,10.012547,209800
207,1995-10-26,30.875,31.125,30.75,30.875,9.972168,588400
208,1995-10-27,30.75,30.875,30.625,30.625,9.89142,550200
209,1995-10-30,30.625,30.875,30.5,30.75,9.931794,115100
210,1995-10-31,30.875,31.0,30.375,30.375,9.810675,148300
211,1995-11-01,30.375,30.75,30.25,30.375,9.810675,118200
212,1995-11-02,30.5,30.625,30.375,30.5,9.851047,106700
213,1995-11-03,30.5,30.625,30.375,30.375,9.810675,113700
214,1995-11-06,30.375,30.5,29.75,29.875,9.649181,327600
215,1995-11-07,30.0,30.0,29.75,29.875,9.649181,138200
216,1995-11-08,29.875,30.25,29.875,30.25,9.7703,114900
217,1995-11-09,30.25,30.25,30.0,30.25,9.7703,201700
218,1995-11-10,30.0,30.0,29.5,29.75,9.608808999999999,1254800
219,1995-11-13,29.25,29.25,28.75,28.875,9.488866,368400
220,1995-11-14,28.875,29.25,28.875,29.0,9.529942,632600
221,1995-11-15,29.0,29.25,29.0,29.25,9.612092,407900
222,1995-11-16,29.25,29.25,29.0,29.125,9.571019999999999,462300
223,1995-11-17,29.125,29.25,29.0,29.25,9.612092,256900
224,1995-11-20,29.125,29.125,28.875,29.0,9.529942,111000
225,1995-11-21,29.0,29.25,29.0,29.25,9.612092,414700
226,1995-11-22,29.25,29.25,29.0,29.0,9.529942,175800
227,1995-11-24,29.0,29.0,28.75,28.875,9.488866,71000
228,1995-11-27,28.875,29.25,28.875,29.125,9.571019999999999,230700
229,1995-11-28,29.0,29.25,28.75,29.25,9.612092,173100
230,1995-11-29,29.25,29.25,29.125,29.25,9.612092,176700
231,1995-11-30,29.25,29.375,28.75,28.75,9.447787,282100
232,1995-12-01,28.75,29.0,28.375,28.75,9.447787,504700
233,1995-12-04,28.875,29.25,28.875,29.125,9.571019999999999,453200
234,1995-12-05,29.125,29.875,29.125,29.625,9.735330000000001,722600
235,1995-12-06,29.75,30.0,29.625,29.75,9.776406,316200
