Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1843.0,1936.0,1716.0,1860.0,1893.0,2073.0,2304.0,2436.0,2663.0,3145.0,3325.0
Gross Margin %,59.2,59.1,58.1,59.1,62.8,63.4,65.8,65.3,66.7,64.6,64.6
Operating Income USD Mil,486.0,477.0,382.0,430.0,469.0,480.0,611.0,638.0,693.0,817.0,838.0
Operating Margin %,26.4,24.7,22.2,23.1,24.8,23.2,26.5,26.2,26.1,26.0,25.2
Net Income USD Mil,272.0,273.0,234.0,266.0,233.0,272.0,352.0,367.0,429.0,489.0,538.0
Earnings Per Share USD,2.02,2.09,1.83,2.11,1.88,2.22,2.84,2.97,3.55,4.04,4.43
Dividends USD,,,,0.25,0.64,0.72,0.88,1.0,0.87,1.32,1.5
Payout Ratio % *,,,,4.8,36.0,28.8,33.7,34.9,24.2,32.4,33.8
Shares Mil,135.0,130.0,128.0,127.0,124.0,123.0,124.0,124.0,121.0,121.0,121.0
Book Value Per Share * USD,7.22,8.06,,10.17,11.34,11.66,12.97,16.08,17.18,21.55,21.99
Operating Cash Flow USD Mil,449.0,444.0,418.0,353.0,408.0,496.0,566.0,616.0,742.0,795.0,860.0
Cap Spending USD Mil,-119.0,-111.0,-71.0,-99.0,-75.0,-66.0,-83.0,-86.0,-146.0,-174.0,-200.0
Free Cash Flow USD Mil,331.0,334.0,347.0,253.0,333.0,430.0,483.0,529.0,595.0,622.0,660.0
Free Cash Flow Per Share * USD,1.46,2.04,,1.51,2.03,2.69,2.62,3.43,4.71,4.27,
Working Capital USD Mil,-122.0,35.0,-75.0,110.0,90.0,-116.0,-14.0,-218.0,-42.0,-587.0,
