,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2160500000.0,2303900000.0,2436400000.0,2663600000.0,3144900000.0,3324900000.0
1,1,Cost of revenue,829100000.0,787300000.0,844700000.0,887400000.0,1113400000.0,1178200000.0
2,2,Gross profit,1331400000.0,1516600000.0,1591700000.0,1776200000.0,2031500000.0,2146700000.0
3,3,Operating expenses,842400000.0,905400000.0,953500000.0,1082300000.0,1213600000.0,1309000000.0
4,3,"Sales, General and administrative",678700000.0,715800000.0,751700000.0,884300000.0,948200000.0,1023900000.0
5,3,Other operating expenses,163700000.0,189600000.0,201800000.0,198000000.0,265400000.0,285100000.0
6,3,Total operating expenses,842400000.0,905400000.0,953500000.0,1082300000.0,1213600000.0,1309000000.0
7,7,Operating income,489000000.0,611200000.0,638200000.0,693900000.0,817900000.0,837700000.0
8,8,Interest Expense,55400000.0,70200000.0,68600000.0,63800000.0,92100000.0,94200000.0
9,9,Other income (expense),6600000.0,-10600000.0,4600000.0,6500000.0,2400000.0,13400000.0
10,10,Income before taxes,440200000.0,530400000.0,574200000.0,636600000.0,728200000.0,756900000.0
11,11,Provision for income taxes,159400000.0,188900000.0,200200000.0,201800000.0,233100000.0,208600000.0
12,12,Net income from continuing operations,280800000.0,341500000.0,374000000.0,434800000.0,495100000.0,548300000.0
13,13,Net income from discontinuing ops,0.0,18400000.0,0.0,,,
14,14,Other,-8700000.0,-8100000.0,-6600000.0,-5700000.0,-6300000.0,-10300000.0
15,15,Net income,272100000.0,351800000.0,367400000.0,429100000.0,488800000.0,538000000.0
16,16,Net income available to common shareholders,272100000.0,351800000.0,367400000.0,429100000.0,488800000.0,538000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.27,2.9,3.03,3.61,4.1,4.48
19,19,Diluted,2.22,2.84,2.97,3.55,4.04,4.43
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,119900000.0,121200000.0,121200000.0,118700000.0,119300000.0,119975000.0
22,22,Diluted,122500000.0,123700000.0,123500000.0,120900000.0,121100000.0,121475000.0
23,23,EBITDA,659300000.0,790900000.0,847000000.0,900400000.0,1089000000.0,1141100000.0
