,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,24669000000.0,24537000000.0,22304000000.0,14522000000.0,15264000000.0,15264000000.0
1,1,Cost of revenue,14717000000.0,14379000000.0,13256000000.0,8260000000.0,8860000000.0,8860000000.0
2,2,Gross profit,9952000000.0,10158000000.0,9048000000.0,6262000000.0,6404000000.0,6404000000.0
3,3,Operating expenses,5648000000.0,5715000000.0,5184000000.0,3464000000.0,3754000000.0,3754000000.0
4,3,"Sales, General and administrative",5648000000.0,5715000000.0,5184000000.0,3464000000.0,3618000000.0,3618000000.0
5,3,Other operating expenses,0.0,0.0,0.0,0.0,136000000.0,136000000.0
6,3,Total operating expenses,5648000000.0,5715000000.0,5184000000.0,3464000000.0,3754000000.0,3754000000.0
7,7,Operating income,4304000000.0,4443000000.0,3864000000.0,2798000000.0,2650000000.0,2650000000.0
8,8,Interest Expense,234000000.0,218000000.0,200000000.0,206000000.0,201000000.0,201000000.0
9,9,Other income (expense),-874000000.0,-877000000.0,497000000.0,-276000000.0,-114000000.0,-114000000.0
10,10,Income before taxes,3196000000.0,3348000000.0,4161000000.0,2316000000.0,2335000000.0,2335000000.0
11,11,Provision for income taxes,1130000000.0,1164000000.0,1428000000.0,697000000.0,660000000.0,660000000.0
12,12,Net income from continuing operations,2066000000.0,2184000000.0,2733000000.0,1619000000.0,1675000000.0,1675000000.0
13,13,Net income from discontinuing ops,0.0,,,45000000.0,-125000000.0,-125000000.0
14,14,Other,-62000000.0,-37000000.0,-23000000.0,-29000000.0,-32000000.0,-32000000.0
15,15,Net income,2004000000.0,2147000000.0,2710000000.0,1635000000.0,1518000000.0,1518000000.0
16,16,Net income available to common shareholders,2004000000.0,2147000000.0,2710000000.0,1635000000.0,1518000000.0,1518000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.78,3.05,4.01,2.53,2.35,2.35
19,19,Diluted,2.76,3.03,3.99,2.52,2.35,2.35
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,717700000.0,700200000.0,673300000.0,644000000.0,642100000.0,642100000.0
22,22,Diluted,722900000.0,704100000.0,676500000.0,646800000.0,643400000.0,643400000.0
23,23,EBITDA,4249000000.0,4397000000.0,5176000000.0,3090000000.0,3172000000.0,3172000000.0
