,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,27336578000.0,30574238000.0,34762687000.0,26975244000.0,29459433000.0
1,0,Current assets,3589884000.0,4072015000.0,5416021000.0,2592244000.0,3554603000.0
2,1,Cash,876435000.0,1318209000.0,2087213000.0,718506000.0,1599895000.0
3,2,Cash and cash equivalents,876435000.0,1318209000.0,2087213000.0,718506000.0,1599895000.0
4,2,Total cash,876435000.0,1318209000.0,2087213000.0,718506000.0,1599895000.0
5,1,Receivables,1685781000.0,1663650000.0,1850932000.0,971314000.0,1228625000.0
6,1,Inventories,683187000.0,563268000.0,706597000.0,598935000.0,350017000.0
7,1,Deferred income taxes,,244606000.0,19618000.0,147812000.0,169387000.0
8,1,Other current assets,344481000.0,282282000.0,751661000.0,155677000.0,206679000.0
9,1,Total current assets,3589884000.0,4072015000.0,5416021000.0,2592244000.0,3554603000.0
10,0,Non-current assets,23746694000.0,26502223000.0,29346666000.0,24383000000.0,25904830000.0
11,10,"Property, plant and equipment",23337681000.0,26148836000.0,29172644000.0,24210721000.0,25707078000.0
12,11,"Gross property, plant and equipment",40866917000.0,45788888000.0,50254490000.0,54599851000.0,53600655000.0
13,11,Accumulated Depreciation,-17529236000.0,-19640052000.0,-21081846000.0,-30389130000.0,-27893577000.0
14,11,"Net property, plant and equipment",23337681000.0,26148836000.0,29172644000.0,24210721000.0,25707078000.0
15,10,Other long-term assets,409013000.0,353387000.0,174022000.0,172279000.0,197752000.0
16,10,Total non-current assets,23746694000.0,26502223000.0,29346666000.0,24383000000.0,25904830000.0
17,0,Total assets,27336578000.0,30574238000.0,34762687000.0,26975244000.0,29459433000.0
18,18,Liabilities and stockholders' equity,27336578000.0,30574238000.0,34762687000.0,26975244000.0,29459433000.0
19,18,Liabilities,14051814000.0,15155779000.0,17050105000.0,14032209000.0,15477852000.0
20,19,Current liabilities,2924058000.0,2861716000.0,3384308000.0,1819287000.0,2027291000.0
21,20,Accounts payable,2078948000.0,2254418000.0,2860548000.0,1471953000.0,1511826000.0
22,20,Short-term debt,406579000.0,6579000.0,6579000.0,6579000.0,6579000.0
23,20,Deferred income taxes,22838000.0,,110743000.0,,
24,20,Other current liabilities,415693000.0,600719000.0,406438000.0,340755000.0,508886000.0
25,20,Total current liabilities,2924058000.0,2861716000.0,3384308000.0,1819287000.0,2027291000.0
26,19,Non-current liabilities,11127756000.0,12294063000.0,13665797000.0,12212922000.0,13450561000.0
27,26,Long-term debt,5905602000.0,5906642000.0,5903354000.0,6653685000.0,6979779000.0
28,26,Deferred taxes liabilities,4327396000.0,5522354000.0,6822946000.0,4587902000.0,5188640000.0
29,26,Other long-term liabilities,894758000.0,865067000.0,939497000.0,971335000.0,1282142000.0
30,26,Total non-current liabilities,11127756000.0,12294063000.0,13665797000.0,12212922000.0,13450561000.0
31,19,Total liabilities,14051814000.0,15155779000.0,17050105000.0,14032209000.0,15477852000.0
32,18,Stockholders' equity,13284764000.0,15418459000.0,17712582000.0,12943035000.0,13981581000.0
33,32,Common stock,202720000.0,202732000.0,205492000.0,205502000.0,205770000.0
34,32,Additional paid-in capital,2500340000.0,2646879000.0,2837150000.0,2923461000.0,5420385000.0
35,32,Retained earnings,10175631000.0,12168277000.0,14763098000.0,9870816000.0,8398118000.0
36,32,Treasury stock,-33822000.0,-15263000.0,-70102000.0,-23406000.0,-23682000.0
37,32,Accumulated other comprehensive income,439895000.0,415834000.0,-23056000.0,-33338000.0,-19010000.0
38,32,Total Stockholders' equity,13284764000.0,15418459000.0,17712582000.0,12943035000.0,13981581000.0
39,18,Total liabilities and stockholders' equity,27336578000.0,30574238000.0,34762687000.0,26975244000.0,29459433000.0
