,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,11682636000.0,14487118000.0,18035340000.0,8757428000.0,7650632000.0,10269920000.0
1,1,Cost of revenue,1899967000.0,2302894000.0,2767267000.0,2147503000.0,1950069000.0,2046483000.0
2,2,Gross profit,9782669000.0,12184224000.0,15268073000.0,6609925000.0,5700563000.0,8223437000.0
3,3,Costs and expenses,8501929000.0,8747338000.0,10272758000.0,13531481000.0,7258068000.0,8169618000.0
4,3,"Sales, General and administrative",3367039000.0,3997152000.0,4528070000.0,2823576000.0,2402450000.0,3374563000.0
5,3,Depreciation and amortization,3169703000.0,3600976000.0,3997041000.0,3313644000.0,3553417000.0,3390166000.0
6,3,Interest expense,213552000.0,235460000.0,201458000.0,237393000.0,281681000.0,
7,3,Other operating expenses,1751635000.0,913750000.0,1546189000.0,7156868000.0,1020520000.0,1404889000.0
8,3,Total costs and expenses,8501929000.0,8747338000.0,10272758000.0,13531481000.0,7258068000.0,8169618000.0
9,9,Income before income taxes,1280740000.0,3436886000.0,4995315000.0,-6921556000.0,-1557505000.0,53819000.0
10,10,Provision for income taxes,710461000.0,1239777000.0,2079828000.0,-2397041000.0,-460819000.0,44060000.0
11,11,Net income from continuing operations,570279000.0,2197109000.0,2915487000.0,-4524515000.0,-1096686000.0,9759000.0
12,12,Net income,570279000.0,2197109000.0,2915487000.0,-4524515000.0,-1096686000.0,9759000.0
13,13,Net income available to common shareholders,570279000.0,2197109000.0,2915487000.0,-4524515000.0,-1096686000.0,9759000.0
14,14,Earnings per share,,,,,,
15,15,Basic,1.065,4.065,5.36,-8.29,-1.98,0.02
16,16,Diluted,1.055,4.02,5.32,-8.29,-1.98,0.02
17,17,Weighted average shares outstanding,,,,,,
18,18,Basic,535154000.0,540340000.0,543443000.0,545697000.0,553384000.0,573690250.0
19,19,Diluted,541524000.0,546228000.0,548539000.0,545697000.0,553384000.0,576752500.0
20,20,EBITDA,4663995000.0,7273322000.0,9193814000.0,-3370519000.0,2277593000.0,3684626000.0
