Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1947.0,1887.0,1640.0,1675.0,1525.0,1748.0,2388.0,2615.0,2745.0,2426.0,2446.0
Gross Margin %,69.5,59.4,61.1,60.6,62.7,64.2,65.1,66.2,67.0,66.8,66.6
Operating Income USD Mil,539.0,424.0,433.0,348.0,407.0,514.0,512.0,922.0,1009.0,856.0,857.0
Operating Margin %,27.7,22.5,26.4,20.8,26.7,29.4,21.5,35.2,36.8,35.3,35.0
Net Income USD Mil,990.0,408.0,362.0,284.0,894.0,842.0,1831.0,631.0,870.0,4292.0,755.0
Earnings Per Share USD,3.39,1.46,1.27,0.95,2.98,2.7,5.16,1.73,2.36,11.68,2.05
Dividends USD,,,,,0.91,1.78,1.85,2.0,1.66,2.02,1.51
Payout Ratio % *,,,,,210.9,235.8,,164.1,67.2,18.0,73.7
Shares Mil,302.0,270.0,274.0,283.0,295.0,320.0,354.0,378.0,381.0,382.0,382.0
Book Value Per Share * USD,,,11.83,11.83,14.36,13.8,21.28,23.42,26.19,26.06,23.69
Operating Cash Flow USD Mil,793.0,755.0,672.0,733.0,798.0,1046.0,869.0,1324.0,1356.0,1111.0,1255.0
Cap Spending USD Mil,-2421.0,-1082.0,-882.0,-1481.0,-1723.0,-1209.0,-673.0,-1186.0,-1167.0,-945.0,-997.0
Free Cash Flow USD Mil,-1628.0,-327.0,-210.0,-749.0,-925.0,-162.0,196.0,138.0,189.0,167.0,258.0
Free Cash Flow Per Share * USD,,,0.32,-3.25,-0.58,-2.0,0.59,-0.04,0.78,-0.14,
Working Capital USD Mil,,,-399.0,333.0,234.0,488.0,-399.0,-604.0,-714.0,-267.0,
