,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,17201000000.0,22834545000.0,22950614000.0,23157328000.0,20704148000.0
1,0,Real estate properties,21008429000.0,26800948000.0,27675383000.0,25182352000.0,25386425000.0
2,0,Accumulated depreciation,-4912221000.0,-4807709000.0,-5432805000.0,-4905406000.0,-5360389000.0
3,0,"Real estate properties, net",16096208000.0,21993239000.0,22242578000.0,20276946000.0,20026036000.0
4,0,Cash and cash equivalents,612590000.0,53534000.0,40080000.0,42276000.0,77207000.0
5,0,Restricted cash,250442000.0,103567000.0,120388000.0,112839000.0,76946000.0
6,0,Other assets,241760000.0,684205000.0,547568000.0,2725267000.0,523959000.0
7,0,Total assets,17201000000.0,22834545000.0,22950614000.0,23157328000.0,20704148000.0
8,8,Liabilities and stockholders' equity,17201000000.0,22834545000.0,22950614000.0,23157328000.0,20704148000.0
9,8,Liabilities,9911187000.0,12327344000.0,12582158000.0,12686960000.0,10475070000.0
10,9,Short-term borrowing,0.0,115000000.0,333000000.0,387276000.0,19998000.0
11,9,Long-term debt,8529244000.0,10651254000.0,5425346000.0,10581222000.0,8967260000.0
12,9,Payables and accrued expenses,374771000.0,440611000.0,431696000.0,481723000.0,400724000.0
13,9,Other liabilities,1007172000.0,1120479000.0,6392116000.0,1236739000.0,1087088000.0
14,9,Total liabilities,9911187000.0,12327344000.0,12582158000.0,12686960000.0,10475070000.0
15,8,Stockholders' equity,7289813000.0,10507201000.0,10368456000.0,10470368000.0,10229078000.0
16,15,Preferred stock,50000000.0,50000000.0,50000000.0,37280000.0,37280000.0
17,15,Common stock,3251000.0,3605000.0,3629000.0,3648000.0,3659000.0
18,15,Additional paid-in capital,6542355000.0,8561500000.0,8536340000.0,8572365000.0,8758422000.0
19,15,Retained earnings,887355000.0,2047258000.0,1950639000.0,2009091000.0,1543626000.0
20,15,Accumulated other comprehensive income,-193148000.0,-155162000.0,-172152000.0,-152016000.0,-113909000.0
21,15,Total stockholders' equity,7289813000.0,10507201000.0,10368456000.0,10470368000.0,10229078000.0
22,8,Total liabilities and stockholders' equity,17201000000.0,22834545000.0,22950614000.0,23157328000.0,20704148000.0
