,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,28302824000.0,27795537000.0,29777975000.0,30580309000.0,32053173000.0
1,0,Current assets,2227295000.0,2087049000.0,2692465000.0,2618786000.0,2477672000.0
2,1,Cash,137723000.0,43364000.0,38703000.0,23947000.0,30251000.0
3,2,Cash and cash equivalents,45748000.0,43364000.0,38703000.0,23947000.0,30251000.0
4,2,Short-term investments,91975000.0,,,,
5,2,Total cash,137723000.0,43364000.0,38703000.0,23947000.0,30251000.0
6,1,Receivables,1008862000.0,990373000.0,1405411000.0,1283486000.0,1096262000.0
7,1,Inventories,267713000.0,303233000.0,349664000.0,336476000.0,328721000.0
8,1,Prepaid expenses,107972000.0,214288000.0,226194000.0,129034000.0,134813000.0
9,1,Other current assets,705025000.0,535791000.0,672493000.0,845843000.0,887625000.0
10,1,Total current assets,2227295000.0,2087049000.0,2692465000.0,2618786000.0,2477672000.0
11,0,Non-current assets,26075529000.0,25708488000.0,27085510000.0,27961523000.0,29575501000.0
12,11,"Property, plant and equipment",16605010000.0,17576186000.0,18647041000.0,19892441000.0,21350510000.0
13,12,"Gross property, plant and equipment",21841610000.0,23159386000.0,23743500000.0,26289100000.0,28072900000.0
14,12,Accumulated Depreciation,-5236600000.0,-5583200000.0,-5096459000.0,-6396700000.0,-6722400000.0
15,12,"Net property, plant and equipment",16605010000.0,17576186000.0,18647041000.0,19892441000.0,21350510000.0
16,11,Equity and other investments,400329000.0,488515000.0,515025000.0,516478000.0,544642000.0
17,11,Goodwill,3519401000.0,3519401000.0,3519401000.0,3519401000.0,3519401000.0
18,11,Regulatory assets,5132411000.0,3758694000.0,4054086000.0,3737960000.0,3638688000.0
19,11,Other long-term assets,418378000.0,365692000.0,349957000.0,295243000.0,522260000.0
20,11,Total non-current assets,26075529000.0,25708488000.0,27085510000.0,27961523000.0,29575501000.0
21,0,Total assets,28302824000.0,27795537000.0,29777975000.0,30580309000.0,32053173000.0
22,22,Liabilities and stockholders' equity,28302824000.0,27795537000.0,29777975000.0,30580309000.0,32053173000.0
23,22,Liabilities,19065774000.0,18184009000.0,19801160000.0,20228094000.0,21341439000.0
24,23,Current liabilities,3643690000.0,3275651000.0,3134381000.0,2989790000.0,3638605000.0
25,24,Short-term debt,1883534000.0,1626346000.0,1202408000.0,1389836000.0,1922383000.0
26,24,Accounts payable,764350000.0,742251000.0,868231000.0,813646000.0,884521000.0
27,24,Other current liabilities,995806000.0,907054000.0,1063742000.0,786308000.0,831701000.0
28,24,Total current liabilities,3643690000.0,3275651000.0,3134381000.0,2989790000.0,3638605000.0
29,23,Non-current liabilities,15422084000.0,14908358000.0,16666779000.0,17238304000.0,17702834000.0
30,29,Long-term debt,7200156000.0,7776833000.0,8606017000.0,8805574000.0,8829354000.0
31,29,Deferred taxes liabilities,3463347000.0,4029026000.0,4467473000.0,5147678000.0,5607207000.0
32,29,Pensions and other benefits,2130497000.0,896844000.0,1638558000.0,1407288000.0,1141514000.0
33,29,Regulatory liabilities,540162000.0,502984000.0,515144000.0,513595000.0,702255000.0
34,29,Minority interest,0.0,,155568000.0,,
35,29,Other long-term liabilities,2087922000.0,1702671000.0,1284019000.0,1364169000.0,1422504000.0
36,29,Total non-current liabilities,15422084000.0,14908358000.0,16666779000.0,17238304000.0,17702834000.0
37,23,Total liabilities,19065774000.0,18184009000.0,19801160000.0,20228094000.0,21341439000.0
38,22,stockholders' equity,9237050000.0,9611528000.0,9976815000.0,10352215000.0,10711734000.0
39,38,Common stock,1662547000.0,1665351000.0,1666796000.0,1669313000.0,1669392000.0
40,38,Additional paid-in capital,6183267000.0,6192765000.0,6235834000.0,6262368000.0,6250224000.0
41,38,Retained earnings,1802714000.0,2125980000.0,2448661000.0,2797355000.0,3175171000.0
42,38,Treasury stock,-338624000.0,-326537000.0,-300467000.0,-309977000.0,-317771000.0
43,38,Accumulated other comprehensive income,-72854000.0,-46031000.0,-74009000.0,-66844000.0,-65282000.0
44,38,Total stockholders' equity,9237050000.0,9611528000.0,9976815000.0,10352215000.0,10711734000.0
45,22,Total liabilities and stockholders' equity,28302824000.0,27795537000.0,29777975000.0,30580309000.0,32053173000.0
