,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,4847223000.0,5186839000.0,11562874000.0,12005091000.0,12217408000.0
1,0,Real estate properties,5100523000.0,5494187000.0,11686882000.0,12573795000.0,12866811000.0
2,0,Accumulated depreciation,-1081517000.0,-1254886000.0,-1564806000.0,-1949892000.0,-2311546000.0
3,0,"Real estate properties, net",4019006000.0,4239301000.0,10122076000.0,10623903000.0,10555265000.0
4,0,Cash and cash equivalents,18606000.0,18491000.0,25281000.0,29683000.0,64921000.0
5,0,Restricted cash,23520000.0,35275000.0,70139000.0,93372000.0,105381000.0
6,0,Receivables,66163000.0,68255000.0,24923000.0,19285000.0,40970000.0
7,0,Other assets,719928000.0,825517000.0,1320455000.0,1238848000.0,1450871000.0
8,0,Total assets,4847223000.0,5186839000.0,11562874000.0,12005091000.0,12217408000.0
9,9,Liabilities and stockholders' equity,4847223000.0,5186839000.0,11562874000.0,12005091000.0,12217408000.0
10,9,Liabilities,3082419000.0,3302220000.0,5540202000.0,5767358000.0,6025230000.0
11,10,Short-term borrowing,,,246391000.0,,
12,10,Long-term debt,2818683000.0,3033524000.0,4863426000.0,5315464000.0,5563260000.0
13,10,Payables and accrued expenses,115302000.0,125857000.0,261248000.0,272634000.0,284305000.0
14,10,Other liabilities,148434000.0,142839000.0,169137000.0,179260000.0,177665000.0
15,10,Total liabilities,3082419000.0,3302220000.0,5540202000.0,5767358000.0,6025230000.0
16,9,Stockholders' equity,1764804000.0,1884619000.0,6022672000.0,6237733000.0,6192178000.0
17,16,Preferred stock,73750000.0,73750000.0,73750000.0,73750000.0,0.0
18,16,Common stock,3000.0,4000.0,6000.0,6000.0,6000.0
19,16,Additional paid-in capital,2204778000.0,2345763000.0,6651165000.0,7003317000.0,7029679000.0
20,16,Retained earnings,-444466000.0,-474426000.0,-650797000.0,-797329000.0,-805409000.0
21,16,Accumulated other comprehensive income,-69261000.0,-60472000.0,-51452000.0,-42011000.0,-32098000.0
22,16,Total stockholders' equity,1764804000.0,1884619000.0,6022672000.0,6237733000.0,6192178000.0
23,9,Total liabilities and stockholders' equity,4847223000.0,5186839000.0,11562874000.0,12005091000.0,12217408000.0
