,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,43202502000.0,43406446000.0,46527854000.0,44647681000.0,45904434000.0
1,0,Current assets,3683126000.0,3929691000.0,4389633000.0,4067412000.0,3684268000.0
2,1,Cash,532569000.0,739126000.0,1422026000.0,1350961000.0,1187844000.0
3,2,Cash and cash equivalents,532569000.0,739126000.0,1422026000.0,1350961000.0,1187844000.0
4,2,Total cash,532569000.0,739126000.0,1422026000.0,1350961000.0,1187844000.0
5,1,Receivables,1001715000.0,1172186000.0,1103255000.0,1068900000.0,1170167000.0
6,1,Inventories,1142361000.0,1123964000.0,1124018000.0,1091167000.0,878123000.0
7,1,Prepaid expenses,242922000.0,303564000.0,343223000.0,344872000.0,193448000.0
8,1,Other current assets,763559000.0,590851000.0,397111000.0,211512000.0,254686000.0
9,1,Total current assets,3683126000.0,3929691000.0,4389633000.0,4067412000.0,3684268000.0
10,0,Non-current assets,39519376000.0,39476755000.0,42138221000.0,40580269000.0,42220166000.0
11,10,"Property, plant and equipment",27298545000.0,28081019000.0,28936737000.0,28044360000.0,28155048000.0
12,11,"Gross property, plant and equipment",46197387000.0,47524512000.0,49386595000.0,48613813000.0,48640046000.0
13,11,Accumulated Depreciation,-18898842000.0,-19443493000.0,-20449858000.0,-20789452000.0,-20718639000.0
14,11,"Net property, plant and equipment",27298545000.0,28081019000.0,28936737000.0,28044360000.0,28155048000.0
15,10,Equity and other investments,4929119000.0,5154110000.0,5812335000.0,5822998000.0,6193759000.0
16,10,Goodwill,377172000.0,377172000.0,377172000.0,377172000.0,377172000.0
17,10,Deferred income taxes,37748000.0,62011000.0,48351000.0,54903000.0,117885000.0
18,10,Regulatory assets,5767942000.0,4743081000.0,5804617000.0,5480324000.0,5531193000.0
19,10,Other long-term assets,1108850000.0,1059362000.0,1159009000.0,800512000.0,1845109000.0
20,10,Total non-current assets,39519376000.0,39476755000.0,42138221000.0,40580269000.0,42220166000.0
21,0,Total assets,43202502000.0,43406446000.0,46527854000.0,44647681000.0,45904434000.0
22,22,Liabilities and stockholders' equity,43202502000.0,43406446000.0,46527854000.0,44647681000.0,45904434000.0
23,22,Liabilities,34005413000.0,33773980000.0,36426129000.0,35390890000.0,37822625000.0
24,23,Current liabilities,4106321000.0,4060572000.0,3848891000.0,3089958000.0,3200096000.0
25,24,Short-term debt,1514518000.0,1503982000.0,1497782000.0,708722000.0,779911000.0
26,24,Capital leases,3880000.0,2323000.0,2508000.0,2709000.0,2423000.0
27,24,Accounts payable,1217180000.0,1173313000.0,1166431000.0,1071798000.0,1285577000.0
28,24,Deferred income taxes,13109000.0,28307000.0,38039000.0,,
29,24,Taxes payable,333719000.0,191093000.0,128108000.0,210077000.0,181114000.0
30,24,Accrued liabilities,280564000.0,248416000.0,264004000.0,257078000.0,264171000.0
31,24,Deferred revenues,359078000.0,370997000.0,412166000.0,419407000.0,403311000.0
32,24,Other current liabilities,384273000.0,542141000.0,339853000.0,420167000.0,283589000.0
33,24,Total current liabilities,4106321000.0,4060572000.0,3848891000.0,3089958000.0,3200096000.0
34,23,Non-current liabilities,29899092000.0,29713408000.0,32577238000.0,32300932000.0,34622529000.0
35,34,Long-term debt,11920318000.0,12139149000.0,12500109000.0,13111556000.0,14467655000.0
36,34,Capital leases,34541000.0,32218000.0,29710000.0,27001000.0,24582000.0
37,34,Deferred taxes liabilities,8311756000.0,8724635000.0,9133161000.0,8306865000.0,7495290000.0
38,34,Pensions and other benefits,3725886000.0,2320704000.0,3638295000.0,3187357000.0,3036010000.0
39,34,Regulatory liabilities,898614000.0,1295955000.0,1383609000.0,1414898000.0,1572929000.0
40,34,Other long-term liabilities,5007977000.0,5200747000.0,5892354000.0,6253255000.0,8026063000.0
41,34,Total non-current liabilities,29899092000.0,29713408000.0,32577238000.0,32300932000.0,34622529000.0
42,23,Total liabilities,34005413000.0,33773980000.0,36426129000.0,35390890000.0,37822625000.0
43,22,stockholders' equity,9197089000.0,9632466000.0,10101725000.0,9256791000.0,8081809000.0
44,43,Common stock,2548000.0,2548000.0,2548000.0,2548000.0,2548000.0
45,43,Additional paid-in capital,5357852000.0,5368131000.0,5375353000.0,5403758000.0,5417245000.0
46,43,Retained earnings,9704591000.0,9825053000.0,10169657000.0,9393913000.0,8195571000.0
47,43,Treasury stock,-5574819000.0,-5533942000.0,-5497526000.0,-5552379000.0,-5498584000.0
48,43,Accumulated other comprehensive income,-293083000.0,-29324000.0,51693000.0,8951000.0,-34971000.0
49,43,Total stockholders' equity,9197089000.0,9632466000.0,10101725000.0,9256791000.0,8081809000.0
50,22,Total liabilities and stockholders' equity,43202502000.0,43406446000.0,46527854000.0,44647681000.0,45904434000.0
