,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,928509000.0,1079343000.0,1621949000.0,2566884000.0,3696000000.0,6038400000.0
1,1,Cost of revenue,423757000.0,157771000.0,164296000.0,184222000.0,202800000.0,217100000.0
2,2,Gross profit,504752000.0,921572000.0,1457653000.0,2382662000.0,3493200000.0,5821300000.0
3,3,Operating expenses,222807000.0,583507000.0,1063289000.0,1765157000.0,3116900000.0,5398500000.0
4,3,"Sales, General and administrative",,333190000.0,728466000.0,1322716000.0,2308300000.0,4299400000.0
5,3,Other operating expenses,222807000.0,250317000.0,334823000.0,442441000.0,808600000.0,1099100000.0
6,3,Total operating expenses,222807000.0,583507000.0,1063289000.0,1765157000.0,3116900000.0,5398500000.0
7,7,Operating income,281945000.0,338065000.0,394364000.0,617505000.0,376300000.0,422800000.0
8,8,Interest Expense,16972000.0,29538000.0,,,,
9,9,Other income (expense),0.0,0.0,-100172000.0,-121586000.0,-171700000.0,-216000000.0
10,10,Income before taxes,264973000.0,308527000.0,294192000.0,495919000.0,204600000.0,206800000.0
11,11,Provision for income taxes,42627000.0,49754000.0,48103000.0,113790000.0,-900000.0,-2000000.0
12,12,Net income from continuing operations,222346000.0,258773000.0,246089000.0,382129000.0,205500000.0,208800000.0
13,13,Net income from discontinuing ops,1297000.0,2771000.0,-1296000.0,-1013000.0,0.0,-474300000.0
14,14,Other,-161080000.0,-188841000.0,-191092000.0,-218169000.0,-224100000.0,-218900000.0
15,15,Net income,62563000.0,72703000.0,53701000.0,162947000.0,-18600000.0,-484400000.0
16,16,Preferred dividend,0.0,0.0,4503000.0,9056000.0,9100000.0,9100000.0
17,17,Net income available to common shareholders,62563000.0,72703000.0,49198000.0,153891000.0,-27700000.0,-493500000.0
18,18,Earnings per share,,,,,,
19,19,Basic,2.03,2.32,1.25,3.2,-0.47,-5.19
20,20,Diluted,1.98,2.28,1.24,3.16,-0.47,-5.19
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,30773000.0,31338000.0,39311000.0,48058000.0,59002000.0,90505000.0
23,23,Diluted,31608000.0,31954000.0,39625000.0,51612000.0,59002000.0,90505000.0
24,24,EBITDA,312023000.0,371093000.0,454708000.0,714998000.0,526200000.0,725400000.0
