,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-03-27,3.8125,4.15625,3.8125,4.125,4.125,3675600
1,2000-03-28,4.125,4.125,4.0,4.015625,4.015625,1077600
2,2000-03-29,4.0,4.03125,3.953125,4.0,4.0,437200
3,2000-03-30,4.0,4.0,3.84375,3.84375,3.84375,1883600
4,2000-03-31,3.734375,3.734375,3.390625,3.390625,3.390625,7931600
5,2000-04-03,3.5,3.703125,3.4375,3.4375,3.4375,11486800
6,2000-04-04,3.53125,3.578125,3.09375,3.5,3.5,13136800
7,2000-04-05,3.46875,3.5625,3.453125,3.484375,3.484375,6349600
8,2000-04-06,3.5,3.59375,3.46875,3.578125,3.578125,7181200
9,2000-04-07,3.59375,3.8125,3.59375,3.609375,3.609375,13904800
10,2000-04-10,3.6875,3.75,3.625,3.640625,3.640625,5280800
11,2000-04-11,3.578125,3.65625,3.5625,3.578125,3.578125,6590000
12,2000-04-12,3.546875,3.640625,3.53125,3.578125,3.578125,8546400
13,2000-04-13,3.578125,3.65625,3.578125,3.613275,3.613275,6874400
14,2000-04-14,3.609375,3.625,3.53125,3.609375,3.609375,2626000
15,2000-04-17,3.578125,3.609375,3.515625,3.5625,3.5625,2992000
16,2000-04-18,3.609375,3.625,3.484375,3.515625,3.515625,2896000
17,2000-04-19,3.5625,3.65625,3.5625,3.59375,3.59375,4662400
18,2000-04-20,3.578125,3.6875,3.5625,3.65625,3.65625,4558800
19,2000-04-24,3.59375,3.65625,3.53125,3.5625,3.5625,3815200
20,2000-04-25,3.578125,3.78125,3.46875,3.765625,3.765625,4635600
21,2000-04-26,3.78125,4.125,3.75,3.828125,3.828125,5321200
22,2000-04-27,3.765625,3.765625,3.640625,3.703125,3.703125,4085200
23,2000-04-28,3.6875,3.75,3.625,3.75,3.75,3539200
24,2000-05-01,3.75,3.75,3.609375,3.6875,3.6875,4310000
25,2000-05-02,3.65625,3.6875,3.609375,3.640625,3.640625,2684400
26,2000-05-03,3.546875,3.640625,3.515625,3.5625,3.5625,4164400
27,2000-05-04,3.59375,3.6875,3.5625,3.6875,3.6875,3610400
28,2000-05-05,3.71875,3.84375,3.71875,3.78125,3.78125,1710800
29,2000-05-08,3.84375,3.90625,3.796875,3.8125,3.8125,1435600
30,2000-05-09,3.859375,3.875,3.75,3.75,3.75,1343600
31,2000-05-10,3.75,3.84375,3.71875,3.796875,3.796875,775200
32,2000-05-11,3.796875,3.875,3.6875,3.734375,3.734375,2287200
33,2000-05-12,3.734375,3.921875,3.734375,3.921875,3.921875,768400
34,2000-05-15,3.875,4.21875,3.875,4.09375,4.09375,1328400
35,2000-05-16,4.125,4.234375,4.078125,4.125,4.125,1263600
36,2000-05-17,4.125,4.125,3.953125,4.0,4.0,2517200
37,2000-05-18,4.0,4.03125,3.859375,3.890625,3.890625,2078800
38,2000-05-19,3.890625,3.90625,3.828125,3.828125,3.828125,630400
39,2000-05-22,3.859375,3.921875,3.828125,3.890625,3.890625,629600
40,2000-05-23,3.875,4.0,3.875,3.90625,3.90625,867200
41,2000-05-24,3.90625,4.1875,3.90625,4.109375,4.109375,2265600
42,2000-05-25,4.078125,4.40625,4.078125,4.328125,4.328125,3015200
43,2000-05-26,4.359375,4.53125,4.328125,4.5,4.5,2294000
44,2000-05-30,4.5,4.953125,4.5,4.9375,4.9375,3808800
45,2000-05-31,4.9375,5.15625,4.9375,5.078125,5.078125,3260000
46,2000-06-01,5.015625,5.0625,4.84375,4.96875,4.96875,1439200
47,2000-06-02,4.96875,5.03125,4.640625,4.796875,4.796875,1328000
48,2000-06-05,4.734375,4.734375,4.515625,4.53125,4.53125,2012800
49,2000-06-06,4.5625,4.5625,4.203125,4.28125,4.28125,3908800
50,2000-06-07,4.375,4.65625,4.375,4.625,4.625,2362400
51,2000-06-08,4.5625,4.625,4.546875,4.625,4.625,1389600
52,2000-06-09,4.59375,4.75,4.578125,4.625,4.625,1259200
53,2000-06-12,4.65625,4.734375,4.59375,4.65625,4.65625,828800
54,2000-06-13,4.625,4.640625,4.546875,4.59375,4.59375,917200
55,2000-06-14,4.65625,4.65625,4.546875,4.609375,4.609375,1511600
56,2000-06-15,4.609375,4.65625,4.578125,4.578125,4.578125,719200
57,2000-06-16,4.59375,4.609375,4.46875,4.5,4.5,1062000
58,2000-06-19,4.390625,4.59375,4.375,4.53125,4.53125,1400800
59,2000-06-20,4.5,4.515625,4.40625,4.453125,4.453125,1800000
60,2000-06-21,4.484375,4.75,4.453125,4.75,4.75,1013600
61,2000-06-22,4.6875,5.15625,4.578125,4.859375,4.859375,1576000
62,2000-06-23,4.890625,5.078125,4.890625,4.96875,4.96875,3058400
63,2000-06-26,5.0,5.0625,4.8125,4.96875,4.96875,2096400
64,2000-06-27,4.96875,5.0078,4.6875,4.78125,4.78125,2303200
65,2000-06-28,4.6875,5.125,4.53125,5.109375,5.109375,1966800
66,2000-06-29,5.140625,5.25,5.0625,5.0625,5.0625,1450400
67,2000-06-30,5.078125,5.125,4.621075,4.6289,4.6289,3830800
68,2000-07-03,4.71875,5.1875,4.71875,5.140625,5.140625,1035200
69,2000-07-05,5.140625,5.1875,4.90625,4.921875,4.921875,665600
70,2000-07-06,4.953125,5.109375,4.953125,5.0625,5.0625,660000
71,2000-07-07,5.125,5.15625,5.0,5.125,5.125,1048400
72,2000-07-10,5.140625,5.34375,5.140625,5.3125,5.3125,1723600
73,2000-07-11,5.359375,5.578125,5.34375,5.5,5.5,2323200
74,2000-07-12,5.5625,5.8125,5.453125,5.53125,5.53125,1302400
75,2000-07-13,5.5,5.9375,5.5,5.8125,5.8125,2296400
76,2000-07-14,5.875,5.890625,5.671875,5.734375,5.734375,1480400
77,2000-07-17,5.796875,5.8125,5.640625,5.703125,5.703125,1066400
78,2000-07-18,5.8125,6.0,5.8125,5.96875,5.96875,1789200
79,2000-07-19,6.03125,6.375,6.0,6.046875,6.046875,1901600
80,2000-07-20,6.09375,6.125,5.9375,6.015625,6.015625,734400
81,2000-07-21,5.984375,6.25,5.90625,6.21875,6.21875,1531600
82,2000-07-24,6.234375,6.234375,6.125,6.1875,6.1875,896000
83,2000-07-25,6.1875,6.25,6.125,6.125,6.125,931200
84,2000-07-26,6.125,6.125,5.921875,5.984375,5.984375,859200
85,2000-07-27,5.921875,5.984375,5.71875,5.875,5.875,804800
86,2000-07-28,5.84375,5.875,5.71875,5.765625,5.765625,626000
87,2000-07-31,5.75,5.8125,5.40625,5.453125,5.453125,1100400
88,2000-08-01,5.4375,5.671875,5.4375,5.65625,5.65625,873200
89,2000-08-02,5.65625,5.765625,5.65625,5.703125,5.703125,1701600
90,2000-08-03,5.625,5.796875,5.34375,5.78125,5.78125,1846800
91,2000-08-04,5.71875,5.828125,5.625,5.75,5.75,478000
92,2000-08-07,5.75,5.8125,5.65625,5.65625,5.65625,288000
93,2000-08-08,5.671875,5.6875,5.5,5.625,5.625,224000
94,2000-08-09,5.59375,5.625,5.4375,5.53125,5.53125,565600
95,2000-08-10,5.46875,5.5,5.3125,5.421875,5.421875,654000
96,2000-08-11,5.46875,5.671875,5.46875,5.609375,5.609375,502400
97,2000-08-14,5.578125,5.671875,5.578125,5.640625,5.640625,371200
98,2000-08-15,5.640625,5.71875,5.578125,5.703125,5.703125,502000
99,2000-08-16,5.703125,5.734375,5.65625,5.71875,5.71875,661600
100,2000-08-17,5.6875,5.734375,5.65625,5.6875,5.6875,569200
101,2000-08-18,5.65625,5.71875,5.5625,5.625,5.625,562000
102,2000-08-21,5.625,5.796875,5.625,5.796875,5.796875,691200
103,2000-08-22,5.75,5.765625,5.640625,5.71875,5.71875,326800
104,2000-08-23,5.71875,5.734375,5.640625,5.71875,5.71875,220000
105,2000-08-24,5.6875,5.71875,5.609375,5.6875,5.6875,708400
106,2000-08-25,5.6875,5.71875,5.625,5.671875,5.671875,272000
107,2000-08-28,5.65625,5.78125,5.640625,5.734375,5.734375,547600
108,2000-08-29,5.71875,5.984375,5.703125,5.984375,5.984375,540800
109,2000-08-30,5.953125,6.1875,5.921875,6.09375,6.09375,740400
110,2000-08-31,6.4375,6.59375,6.4375,6.5625,6.5625,2637600
111,2000-09-01,6.34375,6.40625,5.5625,5.65625,5.65625,4447200
112,2000-09-05,5.65625,5.8125,5.5,5.65625,5.65625,2281200
113,2000-09-06,5.703125,5.71875,5.421875,5.609375,5.609375,1290800
114,2000-09-07,5.625,5.65625,5.5625,5.65625,5.65625,779600
115,2000-09-08,5.703125,5.703125,5.46875,5.5625,5.5625,540400
116,2000-09-11,5.59375,5.59375,5.53125,5.578125,5.578125,264400
117,2000-09-12,5.625,5.625,5.359375,5.5625,5.5625,376000
118,2000-09-13,5.5625,5.5625,5.15625,5.25,5.25,1355200
119,2000-09-14,5.3125,5.375,5.21875,5.34375,5.34375,587200
120,2000-09-15,5.1875,5.265625,5.15625,5.21875,5.21875,889200
121,2000-09-18,5.21875,5.21875,4.84375,4.9375,4.9375,1698000
122,2000-09-19,4.953125,5.0625,4.90625,4.96875,4.96875,1422000
123,2000-09-20,5.0,5.0625,4.953125,5.046875,5.046875,334400
124,2000-09-21,5.0,5.09375,4.9375,4.96875,4.96875,1654400
