,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,5980943000.0,6080257000.0,6564721000.0,6616632000.0,6098037000.0,6661584000.0
1,1,Cost of revenue,4156845000.0,4197404000.0,4583294000.0,4428855000.0,3934001000.0,4422613000.0
2,2,Gross profit,1824098000.0,1882853000.0,1981427000.0,2187777000.0,2164036000.0,2238971000.0
3,3,Operating expenses,1293300000.0,1330780000.0,1386779000.0,1466293000.0,1493873000.0,1565512000.0
4,3,"Sales, General and administrative",1117280000.0,1164281000.0,1206264000.0,1287971000.0,1308210000.0,1379734000.0
5,3,Depreciation and amortization,39940000.0,48071000.0,49292000.0,46012000.0,46796000.0,48184000.0
6,3,Other operating expenses,136080000.0,118428000.0,131223000.0,132310000.0,138867000.0,137594000.0
7,3,Total operating expenses,1293300000.0,1330780000.0,1386779000.0,1466293000.0,1493873000.0,1565512000.0
8,8,Operating income,530798000.0,552073000.0,594648000.0,721484000.0,670163000.0,673459000.0
9,9,Interest Expense,1251000.0,,,,,
10,10,Other income (expense),20846000.0,20523000.0,16241000.0,15205000.0,16693000.0,16842000.0
11,11,Income before income taxes,550393000.0,572596000.0,610889000.0,736689000.0,686856000.0,690301000.0
12,12,Provision for income taxes,217424000.0,222585000.0,231429000.0,277192000.0,254323000.0,256275000.0
13,13,Net income from continuing ops,332969000.0,350011000.0,379460000.0,459497000.0,432533000.0,434026000.0
14,14,Other,391000.0,-1485000.0,-2572000.0,-2274000.0,-1726000.0,-1058000.0
15,15,Net income,333360000.0,348526000.0,376888000.0,457223000.0,430807000.0,432968000.0
16,16,Net income available to common shareholders,333360000.0,348526000.0,376888000.0,457223000.0,430807000.0,432968000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.58,1.69,1.92,2.42,2.38,2.41
19,19,Diluted,1.57,1.68,1.92,2.4,2.36,2.38
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,210422945.0,205994656.0,196146676.0,188941000.0,181282000.0,179918500.0
22,22,Diluted,211935171.0,206895473.0,196768067.0,190223000.0,182704000.0,181948750.0
23,23,EBITDA,591584000.0,600144000.0,643940000.0,767496000.0,716959000.0,721643000.0
