Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,172455.0,145114.0,116283.0,128954.0,135605.0,133559.0,146917.0,144077.0,149558.0,151800.0,154104.0
Gross Margin %,17.3,12.4,15.0,15.6,13.6,13.0,16.2,13.2,17.1,16.6,16.1
Operating Income USD Mil,8699.0,-3418.0,4388.0,8249.0,7496.0,5876.0,13017.0,332.0,7647.0,4116.0,3270.0
Operating Margin %,5.0,-2.4,3.8,6.4,5.5,4.4,8.9,0.2,5.1,2.7,2.1
Net Income USD Mil,-2723.0,-14766.0,2717.0,6561.0,20213.0,5613.0,11953.0,1231.0,7373.0,4596.0,4410.0
Earnings Per Share USD,-1.4,-6.5,0.86,1.66,4.94,1.41,2.94,0.31,1.84,1.15,1.1
Dividends USD,,,,,,0.2,0.4,0.5,0.6,0.6,0.6
Payout Ratio % *,,,,,,14.1,24.6,31.3,47.9,33.1,54.5
Shares Mil,1979.0,2273.0,3312.0,4178.0,4111.0,4015.0,4087.0,3999.0,4002.0,3958.0,3957.0
Book Value Per Share * USD,27.83,-106.23,-30.63,-2.21,21.97,52.68,67.21,96.14,118.45,166.05,160.58
Operating Cash Flow USD Mil,17074.0,-179.0,16042.0,11477.0,9784.0,9045.0,10444.0,14507.0,16170.0,19792.0,17689.0
Cap Spending USD Mil,-6022.0,-6696.0,-4561.0,-4092.0,-4293.0,-5488.0,-6597.0,-7463.0,-7196.0,-6992.0,-7016.0
Free Cash Flow USD Mil,11052.0,-6875.0,11481.0,7385.0,5491.0,3557.0,3847.0,7044.0,8974.0,12800.0,10673.0
Free Cash Flow Per Share * USD,60.95,-41.83,47.5,21.92,23.43,11.55,10.37,19.6,37.96,63.97,
Working Capital USD Mil,135311.0,104539.0,99358.0,70062.0,47170.0,52215.0,57454.0,54694.0,64208.0,18180.0,
