,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,9045000000.0,10444000000.0,14507000000.0,16170000000.0,19792000000.0,17689000000.0
1,0,Net income,5665000000.0,7155000000.0,3186000000.0,7371000000.0,4607000000.0,
2,0,Depreciation & amortization,5204000000.0,6456000000.0,7423000000.0,7966000000.0,8717000000.0,
3,0,Investments losses (gains),-105000000.0,-719000000.0,,,,
4,0,Stock based compensation,140000000.0,159000000.0,180000000.0,199000000.0,210000000.0,
5,0,Accounts receivable,-1622000000.0,-1969000000.0,-2897000000.0,-3563000000.0,-2855000000.0,
6,0,Inventory,-1401000000.0,-572000000.0,-875000000.0,-1155000000.0,-815000000.0,
7,0,Accounts payable,,-595000000.0,,,,
8,0,Other working capital,485000000.0,0.0,5734000000.0,7758000000.0,6595000000.0,0.0
9,0,Other non-cash items,679000000.0,529000000.0,1756000000.0,-2406000000.0,3333000000.0,17689000000.0
10,0,Net cash provided by operating activities,9045000000.0,10444000000.0,14507000000.0,16170000000.0,19792000000.0,17689000000.0
11,11,Cash Flows From Investing Activities,-14290000000.0,-19731000000.0,-21124000000.0,-26162000000.0,-25352000000.0,-19836000000.0
12,11,"Investments in property, plant, and equipment",-5488000000.0,-6597000000.0,-7463000000.0,-7196000000.0,-6992000000.0,-7016000000.0
13,11,"Acquisitions, net",257000000.0,9000000.0,,,,
14,11,Purchases of investments,-95135000000.0,-119993000000.0,-48694000000.0,-41279000000.0,-31428000000.0,-29929000000.0
15,11,Sales/Maturities of investments,93749000000.0,118247000000.0,50264000000.0,40766000000.0,29354000000.0,30017000000.0
16,11,Other investing activities,-7673000000.0,-11397000000.0,-15231000000.0,-18453000000.0,-16286000000.0,-12908000000.0
17,11,Net cash used for investing activities,-14290000000.0,-19731000000.0,-21124000000.0,-26162000000.0,-25352000000.0,-19836000000.0
18,18,Cash Flows From Financing Activities,3705000000.0,8133000000.0,3423000000.0,14322000000.0,7458000000.0,6183000000.0
19,18,Debt issued,32436000000.0,40543000000.0,40043000000.0,48860000000.0,45961000000.0,44562000000.0
20,18,Debt repayment,-29210000000.0,-27953000000.0,-28859000000.0,-33358000000.0,-38797000000.0,-40156000000.0
21,18,Common stock repurchased,-125000000.0,-213000000.0,-1964000000.0,-129000000.0,-145000000.0,-131000000.0
22,18,Dividend paid,-763000000.0,-1574000000.0,-1952000000.0,-2380000000.0,-3376000000.0,-2584000000.0
23,18,Other financing activities,1367000000.0,-2670000000.0,-3845000000.0,1329000000.0,3815000000.0,4492000000.0
24,18,Net cash provided by (used for) financing activities,3705000000.0,8133000000.0,3423000000.0,14322000000.0,7458000000.0,6183000000.0
25,25,Effect of exchange rate changes,51000000.0,-37000000.0,-517000000.0,-815000000.0,-265000000.0,
26,26,Net change in cash,-1489000000.0,-1191000000.0,-3711000000.0,3515000000.0,1633000000.0,4036000000.0
27,27,Cash at beginning of period,17148000000.0,15659000000.0,14468000000.0,10757000000.0,14272000000.0,13340000000.0
28,28,Cash at end of period,15659000000.0,14468000000.0,10757000000.0,14272000000.0,15905000000.0,17376000000.0
29,29,Free Cash Flow,,,,,,
30,30,Operating cash flow,9045000000.0,10444000000.0,14507000000.0,16170000000.0,19792000000.0,17689000000.0
31,31,Capital expenditure,-5488000000.0,-6597000000.0,-7463000000.0,-7196000000.0,-6992000000.0,-7016000000.0
32,32,Free cash flow,3557000000.0,3847000000.0,7044000000.0,8974000000.0,12800000000.0,10673000000.0
