,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,2.546875,2.5625,2.515625,2.523438,1.892494,1027200
1,1995-01-04,2.515625,2.53125,2.484375,2.515625,1.886634,348800
2,1995-01-05,2.515625,2.53125,2.484375,2.53125,1.898353,840000
3,1995-01-06,2.5,2.515625,2.5,2.5,1.8749169999999997,470400
4,1995-01-09,2.5,2.515625,2.5,2.5,1.8749169999999997,729600
5,1995-01-10,2.53125,2.59375,2.53125,2.5625,1.92179,1467200
6,1995-01-11,2.578125,2.65625,2.5625,2.652344,1.989169,2198400
7,1995-01-12,2.65625,2.671875,2.625,2.65625,1.992099,1217600
8,1995-01-13,2.65625,2.65625,2.625,2.65625,1.992099,472000
9,1995-01-16,2.65625,2.765625,2.609375,2.765625,2.074127,3947200
10,1995-01-17,2.78125,2.828125,2.75,2.828125,2.121,2692800
11,1995-01-18,2.8125,2.890625,2.796875,2.859375,2.1444349999999996,2708800
12,1995-01-19,2.859375,2.859375,2.78125,2.78125,2.085844,3270400
13,1995-01-20,2.796875,2.8125,2.75,2.78125,2.085844,1158400
14,1995-01-23,2.765625,2.828125,2.734375,2.789063,2.091704,3539200
15,1995-01-24,2.84375,2.859375,2.703125,2.707031,2.030184,4078400
16,1995-01-25,2.71875,2.734375,2.671875,2.710938,2.033113,3976000
17,1995-01-26,2.710938,2.734375,2.703125,2.714844,2.036043,2062400
18,1995-01-27,2.734375,2.734375,2.6875,2.6875,2.0155369999999997,2020800
19,1995-01-30,2.699219,2.703125,2.640625,2.65625,1.992099,536000
20,1995-01-31,2.640625,2.734375,2.640625,2.683594,2.0126060000000003,4611200
21,1995-02-01,2.703125,2.703125,2.65625,2.6875,2.0155369999999997,2700800
22,1995-02-02,2.6875,2.6875,2.640625,2.65625,1.992099,1078400
23,1995-02-03,2.671875,2.703125,2.640625,2.6875,2.0155369999999997,2214400
24,1995-02-06,2.703125,2.703125,2.660156,2.671875,2.0038169999999997,2891200
25,1995-02-07,2.671875,2.703125,2.671875,2.6875,2.0155369999999997,164800
26,1995-02-08,2.703125,2.71875,2.671875,2.71875,2.040871,876800
27,1995-02-09,2.71875,2.765625,2.6875,2.75,2.0643279999999997,993600
28,1995-02-10,2.75,2.78125,2.734375,2.773438,2.0819229999999997,1121600
29,1995-02-13,2.765625,2.8125,2.765625,2.8125,2.1112450000000003,1619200
30,1995-02-14,2.78125,2.8125,2.78125,2.796875,2.099516,561600
31,1995-02-15,2.8125,2.84375,2.78125,2.84375,2.134704,806400
32,1995-02-16,2.84375,2.84375,2.796875,2.8125,2.1112450000000003,758400
33,1995-02-17,2.84375,2.84375,2.796875,2.79785,2.1002490000000003,1009600
34,1995-02-21,2.8125,2.8125,2.78125,2.796875,2.099516,811200
35,1995-02-22,2.796875,2.796875,2.75,2.757813,2.070193,416000
36,1995-02-23,2.75,2.8125,2.75,2.792969,2.0965830000000003,664000
37,1995-02-24,2.765625,2.828125,2.765625,2.828125,2.122974,1203200
38,1995-02-27,2.796875,2.890625,2.796875,2.875,2.158162,2889600
39,1995-02-28,2.875,2.9375,2.875,2.921875,2.193349,4128000
40,1995-03-01,2.9375,2.9375,2.890625,2.890625,2.169891,947200
41,1995-03-02,2.90625,2.90625,2.890625,2.90625,2.181621,883200
42,1995-03-03,2.890625,2.953125,2.890625,2.929688,2.199214,1156800
43,1995-03-06,2.921875,2.953125,2.890625,2.9375,2.205078,849600
44,1995-03-07,2.9375,2.9375,2.84375,2.875,2.158162,1075200
