Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.0,3.73,10.22,12.72,15.04,10.45,3.13,0.79,0.48,11.38,13.28
Accounts Receivable,3.18,5.19,6.94,8.25,3.56,4.6,4.04,4.36,4.89,5.61,4.14
Inventory,7.1,11.83,11.04,11.69,12.06,12.91,7.91,9.12,10.28,9.76,10.33
Other Current Assets,0.24,1.65,0.4,0.86,0.67,1.09,0.64,1.12,0.37,1.22,2.12
Total Current Assets,14.52,22.41,28.59,33.52,31.33,29.05,15.71,15.38,16.02,27.96,29.87
Net PP&E,63.24,68.52,62.3,57.12,62.78,64.77,74.68,77.38,74.29,62.42,61.44
Intangibles,16.18,1.56,1.33,1.12,1.01,,3.62,,,,
Other Long-Term Assets,6.06,7.51,7.77,8.24,4.87,6.18,5.99,7.24,9.69,9.62,8.69
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.94,4.98,3.42,4.33,4.22,4.42,3.38,4.15,5.03,4.13,
Short-Term Debt,0.08,0.29,0.06,0.32,0.01,0.01,0.49,0.81,1.39,3.3,5.93
Taxes Payable,,0.7,1.82,2.72,0.8,0.52,0.51,0.93,0.48,0.18,1.24
Accrued Liabilities,3.86,2.12,1.65,1.67,2.37,1.3,1.14,1.1,1.14,1.52,
Other Short-Term Liabilities,2.64,5.43,4.59,3.76,1.77,3.18,2.0,1.81,1.21,2.31,7.6
Total Current Liabilities,9.52,13.52,11.55,12.81,9.17,9.43,7.52,8.8,9.25,11.43,14.78
Long-Term Debt,17.66,31.19,24.35,15.86,11.02,9.95,32.13,31.45,42.47,39.65,33.67
Other Long-Term Liabilities,27.98,30.57,29.02,28.79,31.04,31.12,27.37,28.65,31.48,32.71,32.87
Total Liabilities,55.16,75.28,64.92,57.45,51.23,50.5,67.02,68.9,83.19,83.78,81.32
Total Stockholders' Equity,44.84,24.72,35.08,42.55,48.77,49.5,32.98,31.1,16.81,16.22,18.68
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
