,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,35440000000.0,63473000000.0,58795000000.0,46577000000.0,37317000000.0
1,0,Current assets,10297000000.0,9972000000.0,9045000000.0,7462000000.0,10435000000.0
2,1,Cash,3705000000.0,1985000000.0,464000000.0,224000000.0,4245000000.0
3,2,Cash and cash equivalents,3705000000.0,1985000000.0,464000000.0,224000000.0,4245000000.0
4,2,Total cash,3705000000.0,1985000000.0,464000000.0,224000000.0,4245000000.0
5,1,Receivables,1629000000.0,2562000000.0,2563000000.0,2277000000.0,2094000000.0
6,1,Inventories,4576000000.0,5018000000.0,5361000000.0,4788000000.0,3642000000.0
7,1,Other current assets,387000000.0,407000000.0,657000000.0,173000000.0,454000000.0
8,1,Total current assets,10297000000.0,9972000000.0,9045000000.0,7462000000.0,10435000000.0
9,0,Non-current assets,25143000000.0,53501000000.0,49750000000.0,39115000000.0,26882000000.0
10,9,"Property, plant and equipment",22954000000.0,47401000000.0,45494000000.0,34602000000.0,23293000000.0
11,10,"Gross property, plant and equipment",31605000000.0,57608000000.0,56758000000.0,47344000000.0,36030000000.0
12,10,Accumulated Depreciation,-8651000000.0,-10207000000.0,-11264000000.0,-12742000000.0,-12737000000.0
13,10,"Net property, plant and equipment",22954000000.0,47401000000.0,45494000000.0,34602000000.0,23293000000.0
14,9,Equity and other investments,,178000000.0,,,
15,9,Goodwill,,1916000000.0,0.0,,
16,9,Intangible assets,0.0,380000000.0,0.0,0.0,0.0
17,9,Deferred income taxes,,2000000.0,,,
18,9,Other long-term assets,2189000000.0,3624000000.0,4256000000.0,4513000000.0,3589000000.0
19,9,Total non-current assets,25143000000.0,53501000000.0,49750000000.0,39115000000.0,26882000000.0
20,0,Total assets,35440000000.0,63473000000.0,58795000000.0,46577000000.0,37317000000.0
21,21,Liabilities and stockholders' equity,35440000000.0,63473000000.0,58795000000.0,46577000000.0,37317000000.0
22,21,Liabilities,17897000000.0,42539000000.0,40508000000.0,38749000000.0,31266000000.0
23,22,Current liabilities,3343000000.0,4773000000.0,5172000000.0,4307000000.0,4265000000.0
24,23,Accounts payable,1568000000.0,2144000000.0,2439000000.0,2342000000.0,1540000000.0
25,23,Short-term debt,2000000.0,312000000.0,478000000.0,649000000.0,1232000000.0
26,23,Deferred income taxes,384000000.0,8000000.0,,,
27,23,Income taxes payable,93000000.0,184000000.0,410000000.0,23000000.0,66000000.0
28,23,Accrued liabilities,462000000.0,723000000.0,645000000.0,529000000.0,566000000.0
29,23,Deferred revenues,94000000.0,115000000.0,105000000.0,48000000.0,82000000.0
30,23,Other current liabilities,740000000.0,1287000000.0,1095000000.0,716000000.0,779000000.0
31,23,Total current liabilities,3343000000.0,4773000000.0,5172000000.0,4307000000.0,4265000000.0
32,22,Non-current liabilities,14554000000.0,37766000000.0,35336000000.0,34442000000.0,27001000000.0
33,32,Long-term debt,3525000000.0,20394000000.0,18492000000.0,19779000000.0,14795000000.0
34,32,Deferred taxes liabilities,3490000000.0,7410000000.0,6398000000.0,4288000000.0,3768000000.0
35,32,Minority interest,3768000000.0,4297000000.0,4187000000.0,4216000000.0,3206000000.0
36,32,Other long-term liabilities,3771000000.0,5665000000.0,6259000000.0,6159000000.0,5232000000.0
37,32,Total non-current liabilities,14554000000.0,37766000000.0,35336000000.0,34442000000.0,27001000000.0
38,22,Total liabilities,17897000000.0,42539000000.0,40508000000.0,38749000000.0,31266000000.0
39,21,Stockholders' equity,17543000000.0,20934000000.0,18287000000.0,7828000000.0,6051000000.0
40,39,Common stock,107000000.0,117000000.0,117000000.0,137000000.0,157000000.0
41,39,Additional paid-in capital,19119000000.0,22161000000.0,22281000000.0,24283000000.0,26690000000.0
42,39,Retained earnings,2399000000.0,2742000000.0,128000000.0,-12387000000.0,-16540000000.0
43,39,Treasury stock,-3576000000.0,-3681000000.0,-3695000000.0,-3702000000.0,-3708000000.0
44,39,Accumulated other comprehensive income,-506000000.0,-405000000.0,-544000000.0,-503000000.0,-548000000.0
45,39,Total Stockholders' equity,17543000000.0,20934000000.0,18287000000.0,7828000000.0,6051000000.0
46,21,Total liabilities and stockholders' equity,35440000000.0,63473000000.0,58795000000.0,46577000000.0,37317000000.0
