Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,574.0,565.0,648.0,624.0,678.0,689.0,675.0,732.0,737.0,740.0,733.0
Gross Margin %,51.4,52.1,51.6,57.5,56.2,53.9,45.5,41.7,44.3,44.2,44.7
Operating Income THB Mil,72.0,23.0,44.0,58.0,97.0,95.0,124.0,85.0,128.0,135.0,148.0
Operating Margin %,12.4,4.1,6.7,9.4,14.3,13.8,18.3,11.6,17.4,18.3,20.2
Net Income THB Mil,62.0,60.0,78.0,95.0,112.0,118.0,102.0,68.0,102.0,106.0,109.0
Earnings Per Share THB,7.74,8.03,10.38,12.72,14.95,15.68,13.6,9.08,13.61,14.1,14.5
Dividends THB,5.0,5.0,5.0,5.0,8.0,9.0,8.0,7.0,5.0,6.0,7.0
Payout Ratio % *,64.6,64.6,62.3,44.5,53.8,58.0,56.9,83.2,34.3,41.0,48.3
Shares Mil,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Book Value Per Share * THB,85.51,85.51,87.7,97.12,99.03,111.78,113.53,116.14,124.65,134.77,146.95
Operating Cash Flow THB Mil,121.0,49.0,21.0,156.0,62.0,144.0,136.0,74.0,7.0,188.0,330.0
Cap Spending THB Mil,-12.0,-13.0,-33.0,-8.0,-12.0,-11.0,-5.0,-5.0,-8.0,-23.0,-8.0
Free Cash Flow THB Mil,109.0,35.0,-12.0,148.0,50.0,133.0,131.0,70.0,-1.0,166.0,322.0
Free Cash Flow Per Share * THB,14.55,14.55,4.71,10.59,14.36,14.22,18.53,9.86,6.75,17.56,
Working Capital THB Mil,292.0,314.0,330.0,402.0,447.0,471.0,333.0,300.0,309.0,352.0,
