,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,50406000000.0,50424000000.0,52166000000.0,52187000000.0,43148000000.0
1,0,Current assets,3768000000.0,3887000000.0,3876000000.0,3040000000.0,2950000000.0
2,1,Cash,172000000.0,218000000.0,85000000.0,131000000.0,199000000.0
3,2,Cash and cash equivalents,172000000.0,218000000.0,85000000.0,131000000.0,199000000.0
4,2,Total cash,172000000.0,218000000.0,85000000.0,131000000.0,199000000.0
5,1,Receivables,1929000000.0,1918000000.0,1779000000.0,1595000000.0,1615000000.0
6,1,Inventories,861000000.0,752000000.0,817000000.0,785000000.0,564000000.0
7,1,Prepaid expenses,119000000.0,226000000.0,128000000.0,135000000.0,98000000.0
8,1,Other current assets,687000000.0,773000000.0,1067000000.0,394000000.0,474000000.0
9,1,Total current assets,3768000000.0,3887000000.0,3876000000.0,3040000000.0,2950000000.0
10,0,Non-current assets,46638000000.0,46537000000.0,48290000000.0,49147000000.0,40198000000.0
11,10,"Property, plant and equipment",32903000000.0,33252000000.0,35783000000.0,37214000000.0,29387000000.0
12,11,"Gross property, plant and equipment",45503000000.0,46532000000.0,49933000000.0,52374000000.0,45118000000.0
13,11,Accumulated Depreciation,-12600000000.0,-13280000000.0,-14150000000.0,-15160000000.0,-15731000000.0
14,11,"Net property, plant and equipment",32903000000.0,33252000000.0,35783000000.0,37214000000.0,29387000000.0
15,10,Equity and other investments,2258000000.0,3104000000.0,3222000000.0,2788000000.0,3026000000.0
16,10,Goodwill,6447000000.0,6418000000.0,6418000000.0,6418000000.0,5618000000.0
17,10,Regulatory assets,2375000000.0,1854000000.0,1411000000.0,1348000000.0,1014000000.0
18,10,Other long-term assets,2655000000.0,1909000000.0,1456000000.0,1379000000.0,1153000000.0
19,10,Total non-current assets,46638000000.0,46537000000.0,48290000000.0,49147000000.0,40198000000.0
20,0,Total assets,50406000000.0,50424000000.0,52166000000.0,52187000000.0,43148000000.0
21,21,Liabilities and stockholders' equity,50406000000.0,50424000000.0,52166000000.0,52187000000.0,43148000000.0
22,21,Liabilities,37322000000.0,37732000000.0,39746000000.0,39766000000.0,36907000000.0
23,22,Current liabilities,7605000000.0,7637000000.0,5561000000.0,5602000000.0,7126000000.0
24,23,Short-term debt,3968000000.0,4819000000.0,2603000000.0,2874000000.0,4360000000.0
25,23,Accounts payable,1599000000.0,1250000000.0,1279000000.0,1075000000.0,1043000000.0
26,23,Taxes payable,543000000.0,485000000.0,490000000.0,519000000.0,580000000.0
27,23,Accrued liabilities,331000000.0,351000000.0,329000000.0,334000000.0,363000000.0
28,23,Other current liabilities,1164000000.0,732000000.0,860000000.0,800000000.0,780000000.0
29,23,Total current liabilities,7605000000.0,7637000000.0,5561000000.0,5602000000.0,7126000000.0
30,22,Non-current liabilities,29717000000.0,30095000000.0,34185000000.0,34164000000.0,29781000000.0
31,30,Long-term debt,15179000000.0,,,,
32,30,Deferred taxes liabilities,6616000000.0,6968000000.0,7057000000.0,6773000000.0,3765000000.0
33,30,Deferred revenues,892000000.0,858000000.0,824000000.0,791000000.0,757000000.0
34,30,Pensions and other benefits,3080000000.0,2689000000.0,3932000000.0,4245000000.0,3719000000.0
35,30,Minority interest,9000000.0,3000000.0,2000000.0,1000000.0,0.0
36,30,Other long-term liabilities,3941000000.0,19577000000.0,22370000000.0,22354000000.0,21540000000.0
37,30,Total non-current liabilities,29717000000.0,30095000000.0,34185000000.0,34164000000.0,29781000000.0
38,22,Total liabilities,37322000000.0,37732000000.0,39746000000.0,39766000000.0,36907000000.0
39,21,stockholders' equity,13084000000.0,12692000000.0,12420000000.0,12421000000.0,6241000000.0
40,39,Common stock,42000000.0,42000000.0,42000000.0,42000000.0,44000000.0
41,39,Additional paid-in capital,9769000000.0,9776000000.0,9847000000.0,9952000000.0,10555000000.0
42,39,Retained earnings,2888000000.0,2590000000.0,2285000000.0,2256000000.0,-4532000000.0
43,39,Accumulated other comprehensive income,385000000.0,284000000.0,246000000.0,171000000.0,174000000.0
44,39,Total stockholders' equity,13084000000.0,12692000000.0,12420000000.0,12421000000.0,6241000000.0
45,21,Total liabilities and stockholders' equity,50406000000.0,50424000000.0,52166000000.0,52187000000.0,43148000000.0
