,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,1481314000.0,1732046000.0,1919823000.0,1995034000.0,2090041000.0,2090041000.0
1,1,Cost of revenue,253047000.0,309959000.0,332261000.0,337205000.0,353485000.0,353485000.0
2,2,Gross profit,1228267000.0,1422087000.0,1587562000.0,1657829000.0,1736556000.0,1736556000.0
3,3,Operating expenses,797449000.0,928530000.0,1034663000.0,1110452000.0,1172600000.0,1172600000.0
4,3,Research and development,209614000.0,263792000.0,296583000.0,334227000.0,350365000.0,350365000.0
5,3,"Sales, General and administrative",585442000.0,664738000.0,738080000.0,767174000.0,809126000.0,809126000.0
6,3,"Restructuring, merger and acquisition",,,,,12718000.0,12718000.0
7,3,Other operating expenses,2393000.0,0.0,0.0,9051000.0,391000.0,391000.0
8,3,Total operating expenses,797449000.0,928530000.0,1034663000.0,1110452000.0,1172600000.0,1172600000.0
9,9,Operating income,430818000.0,493557000.0,552899000.0,547377000.0,563956000.0,563956000.0
10,10,Other income (expense),7274000.0,3785000.0,8445000.0,2514000.0,11561000.0,11561000.0
11,11,Income before taxes,438092000.0,497342000.0,561344000.0,549891000.0,575517000.0,575517000.0
12,12,Provision for income taxes,160778000.0,186159000.0,196330000.0,184036000.0,154756000.0,154756000.0
13,13,Net income from continuing operations,277314000.0,311183000.0,365014000.0,365855000.0,420761000.0,420761000.0
14,14,Net income,277314000.0,311183000.0,365014000.0,365855000.0,420761000.0,420761000.0
15,15,Net income available to common shareholders,277314000.0,311183000.0,365014000.0,365855000.0,420761000.0,420761000.0
16,16,Earnings per share,,,,,,
17,17,Basic,3.53,4.13,5.07,5.43,6.56,6.56
18,18,Diluted,3.5,4.09,5.03,5.38,6.5,6.5
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,78565000.0,75395000.0,71944000.0,67433000.0,64173000.0,64173000.0
21,21,Diluted,79136000.0,76092000.0,72547000.0,67984000.0,64775000.0,64775000.0
22,22,EBITDA,470823000.0,539678000.0,605482000.0,604153000.0,625104000.0,625104000.0
