,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,8497000000.0,9513000000.0,9337000000.0,9340000000.0,9743000000.0
1,0,Current assets,1412000000.0,1572000000.0,1486000000.0,1506000000.0,1728000000.0
2,1,Cash,358000000.0,400000000.0,294000000.0,275000000.0,300000000.0
3,2,Cash and cash equivalents,358000000.0,400000000.0,294000000.0,275000000.0,300000000.0
4,2,Total cash,358000000.0,400000000.0,294000000.0,275000000.0,300000000.0
5,1,Receivables,663000000.0,751000000.0,798000000.0,802000000.0,902000000.0
6,1,Deferred income taxes,42000000.0,55000000.0,42000000.0,,
7,1,Prepaid expenses,349000000.0,366000000.0,352000000.0,429000000.0,526000000.0
8,1,Total current assets,1412000000.0,1572000000.0,1486000000.0,1506000000.0,1728000000.0
9,0,Non-current assets,7085000000.0,7941000000.0,7851000000.0,7834000000.0,8015000000.0
10,9,"Property, plant and equipment",249000000.0,266000000.0,317000000.0,396000000.0,405000000.0
11,10,"Gross property, plant and equipment",898000000.0,952000000.0,1054000000.0,1105000000.0,1151000000.0
12,10,Accumulated Depreciation,-649000000.0,-686000000.0,-737000000.0,-709000000.0,-746000000.0
13,10,"Net property, plant and equipment",249000000.0,266000000.0,317000000.0,396000000.0,405000000.0
14,9,Goodwill,4719000000.0,5216000000.0,5209000000.0,5200000000.0,5373000000.0
15,9,Intangible assets,1760000000.0,2142000000.0,2003000000.0,1872000000.0,1833000000.0
16,9,Other long-term assets,357000000.0,317000000.0,322000000.0,366000000.0,404000000.0
17,9,Total non-current assets,7085000000.0,7941000000.0,7851000000.0,7834000000.0,8015000000.0
18,0,Total assets,8497000000.0,9513000000.0,9337000000.0,9340000000.0,9743000000.0
19,19,Liabilities and stockholders' equity,8497000000.0,9513000000.0,9337000000.0,9340000000.0,9743000000.0
20,19,Liabilities,5080000000.0,5928000000.0,6042000000.0,6680000000.0,7202000000.0
21,20,Current liabilities,1105000000.0,1332000000.0,1486000000.0,1502000000.0,1820000000.0
22,21,Short-term debt,2000000.0,92000000.0,92000000.0,5000000.0,95000000.0
23,21,Accounts payable,97000000.0,67000000.0,61000000.0,74000000.0,110000000.0
24,21,Accrued liabilities,264000000.0,689000000.0,844000000.0,620000000.0,723000000.0
25,21,Deferred revenues,379000000.0,484000000.0,489000000.0,803000000.0,892000000.0
26,21,Other current liabilities,363000000.0,0.0,0.0,0.0,0.0
27,21,Total current liabilities,1105000000.0,1332000000.0,1486000000.0,1502000000.0,1820000000.0
28,20,Non-current liabilities,3975000000.0,4596000000.0,4556000000.0,5178000000.0,5382000000.0
29,28,Long-term debt,3228000000.0,3756000000.0,3711000000.0,4288000000.0,4467000000.0
30,28,Deferred taxes liabilities,638000000.0,713000000.0,716000000.0,726000000.0,762000000.0
31,28,Other long-term liabilities,109000000.0,127000000.0,129000000.0,164000000.0,153000000.0
32,28,Total non-current liabilities,3975000000.0,4596000000.0,4556000000.0,5178000000.0,5382000000.0
33,20,Total liabilities,5080000000.0,5928000000.0,6042000000.0,6680000000.0,7202000000.0
34,19,Stockholders' equity,3417000000.0,3585000000.0,3295000000.0,2660000000.0,2541000000.0
35,34,Common stock,2000000.0,4000000.0,4000000.0,4000000.0,4000000.0
36,34,Additional paid-in capital,804000000.0,844000000.0,897000000.0,952000000.0,1020000000.0
37,34,Retained earnings,5950000000.0,6598000000.0,7352000000.0,8064000000.0,8994000000.0
38,34,Treasury stock,-3279000000.0,-3801000000.0,-4895000000.0,-6286000000.0,-7401000000.0
39,34,Accumulated other comprehensive income,-60000000.0,-60000000.0,-63000000.0,-74000000.0,-76000000.0
40,34,Total stockholders' equity,3417000000.0,3585000000.0,3295000000.0,2660000000.0,2541000000.0
41,19,Total liabilities and stockholders' equity,8497000000.0,9513000000.0,9337000000.0,9340000000.0,9743000000.0
