,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,6182000000.0,6505000000.0,7151000000.0,7412000000.0,7766000000.0,7685000000.0
1,1,Cost of revenue,4148000000.0,4372000000.0,4777000000.0,4907000000.0,5130000000.0,5209000000.0
2,2,Gross profit,2034000000.0,2133000000.0,2374000000.0,2505000000.0,2636000000.0,2476000000.0
3,3,Operating expenses,1424000000.0,1467000000.0,1565000000.0,1563000000.0,1630000000.0,1697000000.0
4,3,"Sales, General and administrative",1294000000.0,1334000000.0,1426000000.0,1415000000.0,1472000000.0,1473000000.0
5,3,Other operating expenses,130000000.0,133000000.0,139000000.0,148000000.0,158000000.0,224000000.0
6,3,Total operating expenses,1424000000.0,1467000000.0,1565000000.0,1563000000.0,1630000000.0,1697000000.0
7,7,Operating income,610000000.0,666000000.0,809000000.0,942000000.0,1006000000.0,779000000.0
8,8,Interest Expense,11000000.0,,,11000000.0,11000000.0,11000000.0
9,9,Other income (expense),8000000.0,-3000000.0,0.0,-94000000.0,9000000.0,11000000.0
10,10,Income before taxes,607000000.0,663000000.0,809000000.0,837000000.0,1004000000.0,779000000.0
11,11,Provision for income taxes,210000000.0,234000000.0,289000000.0,296000000.0,340000000.0,257000000.0
12,12,Net income from continuing operations,397000000.0,429000000.0,520000000.0,541000000.0,664000000.0,522000000.0
13,13,Net income,397000000.0,429000000.0,520000000.0,541000000.0,664000000.0,522000000.0
14,14,Net income available to common shareholders,397000000.0,429000000.0,520000000.0,541000000.0,664000000.0,522000000.0
15,15,Earnings per share,,,,,,
16,16,Basic,2.62,2.89,3.61,3.89,4.95,3.99
17,17,Diluted,2.58,2.85,3.56,3.84,4.91,3.96
18,18,Weighted average shares outstanding,,,,,,
19,19,Basic,151200000.0,148400000.0,143900000.0,139100000.0,134000000.0,130250000.0
20,20,Diluted,154000000.0,150500000.0,146000000.0,140800000.0,135100000.0,131050000.0
21,21,EBITDA,736000000.0,799000000.0,948000000.0,996000000.0,1173000000.0,957000000.0
