Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,19.88,23.27,28.42,10.4,20.53,14.78,23.15,22.57,19.65,13.79,15.8
Accounts Receivable,19.85,19.23,15.82,18.29,15.15,15.39,12.23,15.07,13.55,13.44,12.49
Inventory,17.51,16.68,14.58,16.32,15.65,17.51,14.71,13.62,16.34,14.18,14.93
Other Current Assets,6.74,6.14,6.55,6.4,6.14,5.83,5.8,5.63,3.97,3.05,3.13
Total Current Assets,63.99,65.32,65.36,51.41,57.47,53.51,55.89,56.89,53.5,44.46,46.35
Net PP&E,11.8,9.83,9.37,10.18,8.68,9.72,9.99,10.5,11.33,10.37,9.76
Intangibles,22.36,22.66,21.65,35.5,30.87,29.56,31.15,29.16,30.65,37.02,40.29
Other Long-Term Assets,1.84,2.19,3.63,2.91,2.98,7.21,2.97,3.45,4.51,8.15,3.6
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.27,3.84,3.59,4.62,3.92,4.32,3.66,4.17,5.8,4.36,4.61
Short-Term Debt,1.86,,,,,,0.64,0.64,11.0,0.57,
Taxes Payable,,,,1.51,0.1,0.55,0.03,0.19,0.01,1.95,1.67
Accrued Liabilities,4.86,7.42,6.63,6.99,4.85,4.02,4.95,5.41,4.54,3.98,4.75
Other Short-Term Liabilities,4.23,2.58,1.73,0.34,1.92,2.11,2.52,2.74,2.98,2.94,2.27
Total Current Liabilities,16.22,13.85,11.96,13.46,10.78,11.0,11.8,13.15,24.32,13.81,13.3
Long-Term Debt,20.3,15.3,3.91,,11.54,11.4,15.9,15.21,3.9,19.16,15.2
Other Long-Term Liabilities,2.64,3.32,3.09,4.57,4.13,4.12,3.45,3.26,3.23,2.97,3.2
Total Liabilities,39.15,32.47,18.95,18.03,26.46,26.53,31.15,31.62,31.45,35.93,31.69
Total Stockholders' Equity,60.85,67.53,81.05,81.97,73.54,73.47,68.85,68.38,68.55,64.07,68.31
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
