Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,779.0,1077.0,1147.0,1388.0,1544.0,1405.0,1496.0,1531.0,1557.0,1662.0,1780.0
Gross Margin %,55.6,56.3,57.4,55.0,53.7,52.3,49.3,49.0,48.4,46.2,46.9
Operating Income USD Mil,192.0,284.0,347.0,360.0,313.0,303.0,241.0,259.0,306.0,296.0,305.0
Operating Margin %,24.6,26.4,30.3,26.0,20.3,21.6,16.1,16.9,19.6,17.8,17.1
Net Income USD Mil,137.0,201.0,230.0,248.0,221.0,222.0,177.0,200.0,242.0,167.0,219.0
Earnings Per Share USD,0.89,1.28,1.45,1.54,1.38,1.45,1.22,1.39,1.72,1.2,1.57
Dividends USD,,,,,0.24,0.28,0.36,0.4,0.44,0.48,0.57
Payout Ratio % *,,,,,13.5,19.1,22.0,35.8,25.1,37.3,36.3
Shares Mil,154.0,163.0,162.0,162.0,161.0,154.0,145.0,144.0,141.0,138.0,139.0
Book Value Per Share * USD,4.56,6.05,7.88,9.56,9.99,10.97,11.41,11.62,11.83,12.13,13.64
Operating Cash Flow USD Mil,116.0,218.0,272.0,255.0,244.0,286.0,355.0,226.0,276.0,312.0,299.0
Cap Spending USD Mil,-44.0,-28.0,-42.0,-66.0,-42.0,-61.0,-52.0,-61.0,-68.0,-36.0,-40.0
Free Cash Flow USD Mil,72.0,191.0,230.0,189.0,202.0,224.0,303.0,165.0,208.0,276.0,259.0
Free Cash Flow Per Share * USD,0.47,1.17,1.42,1.17,0.79,1.46,2.08,1.48,1.34,1.79,
Working Capital USD Mil,489.0,640.0,793.0,705.0,1002.0,926.0,1033.0,1030.0,702.0,803.0,
