Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,29.58,32.81,31.91,30.58,27.3,27.69,29.67,25.61,28.13,21.28,21.81
Accounts Receivable,16.33,19.1,13.78,15.96,14.94,15.02,15.31,17.96,15.76,18.45,16.67
Inventory,16.87,15.27,19.58,19.32,23.54,23.47,20.91,19.37,18.04,16.68,14.43
Other Current Assets,7.26,5.49,6.08,7.2,5.32,7.46,6.24,7.33,7.23,4.46,7.07
Total Current Assets,70.04,72.68,71.35,73.05,71.11,73.64,72.13,70.27,69.16,60.87,59.99
Net PP&E,13.53,12.45,11.66,11.38,11.14,11.49,11.62,11.96,11.69,11.04,11.75
Intangibles,1.35,1.36,1.23,1.15,1.16,1.22,1.37,1.38,1.46,7.84,6.13
Other Long-Term Assets,15.08,13.51,15.76,14.42,16.59,13.65,14.89,16.39,17.68,20.25,22.14
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,17.0,18.13,18.59,18.81,20.97,23.61,19.72,17.35,16.6,17.26,15.21
Short-Term Debt,5.3,2.08,1.53,1.27,0.24,0.25,0.36,0.35,,0.89,0.4
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,13.72,13.47,12.22,12.07,11.83,12.59,20.86,15.99,8.77,14.97,12.38
Other Short-Term Liabilities,13.33,15.55,13.66,14.12,13.39,10.51,,6.95,13.09,8.29,10.55
Total Current Liabilities,49.34,49.23,45.99,46.27,46.43,46.97,40.93,40.65,38.46,41.4,38.54
Long-Term Debt,0.31,0.28,0.25,0.23,6.21,6.29,5.97,12.1,13.01,16.47,17.2
Other Long-Term Liabilities,11.11,8.91,7.71,7.57,6.3,6.37,7.97,9.29,9.25,8.22,8.55
Total Liabilities,60.76,58.42,53.95,54.08,58.94,59.63,54.86,62.04,60.72,66.09,64.29
Total Stockholders' Equity,39.24,41.58,46.05,45.92,41.06,40.37,45.14,37.96,39.28,33.91,35.71
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
