,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,8276043000.0,8323850000.0,8194429000.0,7631506000.0,9216417000.0
1,0,Current assets,6094137000.0,6003683000.0,5758047000.0,5278287000.0,5610270000.0
2,1,Cash,2291668000.0,2469605000.0,2098256000.0,2146978000.0,1961473000.0
3,2,Cash and cash equivalents,2154541000.0,2283582000.0,1993125000.0,1949886000.0,1850436000.0
4,2,Short-term investments,137127000.0,186023000.0,105131000.0,197092000.0,111037000.0
5,2,Total cash,2291668000.0,2469605000.0,2098256000.0,2146978000.0,1961473000.0
6,1,Receivables,1242691000.0,1274024000.0,1471705000.0,1203024000.0,1700224000.0
7,1,Inventories,1942679000.0,1740821000.0,1587275000.0,1376471000.0,1537289000.0
8,1,Deferred income taxes,249839000.0,245796000.0,340223000.0,172887000.0,
9,1,Other current assets,367260000.0,273437000.0,260588000.0,378927000.0,411284000.0
10,1,Total current assets,6094137000.0,6003683000.0,5758047000.0,5278287000.0,5610270000.0
11,0,Non-current assets,2181906000.0,2320167000.0,2436382000.0,2353219000.0,3606147000.0
12,11,"Property, plant and equipment",951255000.0,966953000.0,980263000.0,892340000.0,1017223000.0
13,12,"Gross property, plant and equipment",1983764000.0,2073878000.0,2061461000.0,1938417000.0,2139414000.0
14,12,Accumulated Depreciation,-1032509000.0,-1106925000.0,-1081198000.0,-1046077000.0,-1122191000.0
15,12,"Net property, plant and equipment",951255000.0,966953000.0,980263000.0,892340000.0,1017223000.0
16,11,Equity and other investments,461249000.0,473588000.0,533449000.0,558564000.0,883938000.0
17,11,Goodwill,101332000.0,114107000.0,112952000.0,111646000.0,532239000.0
18,11,Intangible assets,0.0,0.0,0.0,0.0,190297000.0
19,11,Deferred income taxes,79357000.0,139773000.0,201004000.0,221945000.0,454109000.0
20,11,Other long-term assets,588713000.0,625746000.0,608714000.0,568724000.0,528341000.0
21,11,Total non-current assets,2181906000.0,2320167000.0,2436382000.0,2353219000.0,3606147000.0
22,0,Total assets,8276043000.0,8323850000.0,8194429000.0,7631506000.0,9216417000.0
23,23,Liabilities and stockholders' equity,8276043000.0,8323850000.0,8194429000.0,7631506000.0,9216417000.0
24,23,Liabilities,4934748000.0,4566863000.0,5083558000.0,4634159000.0,6091226000.0
25,24,Current liabilities,3887114000.0,3407160000.0,3330853000.0,2935352000.0,3816029000.0
26,25,Short-term debt,20792000.0,29839000.0,28742000.0,0.0,82243000.0
27,25,Accounts payable,1954108000.0,1641109000.0,1422084000.0,1266509000.0,1590506000.0
28,25,Accrued liabilities,1042067000.0,1736212000.0,1310609000.0,669592000.0,1379506000.0
29,25,Deferred revenues,870147000.0,,,,
30,25,Other current liabilities,0.0,0.0,569418000.0,999251000.0,763774000.0
31,25,Total current liabilities,3887114000.0,3407160000.0,3330853000.0,2935352000.0,3816029000.0
32,24,Non-current liabilities,1047634000.0,1159703000.0,1752705000.0,1698807000.0,2275197000.0
33,32,Long-term debt,520205000.0,496604000.0,991685000.0,992664000.0,1517949000.0
34,32,Minority interest,85799000.0,123836000.0,112959000.0,116152000.0,117640000.0
35,32,Other long-term liabilities,441630000.0,539263000.0,648061000.0,589991000.0,639608000.0
36,32,Total non-current liabilities,1047634000.0,1159703000.0,1752705000.0,1698807000.0,2275197000.0
37,24,Total liabilities,4934748000.0,4566863000.0,5083558000.0,4634159000.0,6091226000.0
38,23,Stockholders' equity,3341295000.0,3756987000.0,3110871000.0,2997347000.0,3125191000.0
39,38,Common stock,1624000.0,1613000.0,1486000.0,1390000.0,1393000.0
40,38,Additional paid-in capital,0.0,12911000.0,0.0,,38317000.0
41,38,Retained earnings,3597521000.0,4040664000.0,3593597000.0,3428732000.0,3582150000.0
42,38,Accumulated other comprehensive income,-257850000.0,-298201000.0,-484212000.0,-432775000.0,-496669000.0
43,38,Total stockholders' equity,3341295000.0,3756987000.0,3110871000.0,2997347000.0,3125191000.0
44,23,Total liabilities and stockholders' equity,8276043000.0,8323850000.0,8194429000.0,7631506000.0,9216417000.0
