,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,3748300000.0,3874800000.0,4037700000.0,3276500000.0,3282400000.0,3330900000.0
1,1,Cost of revenue,2407100000.0,2534400000.0,2662700000.0,2201100000.0,2082600000.0,2080600000.0
2,2,Gross profit,1341200000.0,1340400000.0,1375000000.0,1075400000.0,1199800000.0,1250300000.0
3,3,Operating expenses,683000000.0,681400000.0,829600000.0,1125600000.0,671000000.0,719400000.0
4,3,Research and development,117800000.0,117700000.0,128300000.0,143700000.0,141500000.0,133900000.0
5,3,"Sales, General and administrative",527100000.0,515800000.0,621200000.0,737900000.0,529500000.0,595900000.0
6,3,"Restructuring, merger and acquisition",38100000.0,47900000.0,56500000.0,244000000.0,,
7,3,Other operating expenses,0.0,0.0,23600000.0,0.0,0.0,-10400000.0
8,3,Total operating expenses,683000000.0,681400000.0,829600000.0,1125600000.0,671000000.0,719400000.0
9,9,Operating income,658200000.0,659000000.0,545400000.0,-50200000.0,528800000.0,530900000.0
10,10,Interest Expense,45400000.0,42400000.0,59700000.0,81400000.0,83300000.0,
11,11,Other income (expense),-200000.0,-700000.0,-700000.0,1100000.0,-106200000.0,-194600000.0
12,12,Income before taxes,612600000.0,615900000.0,485000000.0,-130500000.0,339300000.0,336300000.0
13,13,Provision for income taxes,146700000.0,148600000.0,73500000.0,47400000.0,93900000.0,47600000.0
14,14,Net income from continuing operations,465900000.0,467300000.0,411500000.0,-177900000.0,245400000.0,288700000.0
15,15,Net income from discontinuing ops,-30200000.0,-159300000.0,-89400000.0,676400000.0,-33700000.0,-265000000.0
16,16,Other,-19500000.0,-14100000.0,-14600000.0,-9500000.0,-2600000.0,-2100000.0
17,17,Net income,416200000.0,293900000.0,307500000.0,489000000.0,209100000.0,21600000.0
18,18,Preferred dividend,0.0,0.0,0.0,0.0,700000.0,1100000.0
19,19,Net income available to common shareholders,416200000.0,293900000.0,307500000.0,489000000.0,208400000.0,20500000.0
20,20,Earnings per share,,,,,,
21,21,Basic,3.01,2.16,2.3,3.66,1.56,0.16
22,22,Diluted,3.0,2.16,2.29,3.66,1.56,0.16
23,23,Weighted average shares outstanding,,,,,,
24,24,Basic,137701000.0,135209000.0,133327000.0,133696000.0,133890000.0,134110500.0
25,25,Diluted,138813000.0,136137000.0,134282000.0,133696000.0,134538000.0,135300750.0
26,26,EBITDA,795800000.0,785500000.0,675900000.0,66600000.0,559700000.0,557800000.0
