,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,14.40625,14.53125,14.40625,14.5,6.7894380000000005,240000
1,1995-01-04,14.5,14.53125,14.40625,14.5,6.7894380000000005,51600
2,1995-01-05,14.5,14.53125,14.46875,14.53125,6.804069999999999,165600
3,1995-01-06,14.59375,14.59375,14.46875,14.53125,6.804069999999999,97200
4,1995-01-09,14.5625,14.59375,14.5625,14.59375,6.833335000000001,97200
5,1995-01-10,14.59375,14.59375,14.4375,14.4375,6.760172,338400
6,1995-01-11,14.5,14.53125,14.40625,14.46875,6.774806,75600
7,1995-01-12,14.71875,14.75,14.375,14.40625,6.745541,282400
8,1995-01-13,14.46875,14.5,14.375,14.40625,6.745541,248000
9,1995-01-16,14.46875,14.5625,14.46875,14.5,6.7894380000000005,126000
10,1995-01-17,14.46875,14.46875,14.40625,14.46875,6.774806,39600
11,1995-01-18,14.5,14.65625,14.5,14.59375,6.833335000000001,251200
12,1995-01-19,14.625,14.78125,14.625,14.75,6.906497,172000
13,1995-01-20,14.78125,14.78125,14.6875,14.75,6.906497,453200
14,1995-01-23,14.78125,14.78125,14.53125,14.625,6.84797,171600
15,1995-01-24,14.75,14.84375,14.6875,14.6875,6.877234,353600
16,1995-01-25,14.71875,14.75,14.65625,14.71875,6.891864999999999,181600
17,1995-01-26,14.6875,14.8125,14.65625,14.71875,6.891864999999999,101600
18,1995-01-27,14.78125,14.8125,14.65625,14.65625,6.862597999999999,47200
19,1995-01-30,14.625,14.65625,14.59375,14.59375,6.833335000000001,86400
20,1995-01-31,14.625,14.6875,14.4375,14.46875,6.774806,179600
21,1995-02-01,14.5,14.5,14.28125,14.40625,6.745541,305200
22,1995-02-02,14.375,14.375,14.28125,14.375,6.730909,90800
23,1995-02-03,14.40625,14.40625,14.3125,14.34375,6.716275,252800
24,1995-02-06,14.375,14.625,14.375,14.375,6.730909,958400
25,1995-02-07,14.4375,14.4375,14.34375,14.40625,6.745541,412800
26,1995-02-08,14.5,14.59375,14.375,14.375,6.730909,296800
27,1995-02-09,14.4375,14.46875,14.375,14.46875,6.774806,92400
28,1995-02-10,14.5,14.625,14.4375,14.625,6.84797,469200
29,1995-02-13,14.75,14.78125,14.53125,14.71875,6.891864999999999,340000
30,1995-02-14,14.75,14.8125,14.6875,14.71875,6.891864999999999,186800
31,1995-02-15,14.75,14.75,14.65625,14.75,6.906497,93200
32,1995-02-16,14.75,14.75,14.625,14.75,6.906497,137600
33,1995-02-17,14.75,14.75,14.6875,14.71875,6.891864999999999,98800
34,1995-02-21,14.75,14.75,14.5,14.5625,6.818701,149600
35,1995-02-22,14.59375,14.6875,14.5625,14.625,6.84797,84000
36,1995-02-23,14.6875,14.6875,14.5,14.5625,6.818701,95600
37,1995-02-24,14.625,14.625,14.40625,14.5625,6.818701,120000
38,1995-02-27,14.5625,14.625,14.53125,14.59375,6.833335000000001,266400
39,1995-02-28,14.59375,14.65625,14.5625,14.625,6.84797,278000
40,1995-03-01,14.625,14.8125,14.625,14.75,6.906497,329600
41,1995-03-02,14.8125,14.875,14.71875,14.78125,6.921129,387600
42,1995-03-03,14.8125,14.8125,14.75,14.78125,6.921129,193200
43,1995-03-06,14.78125,14.78125,14.59375,14.625,6.84797,178400
44,1995-03-07,14.625,14.65625,14.46875,14.65625,6.862597999999999,206800
45,1995-03-08,14.71875,14.78125,14.65625,14.75,6.906497,65200
46,1995-03-09,14.75,14.78125,14.71875,14.75,6.906497,68800
47,1995-03-10,14.8125,15.0,14.75,14.96875,7.008924,244000
48,1995-03-13,15.0,15.15625,15.0,15.125,7.082087,348000
49,1995-03-14,15.1875,15.40625,15.15625,15.15625,7.0967199999999995,474400
50,1995-03-15,15.125,15.125,14.75,14.78125,6.921129,331200
51,1995-03-16,14.78125,14.9375,14.75,14.875,6.965027,243600
52,1995-03-17,14.84375,14.90625,14.78125,14.78125,6.921129,340000
53,1995-03-20,14.875,14.9375,14.84375,14.84375,6.9503960000000005,101200
54,1995-03-21,14.75,15.09375,14.75,14.8125,6.9357619999999995,142800
55,1995-03-22,14.78125,14.8125,14.6875,14.75,6.906497,94400
56,1995-03-23,14.78125,14.875,14.75,14.84375,6.9503960000000005,123600
57,1995-03-24,14.875,14.9375,14.8125,14.84375,6.9503960000000005,222800
58,1995-03-27,14.875,14.875,14.78125,14.875,6.965027,410000
59,1995-03-28,14.875,14.875,14.78125,14.875,6.965027,110000
60,1995-03-29,14.90625,15.0625,14.84375,14.90625,6.979661,279200
