Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,,,,,,,0.0,0.0,0.0,1.0,1.0
Gross Margin %,,,,,,,2.8,43.7,45.8,37.3,40.4
Operating Income EUR Mil,,,,,-1.0,-1.0,-2.0,-2.0,-2.0,-3.0,-3.0
Operating Margin %,,,,,,,,,,-380.1,-329.5
Net Income EUR Mil,,,,,-1.0,-7.0,-3.0,-2.0,-3.0,-3.0,-3.0
Earnings Per Share EUR,,,,,-1.31,-0.18,-0.02,-0.02,-0.02,-0.02,-0.02
Dividends EUR,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,1.0,42.0,114.0,134.0,155.0,172.0,181.0
Book Value Per Share * EUR,,,,,,0.05,0.04,0.03,0.05,0.05,0.04
Operating Cash Flow EUR Mil,,,,,-1.0,-1.0,-3.0,-3.0,-4.0,-3.0,-2.0
Cap Spending EUR Mil,,,,,-0.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0
Free Cash Flow EUR Mil,,,,,-1.0,-2.0,-4.0,-6.0,-4.0,-4.0,-3.0
Free Cash Flow Per Share * EUR,,,,,,-0.04,-0.01,-0.03,-0.02,-0.02,
Working Capital EUR Mil,,,,,1.0,7.0,6.0,7.0,6.0,4.0,
