,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,20.875,21.125,20.875,21.0,6.793611,17700
1,1995-01-04,20.875,21.0,20.75,20.875,6.753172999999999,152700
2,1995-01-05,20.75,21.125,20.75,21.125,6.83405,170300
3,1995-01-06,21.125,21.125,20.875,21.0,6.793611,129200
4,1995-01-09,21.125,21.25,20.875,21.125,6.83405,187400
5,1995-01-10,20.875,20.875,20.5,20.5,6.6318589999999995,51800
6,1995-01-11,20.625,20.625,20.25,20.5,6.6318589999999995,28700
7,1995-01-12,20.25,20.625,20.25,20.625,6.672298,33500
8,1995-01-13,20.75,20.875,20.5,20.875,6.753172999999999,62700
9,1995-01-16,21.25,21.25,20.75,20.75,6.712735,49300
10,1995-01-17,20.75,21.0,20.75,20.75,6.712735,35800
11,1995-01-18,20.75,20.875,20.625,20.625,6.672298,76100
12,1995-01-19,20.75,21.0,20.625,20.75,6.712735,29300
13,1995-01-20,20.875,20.875,20.75,20.75,6.712735,38800
14,1995-01-23,20.75,20.875,20.625,20.625,6.672298,13100
15,1995-01-24,20.625,20.625,20.375,20.375,6.591421,58900
16,1995-01-25,20.5,20.5,20.375,20.5,6.6318589999999995,12300
17,1995-01-26,20.375,20.875,20.375,20.875,6.753172999999999,26300
18,1995-01-27,20.875,21.0,20.875,21.0,6.793611,30300
19,1995-01-30,21.0,21.0,20.875,20.875,6.753172999999999,9500
20,1995-01-31,20.875,21.0,20.875,20.875,6.753172999999999,25000
21,1995-02-01,20.875,21.0,20.75,20.875,6.753172999999999,42100
22,1995-02-02,21.0,21.0,20.875,21.0,6.793611,38200
23,1995-02-03,21.0,21.375,20.875,21.125,6.83405,134200
24,1995-02-06,21.125,21.25,21.0,21.125,6.83405,33600
25,1995-02-07,21.0,21.125,20.875,21.0,6.793611,43200
26,1995-02-08,21.0,21.0,20.875,20.875,6.753172999999999,51600
27,1995-02-09,20.875,21.0,20.75,20.875,6.753172999999999,52700
28,1995-02-10,20.875,21.0,20.75,20.875,6.753172999999999,40000
29,1995-02-13,20.875,21.0,20.875,20.875,6.753172999999999,37300
30,1995-02-14,21.0,21.0,20.75,20.75,6.712735,31100
31,1995-02-15,20.875,20.875,20.75,20.75,6.712735,72400
32,1995-02-16,20.75,21.0,20.75,20.875,6.753172999999999,54800
33,1995-02-17,21.0,21.0,20.875,20.875,6.753172999999999,83800
34,1995-02-21,20.75,21.0,20.75,20.875,6.753172999999999,36100
35,1995-02-22,20.875,21.0,20.75,20.75,6.712735,135200
36,1995-02-23,20.875,20.875,20.625,20.75,6.712735,173500
37,1995-02-24,20.875,21.125,20.875,21.0,6.793611,93100
38,1995-02-27,21.125,21.25,20.75,20.875,6.753172999999999,113900
39,1995-02-28,20.875,21.125,20.875,21.125,6.83405,33400
40,1995-03-01,21.125,21.125,20.875,21.125,6.83405,32200
41,1995-03-02,21.125,22.0,21.125,21.375,6.914925,33900
42,1995-03-03,21.375,21.375,21.0,21.125,6.83405,16900
43,1995-03-06,21.125,21.25,20.875,21.0,6.793611,63800
44,1995-03-07,20.875,21.125,20.875,20.875,6.753172999999999,23200
45,1995-03-08,20.875,21.125,20.75,20.875,6.753172999999999,43000
46,1995-03-09,21.125,21.25,21.0,21.0,6.793611,176400
47,1995-03-10,21.125,21.125,20.5,20.875,6.753172999999999,24700
48,1995-03-13,20.875,20.875,20.375,20.875,6.753172999999999,19100
49,1995-03-14,20.875,21.0,20.75,21.0,6.793611,15800
50,1995-03-15,20.875,21.125,20.75,20.875,6.753172999999999,52300
51,1995-03-16,20.875,21.25,20.875,21.0,6.793611,52600
