,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,5785300000.0,5961900000.0,6337200000.0,6178800000.0,6224300000.0,6476400000.0
1,1,Cost of revenue,3022300000.0,3097900000.0,3288000000.0,3183500000.0,3191500000.0,3291300000.0
2,2,Gross profit,2763000000.0,2864000000.0,3049200000.0,2995300000.0,3032800000.0,3185100000.0
3,3,Operating expenses,1635200000.0,1720800000.0,1803900000.0,1725600000.0,1786800000.0,1848300000.0
4,3,Research and development,352700000.0,378300000.0,387600000.0,377700000.0,384800000.0,396500000.0
5,3,"Sales, General and administrative",1282500000.0,1342500000.0,1416300000.0,1347900000.0,1402000000.0,1451800000.0
6,3,Total operating expenses,1635200000.0,1720800000.0,1803900000.0,1725600000.0,1786800000.0,1848300000.0
7,7,Operating income,1127800000.0,1143200000.0,1245300000.0,1269700000.0,1246000000.0,1336800000.0
8,8,Interest Expense,,,,,49000000.0,91100000.0
9,9,Other income (expense),0.0,0.0,33900000.0,0.0,0.0,15300000.0
10,10,Income before taxes,1127800000.0,1143200000.0,1279200000.0,1269700000.0,1197000000.0,1261000000.0
11,11,Provision for income taxes,364100000.0,312300000.0,395800000.0,405900000.0,324700000.0,328900000.0
12,12,Net income from continuing operations,763700000.0,830900000.0,883400000.0,863800000.0,872300000.0,932100000.0
13,13,Net income,763700000.0,830900000.0,883400000.0,863800000.0,872300000.0,932100000.0
14,14,Net income available to common shareholders,763700000.0,830900000.0,883400000.0,863800000.0,872300000.0,932100000.0
15,15,Earnings per share,,,,,,
16,16,Basic,,,,2.31,2.52,2.69
17,17,Diluted,,,,2.28,2.51,2.65
18,18,Weighted average shares outstanding,,,,,,
19,19,Basic,,,,349100000.0,345700000.0,347050000.0
20,20,Diluted,,,,352900000.0,347300000.0,351500000.0
21,21,EBITDA,1272800000.0,1302900000.0,1423300000.0,1446600000.0,1422400000.0,1508300000.0
