,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,34309000000.0,35448000000.0,35355000000.0,31997000000.0,32872000000.0
1,0,Current assets,15744000000.0,17886000000.0,17407000000.0,14571000000.0,15447000000.0
2,1,Cash,3296000000.0,5301000000.0,4388000000.0,2785000000.0,2334000000.0
3,2,Cash and cash equivalents,3296000000.0,5301000000.0,4388000000.0,2785000000.0,2334000000.0
4,2,Total cash,3296000000.0,5301000000.0,4388000000.0,2785000000.0,2334000000.0
5,1,Receivables,4204000000.0,4402000000.0,4050000000.0,3446000000.0,3611000000.0
6,1,Inventories,2776000000.0,2968000000.0,3221000000.0,3366000000.0,3523000000.0
7,1,Other current assets,5468000000.0,5215000000.0,5748000000.0,4974000000.0,5979000000.0
8,1,Total current assets,15744000000.0,17886000000.0,17407000000.0,14571000000.0,15447000000.0
9,0,Non-current assets,18565000000.0,17562000000.0,17948000000.0,17426000000.0,17425000000.0
10,9,"Property, plant and equipment",3403000000.0,3415000000.0,3329000000.0,3466000000.0,3467000000.0
11,10,"Gross property, plant and equipment",7003000000.0,7248000000.0,7292000000.0,7676000000.0,7929000000.0
12,10,Accumulated Depreciation,-3600000000.0,-3833000000.0,-3963000000.0,-4210000000.0,-4462000000.0
13,10,"Net property, plant and equipment",3403000000.0,3415000000.0,3329000000.0,3466000000.0,3467000000.0
14,9,Goodwill,12048000000.0,11977000000.0,11731000000.0,11443000000.0,11445000000.0
15,9,Intangible assets,1383000000.0,1217000000.0,912000000.0,763000000.0,678000000.0
16,9,Other long-term assets,1731000000.0,953000000.0,1976000000.0,1754000000.0,1835000000.0
17,9,Total non-current assets,18565000000.0,17562000000.0,17948000000.0,17426000000.0,17425000000.0
18,0,Total assets,34309000000.0,35448000000.0,35355000000.0,31997000000.0,32872000000.0
19,19,Liabilities and stockholders' equity,34309000000.0,35448000000.0,35355000000.0,31997000000.0,32872000000.0
20,19,Liabilities,22919000000.0,20947000000.0,23526000000.0,21259000000.0,21896000000.0
21,20,Current liabilities,11620000000.0,12194000000.0,13751000000.0,12445000000.0,12846000000.0
22,21,Short-term debt,,,501000000.0,501000000.0,900000000.0
23,21,Accounts payable,2469000000.0,2248000000.0,2057000000.0,1964000000.0,2538000000.0
24,21,Deferred income taxes,,,729000000.0,,1258000000.0
25,21,Accrued liabilities,,,1447000000.0,,1335000000.0
26,21,Deferred revenues,6042000000.0,6584000000.0,7335000000.0,5674000000.0,4939000000.0
27,21,Other current liabilities,3109000000.0,3362000000.0,1682000000.0,4306000000.0,1876000000.0
28,21,Total current liabilities,11620000000.0,12194000000.0,13751000000.0,12445000000.0,12846000000.0
29,20,Non-current liabilities,11299000000.0,8753000000.0,9775000000.0,8814000000.0,9050000000.0
30,29,Long-term debt,3908000000.0,3908000000.0,3410000000.0,2898000000.0,2988000000.0
31,29,Deferred taxes liabilities,,,82000000.0,,72000000.0
32,29,Deferred revenues,,,617000000.0,,418000000.0
33,29,Pensions and other benefits,,,4596000000.0,,
34,29,Other long-term liabilities,7391000000.0,4845000000.0,1070000000.0,5916000000.0,5572000000.0
35,29,Total non-current liabilities,11299000000.0,8753000000.0,9775000000.0,8814000000.0,9050000000.0
36,20,Total liabilities,22919000000.0,20947000000.0,23526000000.0,21259000000.0,21896000000.0
37,19,Stockholders' equity,11390000000.0,14501000000.0,11829000000.0,10738000000.0,10976000000.0
38,37,Common stock,482000000.0,482000000.0,482000000.0,482000000.0,482000000.0
39,37,Additional paid-in capital,1988000000.0,2226000000.0,2548000000.0,2730000000.0,2819000000.0
40,37,Retained earnings,17860000000.0,19428000000.0,21127000000.0,23204000000.0,25227000000.0
41,37,Treasury stock,-6165000000.0,-6450000000.0,-9396000000.0,-12392000000.0,-14156000000.0
42,37,Accumulated other comprehensive income,-2775000000.0,-1185000000.0,-2932000000.0,-3286000000.0,-3396000000.0
43,37,Total stockholders' equity,11390000000.0,14501000000.0,11829000000.0,10738000000.0,10976000000.0
44,19,Total liabilities and stockholders' equity,34309000000.0,35448000000.0,35355000000.0,31997000000.0,32872000000.0
