,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,17774100000.0,17909600000.0,17630300000.0,16563100000.0,15619800000.0,15481100000.0
1,1,Cost of revenue,11350200000.0,11539800000.0,11681100000.0,10733600000.0,10056000000.0,10024100000.0
2,2,Gross profit,6423900000.0,6369800000.0,5949200000.0,5829500000.0,5563800000.0,5457000000.0
3,3,Operating expenses,3572100000.0,3412400000.0,3871900000.0,3122100000.0,2997400000.0,2910600000.0
4,3,"Sales, General and administrative",3552300000.0,3474300000.0,3328000000.0,3118900000.0,2801300000.0,2768200000.0
5,3,"Restructuring, merger and acquisition",19800000.0,3600000.0,543900000.0,151400000.0,182600000.0,128900000.0
6,3,Other operating expenses,0.0,-65500000.0,0.0,-148200000.0,13500000.0,13500000.0
7,3,Total operating expenses,3572100000.0,3412400000.0,3871900000.0,3122100000.0,2997400000.0,2910600000.0
8,8,Operating income,2851800000.0,2957400000.0,2077300000.0,2707400000.0,2566400000.0,2546400000.0
9,9,Interest Expense,333800000.0,318500000.0,328600000.0,311900000.0,302100000.0,
10,10,Other income (expense),16900000.0,16100000.0,13200000.0,8100000.0,7000000.0,-293600000.0
11,11,Income before taxes,2534900000.0,2655000000.0,1761900000.0,2403600000.0,2271300000.0,2252800000.0
12,12,Provision for income taxes,741200000.0,883300000.0,586800000.0,755200000.0,655200000.0,647100000.0
13,13,Other income,98800000.0,89600000.0,84300000.0,88400000.0,85000000.0,84500000.0
14,14,Net income from continuing operations,1892500000.0,1861300000.0,1259400000.0,1736800000.0,1701100000.0,1690200000.0
15,15,Other,-37300000.0,-36900000.0,-38100000.0,-39400000.0,-43600000.0,-37000000.0
16,16,Net income,1855200000.0,1824400000.0,1221300000.0,1697400000.0,1657500000.0,1653200000.0
17,17,Net income available to common shareholders,1855200000.0,1824400000.0,1221300000.0,1697400000.0,1657500000.0,1653200000.0
18,18,Earnings per share,,,,,,
19,19,Basic,2.86,2.9,2.02,2.83,2.82,2.84
20,20,Diluted,2.79,2.83,1.97,2.77,2.77,2.79
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,648600000.0,628600000.0,603300000.0,598900000.0,587100000.0,581225000.0
23,23,Diluted,665600000.0,645700000.0,618800000.0,611900000.0,598000000.0,591625000.0
24,24,EBITDA,3456700000.0,3558900000.0,2678800000.0,3323600000.0,3177000000.0,3149600000.0
