,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,29375000000.0,28478000000.0,30063000000.0,28547000000.0,27899000000.0
1,0,Current assets,9695000000.0,8891000000.0,10238000000.0,8269000000.0,9048000000.0
2,1,Cash,6144000000.0,5235000000.0,6068000000.0,4600000000.0,5291000000.0
3,2,Cash and cash equivalents,4988000000.0,4704000000.0,5309000000.0,4500000000.0,5291000000.0
4,2,Short-term investments,1156000000.0,531000000.0,759000000.0,100000000.0,
5,2,Total cash,6144000000.0,5235000000.0,6068000000.0,4600000000.0,5291000000.0
6,1,Receivables,1302000000.0,1253000000.0,1501000000.0,1372000000.0,1481000000.0
7,1,Inventories,1051000000.0,1270000000.0,1322000000.0,1385000000.0,1471000000.0
8,1,Deferred income taxes,579000000.0,278000000.0,248000000.0,,
9,1,Other current assets,619000000.0,855000000.0,1099000000.0,912000000.0,805000000.0
10,1,Total current assets,9695000000.0,8891000000.0,10238000000.0,8269000000.0,9048000000.0
11,0,Non-current assets,19680000000.0,19587000000.0,19825000000.0,20278000000.0,18851000000.0
12,11,"Property, plant and equipment",10625000000.0,9801000000.0,12766000000.0,12648000000.0,12546000000.0
13,12,"Gross property, plant and equipment",18277000000.0,17666000000.0,21098000000.0,21836000000.0,22430000000.0
14,12,Accumulated Depreciation,-7652000000.0,-7865000000.0,-8332000000.0,-9188000000.0,-9884000000.0
15,12,"Net property, plant and equipment",10625000000.0,9801000000.0,12766000000.0,12648000000.0,12546000000.0
16,11,Equity and other investments,4915000000.0,5537000000.0,1801000000.0,1975000000.0,336000000.0
17,11,Goodwill,974000000.0,1002000000.0,1150000000.0,1380000000.0,1577000000.0
18,11,Intangible assets,522000000.0,540000000.0,497000000.0,706000000.0,796000000.0
19,11,Deferred income taxes,2343000000.0,2234000000.0,1889000000.0,2056000000.0,2325000000.0
20,11,Other long-term assets,301000000.0,473000000.0,1722000000.0,1513000000.0,1271000000.0
21,11,Total non-current assets,19680000000.0,19587000000.0,19825000000.0,20278000000.0,18851000000.0
22,0,Total assets,29375000000.0,28478000000.0,30063000000.0,28547000000.0,27899000000.0
23,23,Liabilities and stockholders' equity,29375000000.0,28478000000.0,30063000000.0,28547000000.0,27899000000.0
24,23,Liabilities,7889000000.0,7316000000.0,8484000000.0,9759000000.0,10006000000.0
25,24,Current liabilities,1956000000.0,1746000000.0,2324000000.0,2814000000.0,2751000000.0
26,25,Short-term debt,76000000.0,21000000.0,36000000.0,572000000.0,256000000.0
27,25,Accounts payable,779000000.0,771000000.0,997000000.0,934000000.0,1079000000.0
28,25,Taxes payable,,139000000.0,,53000000.0,150000000.0
29,25,Accrued liabilities,1101000000.0,445000000.0,1291000000.0,1255000000.0,557000000.0
30,25,Other current liabilities,0.0,370000000.0,0.0,0.0,709000000.0
31,25,Total current liabilities,1956000000.0,1746000000.0,2324000000.0,2814000000.0,2751000000.0
32,24,Non-current liabilities,5933000000.0,5570000000.0,6160000000.0,6945000000.0,7255000000.0
33,32,Long-term debt,3382000000.0,3272000000.0,3227000000.0,3910000000.0,3646000000.0
34,32,Pensions and other benefits,930000000.0,766000000.0,814000000.0,718000000.0,1429000000.0
35,32,Minority interest,47000000.0,49000000.0,73000000.0,75000000.0,67000000.0
36,32,Other long-term liabilities,1574000000.0,1483000000.0,2046000000.0,2242000000.0,2113000000.0
37,32,Total non-current liabilities,5933000000.0,5570000000.0,6160000000.0,6945000000.0,7255000000.0
38,24,Total liabilities,7889000000.0,7316000000.0,8484000000.0,9759000000.0,10006000000.0
39,23,Stockholders' equity,21486000000.0,21162000000.0,21579000000.0,18788000000.0,17893000000.0
40,39,Preferred stock,,,2300000000.0,2300000000.0,2300000000.0
41,39,Common stock,825000000.0,831000000.0,836000000.0,840000000.0,846000000.0
42,39,Additional paid-in capital,13146000000.0,13066000000.0,13456000000.0,13352000000.0,13695000000.0
43,39,Retained earnings,10588000000.0,11320000000.0,13021000000.0,13832000000.0,16880000000.0
44,39,Treasury stock,-2773000000.0,-4099000000.0,-6727000000.0,-9725000000.0,-14152000000.0
45,39,Accumulated other comprehensive income,-300000000.0,44000000.0,-1307000000.0,-1811000000.0,-1676000000.0
46,39,Total stockholders' equity,21486000000.0,21162000000.0,21579000000.0,18788000000.0,17893000000.0
47,23,Total liabilities and stockholders' equity,29375000000.0,28478000000.0,30063000000.0,28547000000.0,27899000000.0
