,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-02-13,9.625,10.06,9.525,10.05,7.744791,19054000
1,2002-02-14,10.175,10.195,9.925,10.0,7.706263000000001,2755400
2,2002-02-15,10.0,10.025,9.85,9.95,7.667731,2097400
3,2002-02-19,9.9,9.9,9.375,9.55,7.3594800000000005,1852600
4,2002-02-20,9.6,9.875,9.525,9.875,7.609936,1723200
5,2002-02-21,9.84,9.925,9.75,9.85,7.590669999999999,1744200
6,2002-02-22,9.925,9.925,9.6,9.675,7.455808,881400
7,2002-02-25,9.65,9.825,9.54,9.75,7.513603999999999,863400
8,2002-02-26,9.7,9.85,9.545,9.75,7.513603999999999,690400
9,2002-02-27,9.675,9.68,9.5,9.575,7.378747,1022800
10,2002-02-28,9.6,9.725,9.55,9.55,7.3594800000000005,687800
11,2002-03-01,9.525,9.775,9.49,9.685,7.463518,478400
12,2002-03-04,9.725,9.905,9.71,9.85,7.590669999999999,795200
13,2002-03-05,9.8,9.825,9.58,9.625,7.417278,861200
14,2002-03-06,9.62,9.715,9.6,9.675,7.455808,329200
15,2002-03-07,9.675,10.3,9.675,10.21,7.868091000000001,675200
16,2002-03-08,10.15,10.5,10.15,10.45,8.053042,400200
17,2002-03-11,10.4,10.7,10.375,10.585,8.157079,1365600
18,2002-03-12,10.5,10.95,10.5,10.6,8.168639,1454800
19,2002-03-13,10.6,10.75,10.325,10.51,8.099282,1265800
20,2002-03-14,10.51,10.6,10.42,10.5,8.091574000000001,424200
21,2002-03-15,10.5,10.55,9.95,10.175,7.841122,427000
22,2002-03-18,10.2,10.2,9.525,9.65,7.436542,551800
23,2002-03-19,9.725,9.75,9.3,9.35,7.205357000000001,807400
24,2002-03-20,9.275,9.275,8.5,9.01,6.943343,2309000
25,2002-03-21,9.01,9.625,9.01,9.375,7.224621000000001,1106800
26,2002-03-22,9.375,9.795,9.255,9.65,7.436542,623600
27,2002-03-25,9.75,9.905,9.59,9.86,7.598374000000001,1892800
28,2002-03-26,10.0,10.05,9.89,9.99,7.698555000000001,454200
29,2002-03-27,9.99,10.5,9.95,10.3,7.937452,342400
30,2002-03-28,10.25,10.3,10.05,10.1,7.783326,428600
31,2002-04-01,10.025,10.025,9.5,9.525,7.340216000000001,470000
32,2002-04-02,9.5,9.5,9.175,9.32,7.182238000000001,524600
33,2002-04-03,9.325,9.4,9.22,9.3,7.166824,141800
34,2002-04-04,9.275,9.525,9.275,9.475,7.301685000000001,190800
35,2002-04-05,9.475,9.7,9.245,9.245,7.1244380000000005,209400
36,2002-04-08,9.3,9.3,8.885,9.15,7.051228999999999,389600
37,2002-04-09,9.1,9.6,9.1,9.475,7.301685000000001,890600
38,2002-04-10,9.45,9.525,9.375,9.46,7.290125,325600
39,2002-04-11,9.455,9.455,9.25,9.25,7.128292999999999,361000
40,2002-04-12,9.325,9.325,9.03,9.125,7.031965,309000
41,2002-04-15,9.1,9.285,9.095,9.28,7.151411,389800
42,2002-04-16,9.375,9.6,9.375,9.5,7.32095,306400
43,2002-04-17,9.625,10.125,9.625,9.905,7.633050999999999,837200
44,2002-04-18,9.905,10.075,9.87,9.905,7.633050999999999,246200
45,2002-04-19,9.905,10.175,9.905,10.135,7.8102979999999995,161600
46,2002-04-22,10.075,10.075,9.905,10.0,7.706263000000001,193200
47,2002-04-23,9.975,10.125,9.75,9.775,7.53287,206200
48,2002-04-24,9.76,9.805,9.7,9.705,7.478928,266200
49,2002-04-25,9.705,9.705,9.585,9.7,7.475075,431800
50,2002-04-26,9.65,9.79,9.625,9.625,7.417278,413400
51,2002-04-29,9.575,9.575,9.4,9.45,7.282417999999999,640600
52,2002-04-30,9.375,9.65,9.35,9.525,7.340216000000001,1723600
53,2002-05-01,9.65,10.25,9.65,10.25,7.8989199999999995,418000
54,2002-05-02,10.2,10.495,10.2,10.415,8.026073,829000
55,2002-05-03,10.4,10.405,10.28,10.4,8.014512,115800
56,2002-05-06,10.395,11.295,10.395,10.875,8.380559,536600
57,2002-05-07,10.825,11.0,10.725,10.75,8.284232000000001,113200
58,2002-05-08,10.85,11.25,10.85,11.2,8.631014,164600
59,2002-05-09,11.25,11.6,11.25,11.425,8.804405000000001,211800
60,2002-05-10,11.5,11.715,11.0,11.03,8.500008,174000
61,2002-05-13,11.035,11.035,10.425,10.75,8.284232000000001,482400
62,2002-05-14,11.0,11.2,10.4,10.4,8.014512,989600
63,2002-05-15,10.35,10.5,9.925,9.925,7.648465,1457400
64,2002-05-16,9.925,10.35,9.925,10.3,7.937452,1321600
65,2002-05-17,10.375,10.75,10.375,10.615,8.180197,1087800
66,2002-05-20,10.615,10.75,10.55,10.69,8.237994,584000
67,2002-05-21,11.3,11.325,10.225,10.25,7.8989199999999995,968000
68,2002-05-22,10.23,10.75,10.15,10.625,8.187904,461800
69,2002-05-23,10.625,11.35,10.625,11.205,8.634867,539400
70,2002-05-24,11.17,11.85,11.17,11.73,9.039447000000001,553000
