,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,93798000000.0,110920000000.0,131133000000.0,147461000000.0,167497000000.0
1,0,Current assets,60454000000.0,72886000000.0,80685000000.0,90114000000.0,105408000000.0
2,1,Cash,48088000000.0,58717000000.0,64395000000.0,73066000000.0,86333000000.0
3,2,Cash and cash equivalents,14778000000.0,18898000000.0,18347000000.0,16549000000.0,12918000000.0
4,2,Short-term investments,33310000000.0,39819000000.0,46048000000.0,56517000000.0,73415000000.0
5,2,Total cash,48088000000.0,58717000000.0,64395000000.0,73066000000.0,86333000000.0
6,1,Receivables,7885000000.0,8882000000.0,9383000000.0,11556000000.0,14137000000.0
7,1,Inventories,505000000.0,426000000.0,,,268000000.0
8,1,Deferred income taxes,1144000000.0,1526000000.0,1322000000.0,,
9,1,Prepaid expenses,2132000000.0,2827000000.0,3412000000.0,3139000000.0,4575000000.0
10,1,Other current assets,700000000.0,508000000.0,2173000000.0,2353000000.0,95000000.0
11,1,Total current assets,60454000000.0,72886000000.0,80685000000.0,90114000000.0,105408000000.0
12,0,Non-current assets,33344000000.0,38034000000.0,50448000000.0,57347000000.0,62089000000.0
13,12,"Property, plant and equipment",11854000000.0,16524000000.0,23883000000.0,29016000000.0,34234000000.0
14,13,"Gross property, plant and equipment",17697000000.0,23837000000.0,32746000000.0,40146000000.0,47527000000.0
15,13,Accumulated Depreciation,-5843000000.0,-7313000000.0,-8863000000.0,-11130000000.0,-13293000000.0
16,13,"Net property, plant and equipment",11854000000.0,16524000000.0,23883000000.0,29016000000.0,34234000000.0
17,12,Equity and other investments,1469000000.0,1976000000.0,3079000000.0,5183000000.0,5878000000.0
18,12,Goodwill,10537000000.0,11492000000.0,15599000000.0,15869000000.0,16468000000.0
19,12,Intangible assets,7473000000.0,6066000000.0,4607000000.0,3847000000.0,3307000000.0
20,12,Deferred income taxes,,,,251000000.0,383000000.0
21,12,Other long-term assets,2011000000.0,1976000000.0,3280000000.0,3181000000.0,1819000000.0
22,12,Total non-current assets,33344000000.0,38034000000.0,50448000000.0,57347000000.0,62089000000.0
23,0,Total assets,93798000000.0,110920000000.0,131133000000.0,147461000000.0,167497000000.0
24,24,Liabilities and stockholders' equity,93798000000.0,110920000000.0,131133000000.0,147461000000.0,167497000000.0
25,24,Liabilities,22083000000.0,23611000000.0,26633000000.0,27130000000.0,28461000000.0
26,25,Current liabilities,14337000000.0,15908000000.0,16805000000.0,19310000000.0,16756000000.0
27,26,Short-term debt,2549000000.0,3009000000.0,2009000000.0,3225000000.0,0.0
28,26,Accounts payable,2012000000.0,2453000000.0,1715000000.0,1931000000.0,2041000000.0
29,26,Taxes payable,240000000.0,24000000.0,96000000.0,302000000.0,554000000.0
30,26,Accrued liabilities,6968000000.0,7986000000.0,9455000000.0,10636000000.0,13062000000.0
31,26,Deferred revenues,895000000.0,1062000000.0,752000000.0,788000000.0,1099000000.0
32,26,Other current liabilities,1673000000.0,1374000000.0,2778000000.0,2428000000.0,0.0
33,26,Total current liabilities,14337000000.0,15908000000.0,16805000000.0,19310000000.0,16756000000.0
34,25,Non-current liabilities,7746000000.0,7703000000.0,9828000000.0,7820000000.0,11705000000.0
35,34,Long-term debt,2988000000.0,2236000000.0,3228000000.0,1995000000.0,3935000000.0
36,34,Deferred taxes liabilities,1872000000.0,1947000000.0,1971000000.0,189000000.0,226000000.0
37,34,Deferred revenues,100000000.0,139000000.0,104000000.0,151000000.0,202000000.0
38,34,Other long-term liabilities,2786000000.0,3381000000.0,4525000000.0,5485000000.0,7342000000.0
39,34,Total non-current liabilities,7746000000.0,7703000000.0,9828000000.0,7820000000.0,11705000000.0
40,25,Total liabilities,22083000000.0,23611000000.0,26633000000.0,27130000000.0,28461000000.0
41,24,Stockholders' equity,71715000000.0,87309000000.0,104500000000.0,120331000000.0,139036000000.0
42,41,Common stock,22835000000.0,25922000000.0,28767000000.0,32982000000.0,36307000000.0
43,41,Retained earnings,48342000000.0,61262000000.0,75706000000.0,89223000000.0,105131000000.0
44,41,Accumulated other comprehensive income,538000000.0,125000000.0,27000000.0,-1874000000.0,-2402000000.0
45,41,Total stockholders' equity,71715000000.0,87309000000.0,104500000000.0,120331000000.0,139036000000.0
46,24,Total liabilities and stockholders' equity,93798000000.0,110920000000.0,131133000000.0,147461000000.0,167497000000.0
