Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,,,,,,,,,,0.0,1.0
Gross Margin %,,,,,,,,,,100.0,
Operating Income CAD Mil,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0
Operating Margin %,,,,,,,,,,-892.3,-28.5
Net Income CAD Mil,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-2.0,-0.0,-2.0,-1.0,-0.0
Earnings Per Share CAD,-0.14,-0.29,-0.04,-0.08,-0.19,-0.03,-0.2,,-0.15,-0.06,0.07
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,2.0,3.0,4.0,5.0,7.0,8.0,8.0,8.0,10.0,23.0,38.0
Book Value Per Share * CAD,0.89,0.63,0.57,0.51,0.48,0.36,0.35,,0.1,0.01,-0.01
Operating Cash Flow CAD Mil,-0.0,-0.0,-0.0,0.0,-1.0,0.0,-0.0,-0.0,-0.0,-1.0,0.0
Cap Spending CAD Mil,-0.0,-2.0,-0.0,-1.0,-0.0,-0.0,,,,-0.0,-0.0
Free Cash Flow CAD Mil,-1.0,-2.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0
Free Cash Flow Per Share * CAD,-0.41,-0.72,-0.02,-0.11,-0.19,-0.01,0.05,,,-0.05,
Working Capital CAD Mil,2.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,
