,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2203847000.0,2375923000.0,2554236000.0,2773718000.0,2898150000.0,3308317000.0
1,1,Cost of revenue,784756000.0,862075000.0,952225000.0,1022107000.0,1147639000.0,1535417000.0
2,2,Gross profit,1419091000.0,1513848000.0,1602011000.0,1751611000.0,1750511000.0,1772900000.0
3,3,Operating expenses,1111742000.0,1156635000.0,1196512000.0,1295014000.0,1325567000.0,1382520000.0
4,3,"Sales, General and administrative",1027304000.0,1119860000.0,1203512000.0,1295014000.0,1325567000.0,1382520000.0
5,3,Other operating expenses,84438000.0,36775000.0,-7000000.0,0.0,0.0,0.0
6,3,Total operating expenses,1111742000.0,1156635000.0,1196512000.0,1295014000.0,1325567000.0,1382520000.0
7,7,Operating income,307349000.0,357213000.0,405499000.0,456597000.0,424944000.0,390380000.0
8,8,Interest Expense,16848000.0,33282000.0,41812000.0,44436000.0,69316000.0,137471000.0
9,9,Other income (expense),9946000.0,10353000.0,13663000.0,4949000.0,5284000.0,46676000.0
10,10,Income before taxes,300447000.0,334284000.0,377350000.0,417110000.0,360912000.0,299585000.0
11,11,Provision for income taxes,82881000.0,95571000.0,107398000.0,107995000.0,70695000.0,40420000.0
12,12,Net income from continuing operations,217566000.0,238713000.0,269952000.0,309115000.0,290217000.0,259165000.0
13,13,Other,-29405000.0,-22588000.0,-24666000.0,-31075000.0,-18551000.0,-18372000.0
14,14,Net income,188161000.0,216125000.0,245286000.0,278040000.0,271666000.0,240793000.0
15,15,Net income available to common shareholders,188161000.0,216125000.0,245286000.0,278040000.0,271666000.0,240793000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.195,1.39,1.7,2.075,2.05,1.66
18,18,Diluted,1.185,1.38,1.685,2.06,2.04,1.64
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,157658000.0,155534000.0,144238000.0,134072000.0,132284000.0,144094000.0
21,21,Diluted,158862000.0,156454000.0,145376000.0,134922000.0,133167000.0,145008500.0
22,22,EBITDA,416394000.0,479354000.0,541231000.0,599051000.0,618109000.0,759300000.0
