Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,22.64,24.25,29.04,32.22,31.27,28.72,27.24,29.07,23.3,24.61,23.68
Accounts Receivable,28.94,25.35,22.85,18.73,13.59,12.53,14.39,12.15,11.81,11.65,9.46
Inventory,15.36,14.54,8.1,9.72,8.9,8.09,7.83,8.96,11.12,10.71,11.9
Other Current Assets,3.94,3.71,2.58,1.97,3.42,3.28,3.74,3.33,2.91,3.03,3.2
Total Current Assets,70.87,67.85,62.57,62.65,57.17,52.63,53.19,53.5,49.14,50.01,48.24
Net PP&E,11.37,15.22,11.54,10.73,9.33,8.5,8.5,9.18,9.91,10.67,11.47
Intangibles,5.96,7.9,5.79,4.64,5.64,4.83,4.5,4.65,5.46,6.74,6.48
Other Long-Term Assets,11.8,9.03,20.1,21.99,27.86,34.04,33.81,32.67,35.49,32.58,33.82
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.36,5.47,5.32,3.32,3.67,2.72,3.0,3.18,3.98,3.81,3.28
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,0.69,0.6,1.4,1.74,0.66,0.78,3.88,0.48,0.36,0.32
Accrued Liabilities,10.7,9.05,10.04,8.45,7.69,6.58,5.88,6.29,6.83,7.77,7.08
Other Short-Term Liabilities,3.3,1.17,1.91,3.61,6.1,8.89,8.89,8.66,7.96,5.36,6.82
Total Current Liabilities,24.36,16.38,17.87,16.77,19.2,18.86,18.55,22.02,19.25,17.3,17.5
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,4.22,7.51,7.99,6.77,7.97,7.85,6.45,5.47,6.41,7.17,7.23
Total Liabilities,28.58,23.89,25.86,23.54,27.17,26.71,25.0,27.48,25.65,24.47,24.73
Total Stockholders' Equity,71.42,76.11,74.14,76.46,72.83,73.29,75.0,72.52,74.35,75.53,75.27
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
