,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,28075000000.0,28831000000.0,31199000000.0,32744000000.0,33758000000.0
1,0,Current assets,7763000000.0,8037000000.0,8930000000.0,9232000000.0,9086000000.0
2,1,Cash,705000000.0,414000000.0,566000000.0,741000000.0,646000000.0
3,2,Cash and cash equivalents,705000000.0,414000000.0,566000000.0,741000000.0,646000000.0
4,2,Total cash,705000000.0,414000000.0,566000000.0,741000000.0,646000000.0
5,1,Receivables,4672000000.0,5208000000.0,5694000000.0,5889000000.0,5826000000.0
6,1,Inventories,1086000000.0,1179000000.0,1279000000.0,1439000000.0,1503000000.0
7,1,Deferred income taxes,385000000.0,489000000.0,366000000.0,,
8,1,Other current assets,915000000.0,747000000.0,1025000000.0,1163000000.0,1111000000.0
9,1,Total current assets,7763000000.0,8037000000.0,8930000000.0,9232000000.0,9086000000.0
10,0,Non-current assets,20312000000.0,20794000000.0,22269000000.0,23512000000.0,24672000000.0
11,10,"Property, plant and equipment",13185000000.0,13619000000.0,14355000000.0,15014000000.0,16352000000.0
12,11,"Gross property, plant and equipment",29527000000.0,31073000000.0,32980000000.0,34614000000.0,37055000000.0
13,11,Accumulated Depreciation,-16342000000.0,-17454000000.0,-18625000000.0,-19600000000.0,-20703000000.0
14,11,"Net property, plant and equipment",13185000000.0,13619000000.0,14355000000.0,15014000000.0,16352000000.0
15,10,Equity and other investments,619000000.0,569000000.0,659000000.0,610000000.0,542000000.0
16,10,Intangible assets,5539000000.0,5903000000.0,6416000000.0,6731000000.0,6704000000.0
17,10,Other long-term assets,969000000.0,703000000.0,839000000.0,1157000000.0,1074000000.0
18,10,Total non-current assets,20312000000.0,20794000000.0,22269000000.0,23512000000.0,24672000000.0
19,0,Total assets,28075000000.0,28831000000.0,31199000000.0,32744000000.0,33758000000.0
20,20,Liabilities and stockholders' equity,28075000000.0,28831000000.0,31199000000.0,32744000000.0,33758000000.0
21,20,Liabilities,37735000000.0,37101000000.0,39093000000.0,40343000000.0,41060000000.0
22,21,Current liabilities,6172000000.0,5695000000.0,5480000000.0,5516000000.0,5834000000.0
23,22,Short-term debt,1435000000.0,786000000.0,338000000.0,233000000.0,216000000.0
24,22,Accounts payable,1768000000.0,1803000000.0,2035000000.0,2170000000.0,2318000000.0
25,22,Taxes payable,235000000.0,,,277000000.0,283000000.0
26,22,Accrued liabilities,2734000000.0,3106000000.0,3107000000.0,2836000000.0,3017000000.0
27,22,Total current liabilities,6172000000.0,5695000000.0,5480000000.0,5516000000.0,5834000000.0
28,21,Non-current liabilities,31563000000.0,31406000000.0,33613000000.0,34827000000.0,35226000000.0
29,28,Long-term debt,27495000000.0,27590000000.0,29307000000.0,30255000000.0,31160000000.0
30,28,Deferred taxes liabilities,1776000000.0,1525000000.0,1832000000.0,,
31,28,Pensions and other benefits,973000000.0,949000000.0,1078000000.0,,
32,28,Minority interest,1319000000.0,1342000000.0,1396000000.0,1553000000.0,1669000000.0
33,28,Other long-term liabilities,0.0,0.0,0.0,3019000000.0,2397000000.0
34,28,Total non-current liabilities,31563000000.0,31406000000.0,33613000000.0,34827000000.0,35226000000.0
35,21,Total liabilities,37735000000.0,37101000000.0,39093000000.0,40343000000.0,41060000000.0
36,20,Stockholders' equity,-9660000000.0,-8270000000.0,-7894000000.0,-7599000000.0,-7302000000.0
37,36,Common stock,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
38,36,Additional paid-in capital,1753000000.0,1386000000.0,0.0,,
39,36,Retained earnings,-10960000000.0,-9403000000.0,-7575000000.0,-7338000000.0,-6968000000.0
40,36,Accumulated other comprehensive income,-457000000.0,-257000000.0,-323000000.0,-265000000.0,-338000000.0
41,36,Total stockholders' equity,-9660000000.0,-8270000000.0,-7894000000.0,-7599000000.0,-7302000000.0
42,20,Total liabilities and stockholders' equity,28075000000.0,28831000000.0,31199000000.0,32744000000.0,33758000000.0
