,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,41084000000.0,40518000000.0,39946000000.0,42549000000.0,42966000000.0
1,0,Current assets,15372000000.0,15279000000.0,15302000000.0,16993000000.0,17724000000.0
2,1,Cash,2494000000.0,1929000000.0,1723000000.0,2216000000.0,2538000000.0
3,2,Cash and cash equivalents,2494000000.0,1929000000.0,1723000000.0,2216000000.0,2538000000.0
4,2,Total cash,2494000000.0,1929000000.0,1723000000.0,2216000000.0,2538000000.0
5,1,Receivables,1395000000.0,1398000000.0,1484000000.0,1890000000.0,2029000000.0
6,1,Inventories,10710000000.0,11057000000.0,11079000000.0,11809000000.0,12549000000.0
7,1,Other current assets,773000000.0,895000000.0,1016000000.0,1078000000.0,608000000.0
8,1,Total current assets,15372000000.0,15279000000.0,15302000000.0,16993000000.0,17724000000.0
9,0,Non-current assets,25712000000.0,25239000000.0,24644000000.0,25556000000.0,25242000000.0
10,9,"Property, plant and equipment",24069000000.0,23348000000.0,22720000000.0,22191000000.0,21914000000.0
11,10,Land,8485000000.0,8375000000.0,8243000000.0,8149000000.0,8207000000.0
12,10,Fixtures and equipment,9338000000.0,10107000000.0,9602000000.0,10279000000.0,11020000000.0
13,10,Other properties,20668000000.0,20582000000.0,20668000000.0,20838000000.0,21199000000.0
14,10,"Property and equipment, at cost",38491000000.0,39064000000.0,38513000000.0,39266000000.0,40426000000.0
15,10,Accumulated Depreciation,-14422000000.0,-15716000000.0,-15793000000.0,-17075000000.0,-18512000000.0
16,10,"Property, plant and equipment, net",24069000000.0,23348000000.0,22720000000.0,22191000000.0,21914000000.0
17,9,Goodwill,1170000000.0,1289000000.0,1353000000.0,2102000000.0,2093000000.0
18,9,Other long-term assets,473000000.0,602000000.0,571000000.0,1263000000.0,1235000000.0
19,9,Total non-current assets,25712000000.0,25239000000.0,24644000000.0,25556000000.0,25242000000.0
20,0,Total assets,41084000000.0,40518000000.0,39946000000.0,42549000000.0,42966000000.0
21,21,Liabilities and stockholders' equity,41084000000.0,40518000000.0,39946000000.0,42549000000.0,42966000000.0
22,21,Liabilities,23307000000.0,27996000000.0,30624000000.0,36233000000.0,38633000000.0
23,22,Current liabilities,11462000000.0,10749000000.0,11269000000.0,12526000000.0,14133000000.0
24,23,Short-term debt,1321000000.0,33000000.0,328000000.0,427000000.0,1252000000.0
25,23,Accounts payable,5376000000.0,5797000000.0,5807000000.0,6565000000.0,7000000000.0
26,23,Taxes payable,494000000.0,408000000.0,469000000.0,510000000.0,533000000.0
27,23,Accrued liabilities,3001000000.0,3174000000.0,3197000000.0,3458000000.0,3679000000.0
28,23,Deferred revenues,1270000000.0,1337000000.0,1468000000.0,1566000000.0,1669000000.0
29,23,Total current liabilities,11462000000.0,10749000000.0,11269000000.0,12526000000.0,14133000000.0
30,22,Non-current liabilities,11845000000.0,17247000000.0,19355000000.0,23707000000.0,24500000000.0
31,30,Long-term debt,9475000000.0,14691000000.0,16869000000.0,20888000000.0,22349000000.0
32,30,Deferred taxes liabilities,319000000.0,514000000.0,642000000.0,854000000.0,296000000.0
33,30,Other long-term liabilities,2051000000.0,2042000000.0,1844000000.0,1965000000.0,1855000000.0
34,30,Total non-current liabilities,11845000000.0,17247000000.0,19355000000.0,23707000000.0,24500000000.0
35,22,Total liabilities,23307000000.0,27996000000.0,30624000000.0,36233000000.0,38633000000.0
36,21,Stockholders' equity,17777000000.0,12522000000.0,9322000000.0,6316000000.0,4333000000.0
37,36,Common stock,88000000.0,88000000.0,88000000.0,88000000.0,88000000.0
38,36,Additional paid-in capital,7948000000.0,8402000000.0,8885000000.0,9347000000.0,9787000000.0
39,36,Retained earnings,20038000000.0,23180000000.0,26995000000.0,30973000000.0,35519000000.0
40,36,Treasury stock,-10694000000.0,-19194000000.0,-26194000000.0,-33194000000.0,-40194000000.0
41,36,Accumulated other comprehensive income,397000000.0,46000000.0,-452000000.0,-898000000.0,-867000000.0
42,36,Total stockholders' equity,17777000000.0,12522000000.0,9322000000.0,6316000000.0,4333000000.0
43,21,Total liabilities and stockholders' equity,41084000000.0,40518000000.0,39946000000.0,42549000000.0,42966000000.0
