,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,298513000000.0,277884000000.0,245013000000.0,228348000000.0,223432000000.0
1,0,Fixed maturity securities,87009000000.0,63201000000.0,59384000000.0,59699000000.0,56296000000.0
2,0,Equity securities,29823000000.0,20613000000.0,1058000000.0,1121000000.0,1097000000.0
3,0,"Loans, total",8708000000.0,7018000000.0,6987000000.0,7071000000.0,7141000000.0
4,0,Short-term investments,4581000000.0,4008000000.0,4883000000.0,1843000000.0,3244000000.0
5,0,Cash and cash equivalents,2421000000.0,1428000000.0,399000000.0,448000000.0,882000000.0
6,0,Premiums and other receivables,3542000000.0,3465000000.0,3429000000.0,3537000000.0,3731000000.0
7,0,Deferred policy acquisition costs,5725000000.0,2161000000.0,1823000000.0,1816000000.0,1711000000.0
8,0,Deferred income tax assets,1942000000.0,3840000000.0,2897000000.0,3206000000.0,3281000000.0
9,0,Property and equipment,977000000.0,877000000.0,831000000.0,974000000.0,991000000.0
10,0,Goodwill,654000000.0,498000000.0,498000000.0,498000000.0,567000000.0
11,0,Separate account assets,141569000000.0,140886000000.0,134702000000.0,120123000000.0,115665000000.0
12,0,Other assets,11562000000.0,29889000000.0,28122000000.0,28012000000.0,28826000000.0
13,0,Total assets,298513000000.0,277884000000.0,245013000000.0,228348000000.0,223432000000.0
14,14,Liabilities and stockholders' equity,298513000000.0,277884000000.0,245013000000.0,228348000000.0,223432000000.0
15,14,Liabilities,276066000000.0,258979000000.0,226293000000.0,210706000000.0,206529000000.0
16,15,Future policy benefits,40992000000.0,41373000000.0,41444000000.0,41572000000.0,13929000000.0
17,15,Policyholder funds,70901000000.0,58763000000.0,32532000000.0,31670000000.0,31176000000.0
18,15,Unearned premiums,5145000000.0,5225000000.0,5255000000.0,5385000000.0,5499000000.0
19,15,Short-term debt,320000000.0,438000000.0,456000000.0,275000000.0,416000000.0
20,15,Long-term debt,6967000000.0,6190000000.0,5653000000.0,5084000000.0,4636000000.0
21,15,Separate account liabilities,141569000000.0,140886000000.0,134702000000.0,120123000000.0,115665000000.0
22,15,Other liabilities,10172000000.0,6104000000.0,6251000000.0,6597000000.0,35208000000.0
23,15,Total liabilities,276066000000.0,258979000000.0,226293000000.0,210706000000.0,206529000000.0
24,14,Stockholders' equity,22447000000.0,18905000000.0,18720000000.0,17642000000.0,16903000000.0
25,24,Preferred stock,556000000.0,0.0,,,
26,24,Common stock,5000000.0,5000000.0,5000000.0,5000000.0,4000000.0
27,24,Additional paid-in capital,10038000000.0,9894000000.0,9123000000.0,8973000000.0,5247000000.0
28,24,Retained earnings,10745000000.0,10683000000.0,11191000000.0,12550000000.0,13114000000.0
29,24,Treasury stock,-1740000000.0,-1598000000.0,-2527000000.0,-3557000000.0,-1125000000.0
30,24,Accumulated other comprehensive income,2843000000.0,-79000000.0,928000000.0,-329000000.0,-337000000.0
31,24,Total stockholders' equity,22447000000.0,18905000000.0,18720000000.0,17642000000.0,16903000000.0
32,14,Total liabilities and stockholders' equity,298513000000.0,277884000000.0,245013000000.0,228348000000.0,223432000000.0
