,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,1.859375,1.859375,1.8125,1.8125,1.8125,96800
1,1995-01-04,1.8125,1.859375,1.6875,1.71875,1.71875,444800
2,1995-01-05,1.71875,1.71875,1.65625,1.6875,1.6875,215200
3,1995-01-06,1.6875,1.71875,1.65625,1.71875,1.71875,55200
4,1995-01-09,1.65625,1.734375,1.65625,1.71875,1.71875,216000
5,1995-01-10,1.703125,1.75,1.703125,1.71875,1.71875,144800
6,1995-01-11,1.71875,1.742188,1.71875,1.71875,1.71875,57600
7,1995-01-12,1.71875,1.75,1.6875,1.6875,1.6875,84000
8,1995-01-13,1.75,1.75,1.703125,1.75,1.75,63200
9,1995-01-16,1.734375,1.765625,1.6875,1.734375,1.734375,415200
10,1995-01-17,1.6875,1.734375,1.6875,1.734375,1.734375,195200
11,1995-01-18,1.734375,1.734375,1.6875,1.734375,1.734375,424800
12,1995-01-19,1.71875,1.78125,1.703125,1.78125,1.78125,371200
13,1995-01-20,1.765625,1.796875,1.71875,1.765625,1.765625,181600
14,1995-01-23,1.78125,1.78125,1.71875,1.78125,1.78125,73600
15,1995-01-24,1.734375,1.78125,1.734375,1.78125,1.78125,94400
16,1995-01-25,1.75,1.8125,1.75,1.8125,1.8125,59200
17,1995-01-26,1.765625,1.8125,1.765625,1.796875,1.796875,623200
18,1995-01-27,1.796875,1.84375,1.796875,1.84375,1.84375,332800
19,1995-01-30,1.84375,1.84375,1.796875,1.828125,1.828125,260000
20,1995-01-31,1.90625,1.9375,1.84375,1.875,1.875,549600
21,1995-02-01,1.859375,1.890625,1.78125,1.828125,1.828125,468800
22,1995-02-02,1.84375,1.84375,1.796875,1.84375,1.84375,82400
23,1995-02-03,1.84375,1.890625,1.828125,1.875,1.875,229600
24,1995-02-06,1.875,2.046875,1.84375,2.03125,2.03125,654400
25,1995-02-07,2.015625,2.046875,1.984375,2.0,2.0,475200
26,1995-02-08,2.03125,2.125,1.96875,2.109375,2.109375,238400
27,1995-02-09,2.078125,2.125,2.03125,2.078125,2.078125,384000
28,1995-02-10,2.09375,2.09375,2.0,2.015625,2.015625,228000
29,1995-02-13,2.0,2.023438,1.953125,1.984375,1.984375,237600
30,1995-02-14,1.9375,1.96875,1.84375,1.890625,1.890625,410400
31,1995-02-15,1.9375,1.96875,1.875,1.953125,1.953125,504800
32,1995-02-16,1.921875,1.984375,1.859375,1.921875,1.921875,351200
