Key Financials CAD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue CAD Mil,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gross Margin %,59.5,75.8,67.1,65.4,64.0,62.2,,,,,
Operating Income CAD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.0,-3.0
Operating Margin %,-43.5,-44.3,-36.6,-72.5,-38.2,-286.4,,,,,
Net Income CAD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.0,-3.0
Earnings Per Share CAD,-0.02,-0.02,-0.02,-0.02,,-0.01,-0.01,-0.01,-0.01,-0.06,-0.04
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,5.0,5.0,5.0,5.0,5.0,20.0,38.0,25.0,25.0,57.0,65.0
Book Value Per Share * CAD,-0.11,-0.13,-0.14,-0.17,-0.17,0.01,,,-0.01,0.07,0.05
Operating Cash Flow CAD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0
Cap Spending CAD Mil,,-0.0,-0.0,-0.0,-0.0,-0.0,,,,-1.0,-1.0
Free Cash Flow CAD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0,-2.0
Free Cash Flow Per Share * CAD,-0.01,,-0.06,-0.03,-0.01,-0.02,-0.01,,,-0.02,
Working Capital CAD Mil,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,
