,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,61042000000.0,57371000000.0,55123000000.0,52107000000.0,50123000000.0,48287000000.0
1,1,Cost of revenue,44143000000.0,41630000000.0,39486000000.0,37168000000.0,35507000000.0,34797000000.0
2,2,Gross profit,16899000000.0,15741000000.0,15637000000.0,14939000000.0,14616000000.0,13490000000.0
3,3,Operating expenses,31038000000.0,12789000000.0,13302000000.0,13416000000.0,10466000000.0,12123000000.0
4,3,Research and development,2120000000.0,1956000000.0,2197000000.0,2338000000.0,2298000000.0,2019000000.0
5,3,"Sales, General and administrative",8678000000.0,8601000000.0,8717000000.0,8250000000.0,7821000000.0,7292000000.0
6,3,"Restructuring, merger and acquisition",1756000000.0,1004000000.0,1471000000.0,1043000000.0,1414000000.0,1467000000.0
7,3,Other operating expenses,18484000000.0,1228000000.0,917000000.0,1785000000.0,-1067000000.0,1345000000.0
8,3,Total operating expenses,31038000000.0,12789000000.0,13302000000.0,13416000000.0,10466000000.0,12123000000.0
9,9,Operating income,-14139000000.0,2952000000.0,2335000000.0,1523000000.0,4150000000.0,1367000000.0
10,10,Interest Expense,,,,,577000000.0,
11,11,Other income (expense),-175000000.0,-81000000.0,-91000000.0,-53000000.0,506000000.0,-95000000.0
12,12,Income before taxes,-14314000000.0,2871000000.0,2244000000.0,1470000000.0,4079000000.0,1272000000.0
13,13,Provision for income taxes,447000000.0,820000000.0,596000000.0,-991000000.0,918000000.0,1236000000.0
14,14,Net income from continuing operations,-14761000000.0,2051000000.0,1648000000.0,2461000000.0,3161000000.0,36000000.0
15,15,Other,0.0,0.0,0.0,0.0,0.0,86000000.0
16,16,Net income,-14761000000.0,2051000000.0,1648000000.0,2461000000.0,3161000000.0,122000000.0
17,17,Net income available to common shareholders,-14761000000.0,2051000000.0,1648000000.0,2461000000.0,3161000000.0,122000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,,,0.76,1.36,1.84,0.07
20,20,Diluted,,,0.75,1.34,1.82,0.07
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,,,1839000000.0,1804000000.0,1715000000.0,1665500000.0
23,23,Diluted,,,1869000000.0,1834000000.0,1739000000.0,1690250000.0
24,24,EBITDA,-9281000000.0,7348000000.0,6479000000.0,5470000000.0,8431000000.0,5114000000.0
