,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,6644252000.0,7146079000.0,7421768000.0,7386626000.0,7440181000.0,7546034000.0
1,1,Cost of revenue,3784370000.0,3865231000.0,4085602000.0,4003951000.0,4282290000.0,4193773000.0
2,2,Gross profit,2859882000.0,3280848000.0,3336166000.0,3382675000.0,3157891000.0,3352261000.0
3,3,Operating expenses,1748734000.0,1941173000.0,1946591000.0,2344916000.0,1952108000.0,2176481000.0
4,3,"Sales, General and administrative",1703796000.0,1922508000.0,1900970000.0,2064114000.0,1947904000.0,1963565000.0
5,3,"Restructuring, merger and acquisition",,18665000.0,,,,
6,3,Other operating expenses,44938000.0,0.0,45621000.0,280802000.0,4204000.0,212916000.0
7,3,Total operating expenses,1748734000.0,1941173000.0,1946591000.0,2344916000.0,1952108000.0,2176481000.0
8,8,Operating income,1111148000.0,1339675000.0,1389575000.0,1037759000.0,1205783000.0,1175780000.0
9,9,Interest Expense,98509000.0,91514000.0,87598000.0,80983000.0,91948000.0,97562000.0
10,10,Other income (expense),2940000.0,3158000.0,4066000.0,-54929000.0,-14354000.0,-29320000.0
11,11,Income before taxes,1015579000.0,1251319000.0,1306043000.0,901847000.0,1099481000.0,1048898000.0
12,12,Provision for income taxes,354648000.0,430849000.0,459131000.0,388896000.0,379437000.0,357057000.0
13,13,Net income from continuing operations,660931000.0,820470000.0,846912000.0,512951000.0,720044000.0,691841000.0
14,14,Other,0.0,0.0,0.0,0.0,0.0,26860000.0
15,15,Net income,660931000.0,820470000.0,846912000.0,512951000.0,720044000.0,718701000.0
16,16,Net income available to common shareholders,660931000.0,820470000.0,846912000.0,512951000.0,720044000.0,718701000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.94,3.76,3.8054,3.237,3.45,3.48
19,19,Diluted,2.9,3.61,3.76678,2.325,3.34,3.35
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,225036000.0,224176000.0,222555000.0,219091000.0,214139000.0,212684750.0
22,22,Diluted,228337000.0,227203000.0,224837000.0,220651000.0,215304000.0,214077750.0
23,23,EBITDA,1324125000.0,1543866000.0,1605173000.0,1227758000.0,1493266000.0,1400709000.0
