Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,,-1.0,-0.0,-1.0,-3.0,-4.0,-3.0,-5.0,-4.0,-8.0,-9.0
Operating Margin %,,,,,,,,,,,
Net Income USD Mil,,-1.0,-0.0,-1.0,-3.0,-4.0,-3.0,-4.0,-5.0,-8.0,-8.0
Earnings Per Share USD,,-0.01,-0.01,-0.02,-0.06,-0.08,-0.06,-0.08,-0.05,-0.03,-0.02
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,53.0,53.0,53.0,45.0,53.0,55.0,58.0,98.0,235.0,352.0
Book Value Per Share * USD,,,,,,,,,0.48,0.33,0.3
Operating Cash Flow USD Mil,,-1.0,-1.0,-1.0,-2.0,-2.0,-4.0,-3.0,-5.0,-6.0,-9.0
Cap Spending USD Mil,,-1.0,-2.0,-2.0,-12.0,-14.0,-13.0,-11.0,-10.0,-11.0,-32.0
Free Cash Flow USD Mil,,-2.0,-3.0,-4.0,-14.0,-16.0,-16.0,-14.0,-15.0,-17.0,-41.0
Free Cash Flow Per Share * USD,,,,,,,,,-0.15,-0.09,
Working Capital USD Mil,,0.0,1.0,7.0,31.0,13.0,1.0,-10.0,-27.0,22.0,
