,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,1103602000.0,1230516000.0,1384211000.0,1474993000.0,1530704000.0
1,0,Current assets,569537000.0,652706000.0,759398000.0,821634000.0,845584000.0
2,1,Cash,223986000.0,279058000.0,322536000.0,342585000.0,391850000.0
3,2,Cash and cash equivalents,223986000.0,279058000.0,322536000.0,128994000.0,154901000.0
4,2,Short-term investments,,,,213591000.0,236949000.0
5,2,Total cash,223986000.0,279058000.0,322536000.0,342585000.0,391850000.0
6,1,Receivables,138324000.0,158038000.0,152380000.0,188318000.0,204494000.0
7,1,Inventories,140946000.0,133427000.0,160342000.0,188833000.0,158034000.0
8,1,Deferred income taxes,27714000.0,33226000.0,37689000.0,39829000.0,0.0
9,1,Prepaid expenses,,,32672000.0,27244000.0,25746000.0
10,1,Other current assets,38567000.0,48957000.0,53779000.0,34825000.0,65460000.0
11,1,Total current assets,569537000.0,652706000.0,759398000.0,821634000.0,845584000.0
12,0,Non-current assets,534065000.0,577810000.0,624813000.0,653359000.0,685120000.0
13,12,"Property, plant and equipment",245177000.0,281214000.0,303587000.0,333026000.0,357422000.0
14,13,"Gross property, plant and equipment",478309000.0,550015000.0,603935000.0,678624000.0,742592000.0
15,13,Accumulated Depreciation,-233132000.0,-268801000.0,-300348000.0,-345598000.0,-385170000.0
16,13,"Net property, plant and equipment",245177000.0,281214000.0,303587000.0,333026000.0,357422000.0
17,12,Equity and other investments,,,10765000.0,12165000.0,10978000.0
18,12,Goodwill,174994000.0,180521000.0,184450000.0,178934000.0,178228000.0
19,12,Intangible assets,62833000.0,58844000.0,65122000.0,55909000.0,46155000.0
20,12,Other long-term assets,51061000.0,57231000.0,60889000.0,73325000.0,92337000.0
21,12,Total non-current assets,534065000.0,577810000.0,624813000.0,653359000.0,685120000.0
22,0,Total assets,1103602000.0,1230516000.0,1384211000.0,1474993000.0,1530704000.0
23,23,Liabilities and stockholders' equity,1103602000.0,1230516000.0,1384211000.0,1474993000.0,1530704000.0
24,23,Liabilities,467379000.0,712330000.0,1266695000.0,1559118000.0,1639056000.0
25,24,Current liabilities,406333000.0,478353000.0,820906000.0,856761000.0,934568000.0
26,25,Short-term debt,213107000.0,278035000.0,549000000.0,573000000.0,611000000.0
27,25,Accounts payable,35288000.0,29941000.0,44743000.0,52648000.0,60057000.0
28,25,Taxes payable,,16508000.0,,18963000.0,23973000.0
29,25,Accrued liabilities,137746000.0,132411000.0,195351000.0,186567000.0,212158000.0
30,25,Deferred revenues,20192000.0,21458000.0,31812000.0,25583000.0,27380000.0
31,25,Total current liabilities,406333000.0,478353000.0,820906000.0,856761000.0,934568000.0
32,24,Non-current liabilities,61046000.0,233977000.0,445789000.0,702357000.0,704488000.0
33,32,Long-term debt,1394000.0,150359000.0,350000000.0,597085000.0,593110000.0
34,32,Deferred taxes liabilities,23028000.0,33948000.0,41688000.0,49389000.0,39287000.0
35,32,Deferred revenues,12692000.0,18427000.0,21665000.0,27055000.0,33015000.0
36,32,Minority interest,34000.0,28000.0,73000.0,130000.0,139000.0
37,32,Other long-term liabilities,23898000.0,31215000.0,32363000.0,28698000.0,38937000.0
38,32,Total non-current liabilities,61046000.0,233977000.0,445789000.0,702357000.0,704488000.0
39,24,Total liabilities,467379000.0,712330000.0,1266695000.0,1559118000.0,1639056000.0
40,23,Stockholders' equity,636223000.0,518186000.0,117516000.0,-84125000.0,-108352000.0
41,40,Common stock,10016000.0,10119000.0,10195000.0,10258000.0,10334000.0
42,40,Additional paid-in capital,757214000.0,825320000.0,888293000.0,940534000.0,1011895000.0
43,40,Retained earnings,1305593000.0,1493393000.0,1675299000.0,318356000.0,540401000.0
44,40,Treasury stock,-1457184000.0,-1829378000.0,-2453266000.0,-1316417000.0,-1633443000.0
45,40,Accumulated other comprehensive income,20584000.0,18732000.0,-3005000.0,-36856000.0,-37539000.0
46,40,Total stockholders' equity,636223000.0,518186000.0,117516000.0,-84125000.0,-108352000.0
47,23,Total liabilities and stockholders' equity,1103602000.0,1230516000.0,1384211000.0,1474993000.0,1530704000.0
