,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,53341000000.0,52708000000.0,55870000000.0,55355000000.0,59387000000.0,62082000000.0
1,1,Cost of revenue,20190000000.0,21187000000.0,20261000000.0,20676000000.0,23196000000.0,23675000000.0
2,2,Gross profit,33151000000.0,31521000000.0,35609000000.0,34679000000.0,36191000000.0,38407000000.0
3,3,Operating expenses,18513000000.0,19230000000.0,20262000000.0,20677000000.0,23317000000.0,21340000000.0
4,3,Research and development,10148000000.0,10611000000.0,11537000000.0,12128000000.0,12740000000.0,13104000000.0
5,3,"Sales, General and administrative",8057000000.0,8088000000.0,8136000000.0,7930000000.0,8397000000.0,7782000000.0
6,3,"Restructuring, merger and acquisition",,240000000.0,295000000.0,354000000.0,1886000000.0,289000000.0
7,3,Other operating expenses,308000000.0,291000000.0,294000000.0,265000000.0,294000000.0,165000000.0
8,3,Total operating expenses,18513000000.0,19230000000.0,20262000000.0,20677000000.0,23317000000.0,21340000000.0
9,9,Operating income,14638000000.0,12291000000.0,15347000000.0,14002000000.0,12874000000.0,17067000000.0
10,10,Interest Expense,90000000.0,244000000.0,,337000000.0,733000000.0,651000000.0
11,11,Other income (expense),325000000.0,564000000.0,454000000.0,547000000.0,795000000.0,2341000000.0
12,12,Income before taxes,14873000000.0,12611000000.0,15801000000.0,14212000000.0,12936000000.0,18757000000.0
13,13,Provision for income taxes,3868000000.0,2991000000.0,4097000000.0,2792000000.0,2620000000.0,4907000000.0
14,14,Net income from continuing operations,11005000000.0,9620000000.0,11704000000.0,11420000000.0,10316000000.0,13850000000.0
15,15,Net income,11005000000.0,9620000000.0,11704000000.0,11420000000.0,10316000000.0,13850000000.0
16,16,Net income available to common shareholders,11005000000.0,9620000000.0,11704000000.0,11420000000.0,10316000000.0,13850000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.2,1.94,2.39,2.41,2.18,2.94
19,19,Diluted,2.13,1.89,2.31,2.33,2.12,2.85
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,4996000000.0,4970000000.0,4901000000.0,4742000000.0,4730000000.0,4714250000.0
22,22,Diluted,5160000000.0,5097000000.0,5056000000.0,4894000000.0,4875000000.0,4857750000.0
23,23,EBITDA,22485000000.0,20887000000.0,23896000000.0,23260000000.0,21459000000.0,27327000000.0
