,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,27833000000.0,29080000000.0,23617000000.0,22365000000.0,21079000000.0,22577000000.0
1,1,Cost of revenue,20587000000.0,21223000000.0,16254000000.0,15468000000.0,15152000000.0,15876000000.0
2,2,Gross profit,7246000000.0,7857000000.0,7363000000.0,6897000000.0,5927000000.0,6701000000.0
3,3,Operating expenses,5355000000.0,5669000000.0,4900000000.0,4513000000.0,4327000000.0,4788000000.0
4,3,"Sales, General and administrative",3703000000.0,3937000000.0,3314000000.0,3051000000.0,2936000000.0,3212000000.0
5,3,Other operating expenses,1652000000.0,1732000000.0,1586000000.0,1462000000.0,1391000000.0,1576000000.0
6,3,Total operating expenses,5355000000.0,5669000000.0,4900000000.0,4513000000.0,4327000000.0,4788000000.0
7,7,Operating income,1891000000.0,2188000000.0,2463000000.0,2384000000.0,1600000000.0,1913000000.0
8,8,Interest Expense,,,,644000000.0,695000000.0,
9,9,Other income (expense),-867000000.0,-1339000000.0,-1591000000.0,-474000000.0,51000000.0,-915000000.0
10,10,Income before taxes,1024000000.0,849000000.0,872000000.0,1266000000.0,956000000.0,998000000.0
11,11,Provision for income taxes,331000000.0,-523000000.0,123000000.0,466000000.0,247000000.0,255000000.0
12,12,Other income,61000000.0,-39000000.0,-200000000.0,117000000.0,198000000.0,160000000.0
13,13,Net income from continuing operations,754000000.0,1333000000.0,549000000.0,917000000.0,907000000.0,903000000.0
14,14,Net income from discontinuing ops,45000000.0,45000000.0,-13000000.0,,-5000000.0,0.0
15,15,Other,-5000000.0,17000000.0,19000000.0,21000000.0,2000000.0,-1000000.0
16,16,Net income,794000000.0,1395000000.0,555000000.0,938000000.0,904000000.0,902000000.0
17,17,Net income available to common shareholders,794000000.0,1395000000.0,555000000.0,938000000.0,904000000.0,902000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,1.82,3.15,1.3,2.25,2.2,2.18
20,20,Diluted,1.8,3.11,1.29,2.23,2.18,2.17
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,435200000.0,443300000.0,427700000.0,417400000.0,411100000.0,412300000.0
23,23,Diluted,440200000.0,448100000.0,432000000.0,420600000.0,415600000.0,417025000.0
24,24,EBITDA,3377000000.0,3735000000.0,3877000000.0,3204000000.0,2878000000.0,3367000000.0
