,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,335701000.0,397370000.0,431754000.0,475691000.0,860000000.0,1184000000.0
1,0,Net income,176631000.0,226027000.0,356501000.0,388304000.0,130000000.0,70000000.0
2,0,Depreciation & amortization,98288000.0,107504000.0,121013000.0,127742000.0,289000000.0,924000000.0
3,0,Amortization of debt discount/premium and issuance costs,9237000.0,21825000.0,6688000.0,17051000.0,33000000.0,34000000.0
4,0,Investment/asset impairment charges,0.0,0.0,,2484000.0,28000000.0,40000000.0
5,0,Investments losses (gains),70000.0,,,1012000.0,-13000000.0,
6,0,Stock based compensation,25926000.0,22826000.0,30001000.0,37758000.0,80000000.0,128000000.0
7,0,Prepaid expenses,-27013000.0,-18759000.0,-40832000.0,14436000.0,-8000000.0,
8,0,Income taxes payable,-13120000.0,51318000.0,7855000.0,4430000.0,70000000.0,
9,0,Other working capital,52592000.0,27218000.0,-12883000.0,-87831000.0,150000000.0,22000000.0
10,0,Other non-cash items,13090000.0,-40589000.0,-36589000.0,-29695000.0,101000000.0,-34000000.0
11,0,Net cash provided by operating activities,335701000.0,397370000.0,431754000.0,475691000.0,860000000.0,1184000000.0
12,12,Cash Flows From Investing Activities,-132233000.0,-240175000.0,-173114000.0,-66955000.0,1731000000.0,1039000000.0
13,12,"Investments in property, plant, and equipment",-71336000.0,-92346000.0,-82650000.0,-78391000.0,-164000000.0,-353000000.0
14,12,"Property, plant, and equipment reductions",2729000.0,2021000.0,1611000.0,2491000.0,,
15,12,"Acquisitions, net",-43197000.0,-142635000.0,-92201000.0,31725000.0,1870000000.0,1375000000.0
16,12,Purchases of investments,-17011000.0,0.0,-4472000.0,-12350000.0,-40000000.0,-1000000.0
17,12,Sales/Maturities of investments,70000.0,,5861000.0,0.0,41000000.0,15000000.0
18,12,Other investing activities,-3488000.0,-7215000.0,-1263000.0,-10430000.0,24000000.0,3000000.0
19,12,Net cash used for investing activities,-132233000.0,-240175000.0,-173114000.0,-66955000.0,1731000000.0,1039000000.0
20,20,Cash Flows From Financing Activities,-146873000.0,70957000.0,-130344000.0,-249246000.0,-2284000000.0,-2323000000.0
21,20,Debt issued,2441017000.0,2060755000.0,275000000.0,2248500000.0,466000000.0,6930000000.0
22,20,Debt repayment,-2000879000.0,-2448412000.0,-32769000.0,-2061076000.0,-1779000000.0,-6097000000.0
23,20,Common stock issued,3466000.0,525000000.0,0.0,0.0,97000000.0,140000000.0
24,20,Common stock repurchased,-13363000.0,-57083000.0,-415131000.0,-515010000.0,-1097000000.0,-3251000000.0
25,20,Excess tax benefit from stock based compensation,465000.0,16204000.0,20303000.0,39071000.0,41000000.0,27000000.0
26,20,Dividend paid,-567851000.0,0.0,0.0,,,
27,20,Other financing activities,-9728000.0,-25507000.0,22253000.0,39269000.0,-12000000.0,-72000000.0
28,20,Net cash provided by (used for) financing activities,-146873000.0,70957000.0,-130344000.0,-249246000.0,-2284000000.0,-2323000000.0
29,29,Effect of exchange rate changes,-5166000.0,-17737000.0,-39081000.0,-49697000.0,-86000000.0,-7000000.0
30,30,Net change in cash,51429000.0,210415000.0,89215000.0,109793000.0,221000000.0,-107000000.0
31,31,Cash at beginning of period,516299000.0,567728000.0,778143000.0,867358000.0,977000000.0,1210000000.0
32,32,Cash at end of period,567728000.0,778143000.0,867358000.0,977151000.0,1198000000.0,1103000000.0
33,33,Free Cash Flow,,,,,,
34,34,Operating cash flow,335701000.0,397370000.0,431754000.0,475691000.0,860000000.0,1184000000.0
35,35,Capital expenditure,-71336000.0,-92346000.0,-82650000.0,-78391000.0,-164000000.0,-353000000.0
36,36,Free cash flow,264365000.0,305024000.0,349104000.0,397300000.0,696000000.0,831000000.0
