Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,41.1,30.61,30.69,38.09,33.6,32.63,35.53,31.13,31.79,39.38,38.03
Accounts Receivable,12.54,11.54,11.35,10.32,9.73,9.12,7.63,7.96,8.03,6.63,8.29
Inventory,3.12,4.3,3.18,3.63,3.66,2.99,4.55,4.59,3.42,2.81,3.99
Other Current Assets,1.86,1.29,1.56,1.33,0.88,1.89,1.21,2.97,1.5,1.28,1.57
Total Current Assets,58.61,47.73,46.78,53.37,47.87,46.63,48.92,46.65,44.74,50.11,51.89
Net PP&E,6.55,7.94,6.95,6.69,6.44,5.96,7.84,9.78,8.81,7.07,10.36
Intangibles,12.91,11.32,9.23,7.66,6.13,5.95,5.86,6.87,5.11,3.59,6.31
Other Long-Term Assets,21.93,33.01,37.04,32.29,39.56,41.46,37.38,36.69,41.34,39.24,31.45
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.86,1.39,1.52,1.49,1.5,1.42,1.17,1.56,1.07,1.06,1.42
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,,,0.14,0.13,0.19,0.23,0.62,
Accrued Liabilities,4.63,4.48,4.18,4.69,3.94,3.76,3.28,5.45,4.12,3.81,4.48
Other Short-Term Liabilities,5.17,5.29,5.5,5.28,5.03,4.57,5.07,5.47,4.6,3.71,5.0
Total Current Liabilities,12.67,11.16,11.2,11.45,10.47,9.89,9.64,12.66,10.02,9.2,10.91
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,1.88,2.94,3.85,3.31,3.16,1.91,1.72,1.99,1.95,1.74,1.26
Total Liabilities,14.55,14.1,15.05,14.77,13.63,11.8,11.36,14.65,11.98,10.93,12.17
Total Stockholders' Equity,85.45,85.9,84.95,85.23,86.37,88.2,88.64,85.35,88.02,89.07,87.83
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
