,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1615808000.0,1784213000.0,2021441000.0,2163056000.0,2444540000.0,3000202000.0
1,1,Cost of revenue,659067000.0,713484000.0,797933000.0,839076000.0,945648000.0,1200883000.0
2,2,Gross profit,956741000.0,1070729000.0,1223508000.0,1323980000.0,1498892000.0,1799319000.0
3,3,Operating expenses,711034000.0,795237000.0,937346000.0,1035983000.0,1193751000.0,1759855000.0
4,3,"Sales, General and administrative",678843000.0,760458000.0,876067000.0,962677000.0,1089184000.0,1423495000.0
5,3,"Restructuring, merger and acquisition",2420000.0,337000.0,,,,
6,3,Other operating expenses,29771000.0,34442000.0,61279000.0,73306000.0,104567000.0,336360000.0
7,3,Total operating expenses,711034000.0,795237000.0,937346000.0,1035983000.0,1193751000.0,1759855000.0
8,8,Operating income,245707000.0,275492000.0,286162000.0,287997000.0,305141000.0,39464000.0
9,9,Interest Expense,9905000.0,10388000.0,12300000.0,22548000.0,27565000.0,
10,10,Other income (expense),-206000.0,1335000.0,821000.0,6762000.0,10855000.0,-89473000.0
11,11,Income before taxes,235596000.0,266439000.0,274683000.0,272211000.0,288431000.0,-50009000.0
12,12,Provision for income taxes,69693000.0,83638000.0,90917000.0,96576000.0,94849000.0,-12466000.0
13,13,Net income from continuing operations,165903000.0,182801000.0,183766000.0,175635000.0,193582000.0,-37543000.0
14,14,Net income,165903000.0,182801000.0,183766000.0,175635000.0,193582000.0,-37543000.0
15,15,Net income available to common shareholders,165903000.0,182801000.0,183766000.0,175635000.0,193582000.0,-37543000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.78,1.97,2.06,2.09,2.34,-0.39
18,18,Diluted,1.73,1.93,2.03,2.06,2.31,-0.4
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,93444000.0,93015000.0,89337000.0,83852000.0,82571000.0,86348000.0
21,21,Diluted,95842000.0,94830000.0,90719000.0,85056000.0,83820000.0,86688000.0
22,22,EBITDA,275272000.0,311269000.0,326395000.0,341890000.0,377965000.0,234935000.0
