,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,17492400000.0,19270500000.0,20462500000.0,25073200000.0,25734300000.0
1,0,Cash and cash equivalents,1123300000.0,1914800000.0,1918200000.0,2214700000.0,2070200000.0
2,0,Receivables,1083600000.0,1491500000.0,1439600000.0,1267900000.0,1323300000.0
3,0,Investments,4797400000.0,4734700000.0,5762800000.0,6016100000.0,5116100000.0
4,0,Property and equipment,349600000.0,350800000.0,402600000.0,426900000.0,464700000.0
5,0,Deferred income taxes,38400000.0,7400000.0,,,
6,0,Goodwill,7048200000.0,6867300000.0,6579400000.0,6175700000.0,6129200000.0
7,0,Other intangible assets,1287700000.0,1263700000.0,1246700000.0,1354000000.0,1399400000.0
8,0,Other assets,1764200000.0,2640300000.0,3113200000.0,7617900000.0,9231400000.0
9,0,Total assets,17492400000.0,19270500000.0,20462500000.0,25073200000.0,25734300000.0
10,10,Liabilities and stockholders' equity,17492400000.0,19270500000.0,20462500000.0,25073200000.0,25734300000.0
11,10,Liabilities,9175600000.0,10877900000.0,12136500000.0,17187900000.0,18230500000.0
12,11,Short-term borrowing,0.0,,5149600000.0,,
13,11,Payables and accrued expenses,1784000000.0,3737500000.0,3797800000.0,8068600000.0,10262500000.0
14,11,Taxes payable,77900000.0,123600000.0,95200000.0,78800000.0,91600000.0
15,11,Long-term debt,5085400000.0,5770300000.0,1589300000.0,7509800000.0,6505500000.0
16,11,Deferred taxes,311400000.0,323600000.0,304800000.0,288900000.0,309700000.0
17,11,Minority Interest,732200000.0,584700000.0,793800000.0,810400000.0,108000000.0
18,11,Other liabilities,1184700000.0,338200000.0,406000000.0,431400000.0,953200000.0
19,11,Total liabilities,9175600000.0,10877900000.0,12136500000.0,17187900000.0,18230500000.0
20,10,Stockholders' equity,8316800000.0,8392600000.0,8326000000.0,7885300000.0,7503800000.0
21,20,Common stock,98100000.0,98100000.0,98100000.0,98100000.0,98100000.0
22,20,Additional paid-in capital,6141000000.0,6100800000.0,6133600000.0,6197700000.0,6227400000.0
23,20,Retained earnings,2930100000.0,3466200000.0,3943600000.0,4439600000.0,4833400000.0
24,20,Treasury stock,-1382900000.0,-1700400000.0,-1898100000.0,-2404100000.0,-2845800000.0
25,20,Accumulated other comprehensive income,530500000.0,427900000.0,48800000.0,-446000000.0,-809300000.0
26,20,Total stockholders' equity,8316800000.0,8392600000.0,8326000000.0,7885300000.0,7503800000.0
27,10,Total liabilities and stockholders' equity,17492400000.0,19270500000.0,20462500000.0,25073200000.0,25734300000.0
