Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.8,0.13,0.42,0.39,0.24,0.23,0.21,0.18,0.15,0.17,0.19
Accounts Receivable,17.73,15.65,16.71,17.9,18.15,18.91,20.16,19.25,18.0,21.24,21.18
Inventory,0.83,1.02,0.93,0.88,0.92,0.94,0.93,0.82,0.64,0.49,
Other Current Assets,6.89,5.3,3.07,4.41,3.34,2.43,2.82,5.67,4.84,2.81,3.46
Total Current Assets,26.25,22.1,21.14,23.58,22.65,22.5,24.13,25.91,23.63,24.7,24.83
Net PP&E,72.94,77.31,77.8,75.42,76.16,76.5,74.92,73.08,74.28,73.62,70.94
Intangibles,,,,,,,,,,,2.82
Other Long-Term Assets,0.81,0.59,1.07,1.0,1.19,1.0,0.96,1.01,2.09,1.68,1.41
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.2,10.93,10.3,9.79,11.1,10.82,10.83,9.59,9.36,10.04,12.18
Short-Term Debt,12.56,6.61,,10.2,2.21,4.06,8.87,7.36,,,
Taxes Payable,1.08,,,,,,,,,,
Accrued Liabilities,3.27,4.64,3.63,5.56,6.04,5.49,5.47,5.75,5.28,4.93,4.64
Other Short-Term Liabilities,1.04,0.56,0.57,0.45,,0.03,0.09,,,,
Total Current Liabilities,28.15,22.74,14.5,26.0,19.34,20.4,25.26,22.7,14.64,14.97,16.82
Long-Term Debt,36.46,28.72,30.43,23.15,30.84,23.75,16.26,20.12,27.64,25.76,26.76
Other Long-Term Liabilities,16.97,19.04,20.4,21.64,24.79,23.72,22.57,21.72,21.97,22.34,20.11
Total Liabilities,81.58,70.5,65.33,70.79,74.97,67.87,64.09,64.54,64.24,63.07,63.69
Total Stockholders' Equity,18.42,29.5,34.67,29.21,25.03,32.13,35.91,35.46,35.76,36.93,36.31
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
