,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,12.5,12.625,12.375,12.625,6.039052,488600
1,1995-01-04,12.5625,12.75,12.5,12.625,6.039052,1158400
2,1995-01-05,12.625,12.875,12.625,12.75,6.098844000000001,857000
3,1995-01-06,12.6875,12.8125,12.6875,12.8125,6.128741000000001,537400
4,1995-01-09,12.875,13.0625,12.8125,12.875,6.158638,1371600
5,1995-01-10,12.8125,13.0625,12.75,12.75,6.098844000000001,659000
6,1995-01-11,12.75,12.8125,12.625,12.6875,6.068948000000001,966000
7,1995-01-12,12.8125,12.9375,12.6875,12.75,6.098844000000001,883800
8,1995-01-13,12.875,13.125,12.8125,13.0,6.218428,1073600
9,1995-01-16,13.125,13.375,13.125,13.25,6.338015,1121000
10,1995-01-17,13.3125,13.4375,13.25,13.25,6.338015,913600
11,1995-01-18,13.25,13.3125,12.8125,12.8125,6.128741000000001,719600
12,1995-01-19,12.9375,13.125,12.625,12.8125,6.128741000000001,906000
13,1995-01-20,12.8125,12.875,12.6875,12.8125,6.128741000000001,769800
14,1995-01-23,12.8125,13.125,12.6875,13.0625,6.2483260000000005,934600
15,1995-01-24,13.125,13.625,13.125,13.375,6.39781,1255200
16,1995-01-25,13.4375,13.5,13.375,13.4375,6.427702,1281200
17,1995-01-26,13.375,13.5625,13.375,13.5,6.4576,790800
18,1995-01-27,13.5625,13.9375,13.5625,13.6875,6.547288,1394400
19,1995-01-30,13.6875,13.75,13.625,13.6875,6.547288,676600
20,1995-01-31,13.6875,13.9375,13.5625,13.9375,6.666872,1155600
21,1995-02-01,13.9375,14.0625,13.875,14.0,6.69677,1346200
22,1995-02-02,14.0,14.1875,14.0,14.0625,6.7266639999999995,806600
23,1995-02-03,14.125,14.375,14.125,14.25,6.816356,1394800
24,1995-02-06,14.25,14.375,14.1875,14.25,6.816356,662800
25,1995-02-07,14.375,14.375,14.25,14.3125,6.846252000000001,514600
26,1995-02-08,14.25,14.25,13.9375,14.0,6.69677,708200
27,1995-02-09,14.0,14.0625,13.875,13.9375,6.666872,410600
28,1995-02-10,14.0,14.0625,13.75,13.9375,6.666872,389800
29,1995-02-13,13.9375,14.0,13.8125,13.875,6.636978,263200
30,1995-02-14,13.875,14.1875,13.875,14.125,6.756564,899600
31,1995-02-15,14.125,14.3125,14.0,14.3125,6.846252000000001,422000
32,1995-02-16,14.3125,14.3125,13.9375,14.0625,6.7266639999999995,641200
33,1995-02-17,14.1875,14.1875,14.0,14.0,6.69677,698000
34,1995-02-21,14.0,14.0,13.875,13.875,6.636978,664200
35,1995-02-22,13.75,13.9375,13.75,13.8125,6.6939210000000005,730000
36,1995-02-23,13.8125,14.1875,13.8125,14.0625,6.815078,695600
37,1995-02-24,14.0,14.375,14.0,14.375,6.966524000000001,594600
38,1995-02-27,14.25,14.4375,14.125,14.375,6.966524000000001,981400
39,1995-02-28,14.4375,14.625,14.4375,14.5,7.027103,676800
40,1995-03-01,14.5,14.625,14.5,14.5,7.027103,1440600
41,1995-03-02,14.5,14.625,14.5,14.625,7.087679,704400
42,1995-03-03,14.5625,14.625,14.5,14.625,7.087679,317600
43,1995-03-06,14.5,14.5,14.375,14.5,7.027103,878800
44,1995-03-07,14.375,14.4375,14.125,14.1875,6.875657,1505400
45,1995-03-08,14.1875,14.375,14.125,14.375,6.966524000000001,1143800
46,1995-03-09,14.25,14.375,14.125,14.375,6.966524000000001,1349600
47,1995-03-10,14.375,14.6875,14.3125,14.6875,7.117967999999999,1359000
48,1995-03-13,14.6875,14.6875,14.5625,14.625,7.087679,374800
49,1995-03-14,14.6875,14.75,14.625,14.6875,7.117967999999999,1051400
50,1995-03-15,14.6875,14.6875,14.4375,14.625,7.087679,745200
51,1995-03-16,14.6875,14.75,14.5625,14.6875,7.117967999999999,411200
52,1995-03-17,14.6875,14.6875,14.4375,14.5,7.027103,892200
53,1995-03-20,14.4375,14.5,14.125,14.1875,6.875657,674800
54,1995-03-21,14.1875,14.3125,14.125,14.3125,6.936236,1086600
55,1995-03-22,14.25,14.25,14.1875,14.25,6.905945,806600
56,1995-03-23,14.125,14.1875,13.875,14.0,6.784787,2060000
57,1995-03-24,14.0625,14.125,14.0,14.0625,6.815078,821800
58,1995-03-27,14.125,14.1875,14.0625,14.125,6.845364999999999,378000
59,1995-03-28,14.125,14.1875,14.0625,14.1875,6.875657,810400
60,1995-03-29,14.125,14.25,14.0625,14.125,6.845364999999999,1380400
61,1995-03-30,14.1875,14.25,14.0625,14.1875,6.875657,1159800
62,1995-03-31,14.1875,14.1875,14.0625,14.125,6.845364999999999,1202400
63,1995-04-03,14.125,14.1875,14.0,14.125,6.845364999999999,571000
64,1995-04-04,14.125,14.4375,14.0,14.4375,6.996811,1019000
65,1995-04-05,14.375,14.4375,14.3125,14.375,6.966524000000001,624000
66,1995-04-06,14.375,14.5,14.375,14.5,7.027103,2022200
67,1995-04-07,14.5,14.5,14.375,14.5,7.027103,574000
68,1995-04-10,14.375,14.4375,14.25,14.375,6.966524000000001,403600
69,1995-04-11,14.375,14.375,14.0625,14.1875,6.875657,505800
70,1995-04-12,14.125,14.3125,14.125,14.3125,6.936236,418200
71,1995-04-13,14.3125,14.4375,14.25,14.3125,6.936236,656800
72,1995-04-17,14.375,14.375,14.0625,14.125,6.845364999999999,495800
73,1995-04-18,14.1875,14.1875,14.0,14.0,6.784787,331600
74,1995-04-19,14.0625,14.1875,14.0,14.125,6.845364999999999,428600
75,1995-04-20,14.125,14.125,13.6875,13.6875,6.633342999999999,1047000
76,1995-04-21,13.75,13.75,13.375,13.4375,6.512187,2981800
77,1995-04-24,13.5,13.625,13.375,13.625,6.603053999999999,1296000
78,1995-04-25,13.625,13.625,13.4375,13.5,6.542475,3209800
79,1995-04-26,13.4375,13.4375,13.0,13.3125,6.451607,1528600
80,1995-04-27,13.25,13.5,13.25,13.5,6.542475,1035800
81,1995-04-28,13.5,13.5,13.3125,13.375,6.481898,691600
82,1995-05-01,13.375,13.5,13.375,13.4375,6.512187,965800
83,1995-05-02,13.4375,13.5625,13.375,13.5625,6.572763,908000
84,1995-05-03,13.5625,13.625,13.5,13.5625,6.572763,424600
85,1995-05-04,13.5625,13.9375,13.5625,13.625,6.603053999999999,2037200
86,1995-05-05,13.6875,13.75,13.5625,13.75,6.663628,867200
87,1995-05-08,13.625,13.8125,13.5625,13.75,6.663628,1146200
88,1995-05-09,13.8125,14.0,13.75,13.75,6.663628,736400
89,1995-05-10,13.75,13.9375,13.75,13.9375,6.754498,1221200
90,1995-05-11,13.9375,14.125,13.875,14.0,6.784787,2428400
91,1995-05-12,14.0,14.0625,13.9375,13.9375,6.754498,966200
92,1995-05-15,14.0,14.125,13.9375,14.0625,6.815078,455400
93,1995-05-16,14.1875,14.25,14.125,14.1875,6.875657,1165800
94,1995-05-17,14.25,14.3125,14.125,14.3125,6.936236,1717400
95,1995-05-18,14.3125,14.4375,14.1875,14.375,6.966524000000001,1335600
96,1995-05-19,14.3125,14.4375,14.1875,14.375,6.966524000000001,1273600
