Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,1.09,1.13,4.67,6.34,4.15,0.97,4.64,4.11,0.82,0.88,2.24
Accounts Receivable,3.52,4.07,3.94,3.59,4.04,4.26,3.81,4.14,5.12,4.52,4.2
Inventory,21.77,20.93,21.23,21.13,21.78,20.87,19.3,18.62,18.2,17.97,17.39
Other Current Assets,5.52,4.91,2.43,1.36,1.23,6.18,2.4,2.29,5.05,4.95,3.9
Total Current Assets,31.9,31.05,32.26,32.42,31.2,32.29,30.16,29.16,29.18,28.32,27.72
Net PP&E,56.05,56.7,60.32,60.19,61.61,60.34,57.69,58.62,57.88,57.57,58.22
Intangibles,9.61,9.78,5.01,4.85,4.85,5.01,9.69,10.02,11.14,11.46,11.43
Other Long-Term Assets,2.44,2.47,2.41,2.54,2.34,2.37,2.46,2.2,1.8,2.64,2.63
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,18.16,16.47,16.84,17.98,18.44,18.35,16.67,16.53,16.9,15.94,16.4
Short-Term Debt,7.14,2.4,,,,,,,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,3.65,3.57,3.4,3.78,4.5,3.96,3.93,4.23,4.21,3.38,2.95
Other Short-Term Liabilities,10.01,10.43,13.16,12.57,15.85,22.54,15.96,16.56,17.16,15.91,12.39
Total Current Liabilities,38.97,32.87,33.4,34.33,38.78,44.85,36.56,37.32,38.27,35.23,31.74
Long-Term Debt,29.28,32.33,,,,,,,,,
Other Long-Term Liabilities,9.72,12.5,45.67,43.14,44.26,38.08,45.05,44.97,41.61,46.42,51.43
Total Liabilities,77.96,77.7,79.08,77.47,83.04,82.93,81.61,82.29,79.88,81.65,83.17
Total Stockholders' Equity,22.04,22.3,20.92,22.53,16.96,17.07,18.39,17.71,20.12,18.35,16.83
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
