Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1742.0,1852.0,1480.0,1814.0,2098.0,2238.0,2369.0,2577.0,2419.0,2334.0,2521.0
Gross Margin %,56.7,54.1,52.5,57.3,57.0,58.2,59.2,59.8,63.3,65.3,65.6
Operating Income USD Mil,362.0,390.0,267.0,487.0,612.0,715.0,739.0,809.0,803.0,819.0,895.0
Operating Margin %,20.8,21.1,18.0,26.8,29.1,32.0,31.2,31.4,33.2,35.1,35.5
Net Income USD Mil,134.0,168.0,67.0,180.0,330.0,377.0,351.0,503.0,484.0,478.0,539.0
Earnings Per Share USD,1.57,1.86,0.6,1.67,3.0,3.43,3.18,4.55,4.4,4.43,5.08
Dividends USD,,,,,,0.78,0.86,1.12,1.32,1.32,1.35
Payout Ratio % *,,,,,,,28.0,,28.9,29.3,26.6
Shares Mil,98.0,99.0,94.0,108.0,110.0,110.0,110.0,110.0,110.0,108.0,106.0
Book Value Per Share * USD,,,,,,,388.23,,620.08,790.69,757.02
Operating Cash Flow USD Mil,382.0,455.0,292.0,496.0,638.0,673.0,798.0,906.0,909.0,913.0,963.0
Cap Spending USD Mil,-411.0,-577.0,-349.0,-287.0,-495.0,-540.0,-807.0,-970.0,-832.0,-591.0,-648.0
Free Cash Flow USD Mil,-29.0,-120.0,-56.0,209.0,143.0,133.0,-8.0,-64.0,77.0,323.0,315.0
Free Cash Flow Per Share * USD,,,,,,,-3.32,,-5.51,62.05,
Working Capital USD Mil,-453.0,-406.0,203.0,167.0,205.0,98.0,212.0,-81.0,-220.0,-96.0,
