Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,13.69,16.82,25.15,17.52,15.31,12.84,21.1,22.28,30.0,23.67,9.4
Accounts Receivable,4.77,3.38,3.05,3.6,3.57,3.37,3.39,3.34,3.07,3.6,3.65
Inventory,16.82,16.95,14.46,16.0,16.32,16.68,16.19,13.73,13.21,13.41,21.94
Other Current Assets,3.97,3.96,2.65,3.07,3.57,3.74,3.08,3.49,2.65,1.73,2.49
Total Current Assets,39.25,41.12,45.31,40.18,38.77,36.63,43.76,42.84,48.93,42.41,37.49
Net PP&E,25.04,27.67,24.02,24.96,26.92,29.96,28.41,30.18,27.43,33.55,37.36
Intangibles,32.41,28.77,28.38,31.67,29.88,28.74,24.02,22.92,20.36,21.53,22.51
Other Long-Term Assets,3.31,2.44,2.29,3.19,4.44,4.67,3.81,4.06,3.27,2.51,2.65
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.95,7.09,6.8,8.45,8.84,8.99,8.32,8.13,7.87,8.36,13.27
Short-Term Debt,0.09,,,,0.93,,2.99,,0.07,0.44,1.02
Taxes Payable,,,1.97,1.05,3.7,4.55,4.0,3.14,3.53,4.65,0.08
Accrued Liabilities,4.18,4.33,9.66,0.45,8.3,8.66,7.18,7.98,7.75,4.82,11.46
Other Short-Term Liabilities,7.25,6.58,,13.36,3.21,3.36,2.88,3.01,2.86,6.38,
Total Current Liabilities,18.48,18.0,18.43,23.31,24.98,25.55,25.37,22.26,22.08,24.65,25.83
Long-Term Debt,39.06,41.55,37.96,38.86,56.99,74.38,66.14,63.16,67.29,69.77,72.99
Other Long-Term Liabilities,12.63,13.57,13.17,14.94,15.78,16.93,13.63,14.34,13.68,14.5,15.52
Total Liabilities,70.16,73.12,69.57,77.12,97.76,116.86,105.14,99.76,103.05,108.92,114.34
Total Stockholders' Equity,29.84,26.88,30.43,22.88,2.24,-16.86,-5.14,0.24,-3.05,-8.92,-14.34
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
